ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Mogliano Veneto;;;;;;;;;;;;;
Coordinata X 1758086 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5052812 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 5 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;13.2;25.2;135.4;108.2;282
1998;31.8;8.4;4;99.6;54.8;99.4;20.8;50.8;106.8;202.2;19.6;11.2;709.4
1999;38.2;18.8;52.2;116;23.2;115.2;122;72.4;24.6;106.2;122.8;70.4;882
2000;3;5.2;47.2;58.4;93.2;26.2;63.4;36.8;92;137.2;169.2;54.2;786
2001;79.6;7.8;124.8;51.6;47.4;69.8;67;55.6;104;57.6;45.2;2.4;712.8
2002;47.6;64;4.8;138.2;183.8;155;85;144.4;147.6;138;75.8;58.6;1242.8
2003;43;17;4.4;121.8;26.8;45.4;30.2;20;66.2;60.2;141.4;96.4;672.8
2004;37;171;81.2;71.4;107.6;81.6;55.2;66.6;96.8;100;79.6;80.2;1028.2
2005;14.2;0.6;9;97.8;53.6;41;130.8;80;127;174.2;167.2;56.2;951.6
2006;36;25.8;31.6;77;101.6;10.2;58.4;119;201.8;17.8;31.4;76.2;786.8
2007;31.4;72.8;77.8;1.6;142.4;59.4;24;54;242.2;46;29.6;33.2;814.4
2008;87.2;41.2;60.4;91;103;149.8;40.2;93.4;82;51.6;177.4;173.6;1150.8
2009;90.6;77.8;135.8;113.2;31.4;100.6;11;59.6;178.4;43;144.2;134.6;1120.2
2010;77.8;133.2;38.6;37;185.4;118.6;101.8;114.8;117.2;77;185.6;169.8;1356.8
2011;25.4;56;153.2;8.4;24.8;63.8;108.6;3.4;63;97.4;79.4;35.4;718.8
2012;12.2;24;9.2;104.2;128.8;26.8;12.8;71.6;87.6;109.2;118.4;50.8;755.6
2013;97.4;93.4;281.2;77.8;183.4;24.2;46;59.6;22.4;62.8;142.2;25.4;1115.8
2014;245.2;222.4;86;45.6;70.8;65.8;210.6;148.6;99.8;80.4;177.8;73.6;1526.6
2015;19.2;43.4;99.4;39.8;104.2;79;65.2;91.2;42.4;98.8;11.6;0;694.2
2016;42.2;192.4;50;91.6;150;147.6;32.2;74;148.4;92.4;122.6;1.2;1144.6
2017;30.4;83.4;10.2;84;66.8;71.2;62;48.6;201.8;17.4;106.8;58.8;841.4
2018;22.4;60.4;123.8;22;90;109;118.6;89.2;56.4;102.8;104.6;16;915.2
2019;3.8;44.4;22.2;226.8;269;21.6;200;98.4;60.4;45.4;204.4;101.2;1297.6
2020;11;6.4;78.6;30.8;47.2;118.8;43.2;110.2;33.2;129;16.8;133.4;758.6
2021;87.6;30.8;6.6;114.2;142;45.4;85.2;33.2;36.8;19.6;124.2;49;774.6
2022;32;15;18.2;63.2;50.6;13;9;88.2;65.4;13.6;113.6;105.2;587
