ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Molini (Laghi);;;;;;;;;;;;;
Coordinata X 1675242 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5078025 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 623 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;161.4;66.6;39.2;163.8;196.4;55.4;116.4;95;306;84.2;246.8;68.2;1599.4
1995;48.6;75.6;63.2;182.2;266;145;63.4;123.6;250.2;1;81;192.2;1492
1996;189.2;36.8;35.6;97;165.2;95.2;158.6;240;44;392.8;403.8;150.6;2008.8
1997;126.6;3.6;6.4;49.4;90.2;247.8;110.2;79.4;34.4;13.2;273.2;200.6;1235
1998;50.2;28.2;12;288.2;170.2;128.4;74.2;68.2;291.6;299.4;39.8;16.2;1466.6
1999;127;17.4;204;229.8;120.8;190;139.2;120.4;295;314.4;243.2;66;2067.2
2000;1;8;211.4;128;74;85.8;90;181.6;209.6;461.8;721.4;72.2;2244.8
2001;158.6;85.6;270.6;126.2;117.8;67.2;71.8;134.8;185.8;54.6;50.6;5.8;1329.4
2002;26;173.8;80.8;177.6;532.4;239.2;243.8;205;115;141.6;628.6;88.6;2652.4
2003;68.4;2.6;7.2;81.8;50.4;94;77.8;74.2;37.4;224.6;399.6;187.2;1305.2
2004;25.8;133.2;206.6;204.4;200.8;111.8;65.2;66.4;74.4;243.2;272.4;125;1729.2
2005;10.8;22.8;40.4;167.8;106.8;82.2;116.2;135.4;178.8;266.4;95.6;103.8;1327
2006;152.4;103.8;80.8;120.8;84.4;69.4;65.2;218.6;167.8;46.2;34.2;142.2;1285.8
2007;85.8;36.6;123.4;15.2;246.8;170.4;68.4;299.2;120.8;109.2;236;4.4;1516.2
2008;186;56.6;72;181.1;203.4;144.6;161.4;123.8;142.8;168.2;186.6;399.2;2025.7
2009;131.8;228.8;217.8;435.8;12.6;92.2;86.2;48.6;200;101.6;235.4;199.6;1990.4
2010;78;131.2;111.8;81.8;338.8;226;106.2;244;231;394;575.8;326.4;2845
2011;63.2;106.4;232.2;22;125.2;285.2;77.6;69.8;120.4;158.2;376.4;51;1687.6
2012;22.2;8.8;24.8;279.8;175;103.8;162.2;70.8;221.4;266.6;487;56;1878.4
2013;74.6;105.8;277;233;476.8;145.4;63.2;93.2;65.6;205.2;210;174.6;2124.4
2014;401.6;389.4;141.4;215.2;106.8;146.2;383.2;286.4;49.6;114;552;210.4;2996.2
2015;77.8;142.4;109.4;106;165;101;50.6;86.4;143.2;262.2;4.4;0;1248.4
2016;62.6;275;93.8;40;210.6;138;160;285.2;47.8;148.4;147.8;0;1609.2
2017;8.8;152.4;75.2;106;79.4;139.4;130.2;68.6;246.2;12.6;163.2;150.8;1332.8
2018;104.8;57.8;213;186.4;236.6;73.4;133.6;216.2;45;437;304.2;9.2;2017.2
2019;13.4;112;34.8;494.4;326;31.2;159.2;118.4;131.6;67;746.2;128;2362.2
2020;12.4;6.8;149.8;64;114;188.6;138.6;230.2;86;398.8;12.2;518.8;1920.2
2021;213.4;82.8;18.6;133.4;252.4;25.8;184.4;88;58.4;120.4;263;33.2;1473.8
2022;29.2;46.2;7.2;96.2;116.6;97.6;69;170.6;117.8;47.2;167.8;146.4;1111.8
Medio mensile;93.5;93;109;162.3;184.9;128.3;121.6;146.3;145.4;191.5;281.3;132;1789
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;3;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;3;0;0;0;0;0;0;4;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
