ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Montagnana;;;;;;;;;;;;;
Coordinata X 1690158 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5013351 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 12 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;33;29.6;0.2;89.8;49.4;17.2;44.2;129.2;121.2;63.8;79;37.4;694
1995;28.6;75.6;25.6;40.6;190.2;150.6;11.6;45.2;78.2;5;21.8;129.8;802.8
1996;90.6;43.2;12.4;69.8;69.2;25.2;18;100.8;63.6;93;92;133.6;811.4
1997;66.6;2.2;12.4;36.6;32;69.6;46;40.4;15;29;83.8;103.8;537.4
1998;42;14.6;7;81.4;73.8;54;55.6;68.4;136.4;111.8;18.2;3.2;666.4
1999;24.6;8.4;28.4;114.8;63.6;70;50.2;66.8;135;114.8;117;38.2;831.8
2000;0;3;52.6;63.2;32.4;54.8;71.8;55.8;79.4;159.6;121.8;53;747.4
2001;74.2;34.2;148.2;65;43.8;48;124.2;75;82.4;50;33.2;2.8;781
2002;30.6;63.2;8;124.6;131;49.6;161;182;69;104.6;77.6;92.8;1094
2003;26.8;3.8;4;97.8;19.4;62.8;28.8;5;50.8;55.4;67;61;482.6
2004;45.2;167.6;108.2;111.2;79.8;62.4;81;26.4;129;111.8;73.2;62.6;1058.4
2005;2.4;12.8;31.6;92.8;84.4;8.4;56;147.8;191.6;177;117.8;60.6;983.2
2006;24.2;34.8;31.6;72.6;51.4;9.4;42.8;124.8;120.4;18;48.4;64.4;642.8
2007;34.2;63.8;85;0.4;54.6;86.4;9.2;35.2;64;49.4;40.4;10.2;532.8
2008;49.4;25.4;28.4;111.2;77.4;180.4;67.6;30.2;101.4;50.8;157;156;1035.2
2009;55.6;52.4;113;154;12.2;64.2;43.6;63.4;50.2;36;64.8;84;793.4
2010;46.2;112.6;42.8;53.6;70.4;105.6;30.6;67.6;134.4;116.6;149.6;116.2;1046.2
2011;25.6;38.6;104;13.4;60.8;42.8;58.8;2.6;80.2;42.4;53.2;23.6;546
2012;2.8;16;0;98;84;28.6;21.8;42.8;120.2;117;147.2;40.2;718.6
2013;99.2;58.8;199.6;93.2;146.2;31.4;58.2;59;19.2;116.4;73.6;15.2;970
2014;147.4;112;25.8;197.6;48;52.2;159.6;45.8;59.8;48.2;89;62;1047.4
2015;19;88.4;59.4;40.4;58.2;87.2;1.4;29;50;103.6;14.6;4;555.2
2016;54.8;157.2;46.2;26.4;140.2;124.2;28.2;45;18.8;109;89.6;10.8;850.4
2017;9.8;65;14.2;43.6;73.6;60.8;48.2;2.8;97.6;27.4;109;38.8;590.8
2018;24;62.8;113.8;44.8;59.8;71.8;96.8;87.2;110.6;90.6;81.8;21.6;865.6
