ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Monte Avena;;;;;;;;;;;;;
Coordinata X 1718812 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5101524 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1415 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;108;57.2;14.6;145;141.4;90;100.6;72.4;344.8;80.4;98.8;28.8;1282
1995;30.6;38.4;33;101.4;297.2;184.2;96;95.6;147;0.2;22;83.8;1129.4
1996;59.2;18.2;12.6;62.8;147;108.4;99.4;151;34.2;321.8;216;59.8;1290.4
1997;73.6;0;5.8;55.8;88.4;214.8;127.6;111.8;20.2;19.8;218.4;26.2;962.4
1998;20.8;14;8;213.4;139.2;112.6;142;52.4;220;261.2;21.6;8.2;1213.4
1999;47.4;12.8;104.6;143.8;135.6;141.8;94.6;156;256.8;161;126.8;38.4;1419.6
2000;0;3.6;118.8;86;101.2;115.2;105.4;176;208.2;276.2;341.6;40.6;1572.8
2001;119.6;12.8;205.6;88;124.8;87.6;133;142.6;141.4;51;70;0.4;1176.8
2002;19;68.2;43.8;190;333;195.4;223.8;171.2;158.6;102.8;519.8;60.4;2086
2003;43;0.8;10;103.8;77.8;100.8;130;112.8;50.4;176;244.6;43.6;1093.6
2004;5.2;80.8;76.8;97.6;231.2;179.2;78.8;131.4;87.2;251;124.2;93.2;1436.6
2005;5.2;20.2;30.4;132.8;112.2;82;157.6;80.8;94.2;249;97.4;54.8;1116.6
2006;49.2;46;53;130;110;78.6;118.4;235.8;145;44.8;17.2;134.8;1162.8
2007;86.8;26.6;109.2;26.2;248;199.8;153.2;191;126;64.8;134.4;3;1369
2008;124.8;36.4;62.8;157.8;202;174.4;198;115.2;147.4;168.4;274.4;220.8;1882.4
2009;83.2;112.6;147.6;290.2;34.2;159.4;144;232.4;198.6;73.8;226.4;174.2;1876.6
2010;62;77;78.6;54.8;326.4;174.6;130;158.6;200;245.2;394;259.2;2160.4
2011;24;38.4;137.2;36.8;94.6;249.4;110.4;91.4;176.2;155.8;181;27.2;1322.4
2012;10;16.2;38;159.2;200.6;76.6;212.8;97.8;192.2;209.8;402.2;41.8;1657.2
2013;99.8;34.2;181.8;167;405.8;189.4;47.2;132;72.6;139.8;167.6;161.4;1798.6
2014;300;243;76;138;70;206.8;269;243.8;132.6;186.8;479.4;157.8;2503.2
2015;48.6;42.4;79;46.6;152.2;107;68.2;77.4;179.8;221.6;4.2;0;1027
2016;44.8;161;64.2;81.4;195.8;130.2;132.2;131.6;86.2;140.4;110.4;0;1278.2
2017;10;82;31.2;130.6;118.6;207;108.2;49.8;230.6;18.8;178.2;111;1276
2018;123;33.2;140.2;151.2;193.8;203.8;151.4;165.2;94.6;398.2;133.4;8.2;1796.2
