ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori minimi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Monte Cesen;;;;;;;;;;;;;
Coordinata X 1734165 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5092424 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1552 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m (°C) media delle minime;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;-2.1;-5.2;1.2;-0.6;4.5;8.1;12.3;12.1;7.6;2.7;2.2;-2.1;3.4
1995;-6.6;-2.8;-5.1;0.4;3.9;5.8;11.7;8.8;4.6;6.1;-2.2;-4.6;1.7
1996;-4;-7.8;-6.4;0.8;4.2;8.9;9.2;9.6;4.4;3.4;-0.5;-1.4;1.7
1997;0.3;-2.7;0;-1.7;5.7;8.2;9.5;10.5;9;2.6;-0.2;-2.9;3.2
1998;-3.2;0.4;-4;0.1;4.9;8.6;11.1;11.9;6.5;2.1;-3.9;-3.9;2.6
1999;-3.2;-6.1;-1.4;1.1;6.2;7.8;10.7;10.7;9;4.1;-1.7;-4.6;2.7
2000;-5;-3.6;-2.1;2.4;6.8;9.8;8.6;12;7.7;4.4;0.3;-1.3;3.3
2001;-4.3;-3.4;-0.1;-0.8;6.6;7.2;10.8;12.7;4.4;7.1;-1.5;-6;2.7
2002;-2.9;-1.9;0.1;0.4;5.8;9.5;10.6;10.6;6;4.1;1.3;-2.6;3.4
2003;-4.5;-7.9;-1.1;-0.5;7.5;12.8;11.3;14.7;6.8;0.4;0.7;-3;3.1
2004;-6.4;-3.5;-2.6;0.7;3;8.6;11.1;11.5;7.8;5.3;-0.2;-1.3;2.8
2005;-4.5;-7.8;-0.5;0.2;6.1;9.4;11.3;9.4;7.8;4.2;-1.2;-4.8;2.5
2006;-5.2;-5.2;-4.8;1.6;5.2;9;13;8.3;9.5;6.2;1.9;-0.1;3.3
2007;-1.7;-1.9;-0.9;4.9;6.7;9.7;11.5;10.5;6;3.4;-1.5;-2.9;3.6
2008;-2.2;-2.4;-2.9;0.6;5.9;9.8;11.1;11;6.3;5.3;-0.4;-1.9;3.4
2009;-3.4;-5.4;-2.8;3.1;7.8;8.8;10.9;12.3;9.1;3.4;1.3;-4.7;3.4
2010;-6.2;-5.1;-3;1.6;4.8;9.4;12.5;10.6;6.9;2.4;0.3;-7.2;2.2
2011;-4.1;-1.6;-1.5;3.6;6.1;9.3;9;12.3;10.7;3.9;2.4;-2.2;4
2012;-4.3;-7;2.4;0.9;5;10.4;11.8;12.8;8.1;4.5;1.9;-6.8;3.3
2013;>>;>>;>>;>>;1.1;8.5;12.2;11.8;8.1;4.8;-0.7;0.2;5.7
2014;-2.3;-1.8;1;2.7;4.4;8.8;9.7;9.5;7.6;5.8;3.5;-1.6;3.9
2015;-3.4;-4.2;-1.9;1.4;6.2;9.6;13.9;12.5;6.8;4.3;3.9;1.9;4.2
2016;-3.1;-3;-2.2;2.5;4.3;9;12.5;10.8;9.7;3.6;-0.2;0.8;3.7
2017;-6.3;-1.9;1.5;1.6;5.9;11.1;11.7;12.9;6.1;5.7;-0.9;-3.7;3.6
2018;-2;-7.3;-3.2;4.5;7.3;10;12.2;13.1;9.8;5.9;-0.7;-2.3;3.9
2019;-5.6;-0.2;-0.4;1.5;2.9;12.7;12.3;12.6;8.5;6.1;0.5;-1.1;4.1
2020;-1.3;-1.3;-2.5;2.9;5.6;8.9;11.1;12.3;9;3.5;2.8;-2.6;4
2021;-5.7;-2.1;-1.9;-1.1;3.4;11.1;12;11;9.2;4.1;1.1;-1.7;3.3
2022;-1.9;-2.6;-2.5;-0.1;7.8;11.9;13.4;12.5;7.3;8.5;2;-1.5;4.6
Medio mensile;-3.8;-3.8;-1.7;1.2;5.4;9.4;11.3;11.4;7.6;4.4;0.4;-2.6;3.4
;;;;;;;;;;;;;
Il valore mensile è il valore medio delle minime giornaliere del mese.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili.;;;;;;;;;;;;;
Il valore medio annuale è il valore medio dei valori mensili dell'anno.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;1;2;2;0;0;0;0;0;0;
1995;0;0;0;2;0;0;0;0;2;0;0;0;
1996;0;0;2;0;0;0;0;0;0;2;2;8;
1997;11;0;0;2;3;0;0;2;0;0;0;12;
1998;0;0;1;0;0;4;0;0;0;19;2;0;
1999;0;3;4;0;0;2;0;0;0;2;0;0;
2000;0;0;0;0;2;2;0;0;0;0;0;0;
2001;2;0;0;1;0;0;2;0;3;0;0;0;
2002;0;0;0;0;0;7;0;0;0;0;0;0;
2003;0;0;0;0;0;1;0;0;0;0;0;0;
2004;0;1;3;0;4;0;0;0;2;0;0;0;
2005;0;0;8;0;0;0;0;0;0;0;0;3;
2006;1;0;0;0;0;0;1;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;1;0;0;
2008;0;0;0;0;0;0;0;0;1;2;1;7;
2009;9;0;0;0;0;0;0;0;0;0;3;0;
