ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori minimi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Monte Grande (Teolo);;;;;;;;;;;;;
Coordinata X 1709358 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5026653 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 465 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m (°C) media delle minime;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;1.3;3.7;3;7.3;11.6;13.8;19.9;16.6;12.5;12.1;4.9;1.5;9
1996;1.4;-0.9;1.9;8.5;12.2;16.2;16.4;16.6;11.4;9.7;6;-1.4;8.2
1997;2.6;3.1;7.1;5.6;12.7;14.9;16.9;18;15.6;9;5.7;2.4;9.5
1998;1.3;5.1;4;6.9;12.3;16.2;18.2;19.1;13.4;10.2;3.3;1.4;9.3
1999;2.5;0.5;4.8;8.4;13.3;15.3;18.2;18;16.1;10.6;4.4;0.7;9.4
2000;-0.2;2.7;4.7;9.5;13.8;17.1;15.8;19.1;14.7;10.8;6.8;3.5;9.9
2001;1.4;3;6;6.9;14;14.6;17.7;19.6;11.9;13.3;4.1;-0.6;9.3
2002;0.6;2.9;6.8;7.6;12.8;17.1;17.8;17.3;13.2;10.5;7.8;2.4;9.7
2003;0.8;-1;5.4;6.9;14.9;19.9;19.3;21.9;14.2;7.3;6.3;2.7;9.9
2004;-0.2;1.6;5.3;7.8;10.2;15.2;17.7;17.4;13.9;11.1;5.7;3.2;9.1
2005;-0.1;-1.1;3.4;7;12.3;16.1;17.4;15.9;14.7;10.3;4.7;0.3;8.4
2006;-0.8;0.7;2.4;9;11.9;16.4;20.4;14.6;16;12.3;6.8;3.4;9.4
2007;2.7;4.3;6;12;13.6;16.4;18.3;17.4;13.2;9.8;5.1;2.2;10.1
2008;3.3;2.4;4.1;7.5;12.7;16.5;18;18.1;13.2;11.5;6;3.3;9.7
2009;1.8;1.9;4.9;9.9;14.3;15.4;18.1;19.1;15.5;9.9;5.9;0.7;9.8
2010;-1.2;0.8;3.7;8.5;11.6;16;19.5;18.1;13.7;8.7;6;-0.1;8.8
2011;0.4;2.7;4.8;10.9;13.2;16.4;16.8;19.9;17.4;9.9;6.7;3.3;10.2
2012;0.9;-1.7;8.5;7.7;12.3;17.7;19.2;19.7;15.1;10.9;7.1;1.5;9.9
2013;1.1;0.2;3.1;8.8;10.7;15.9;19.5;18.5;14.7;11;6.3;4.7;9.5
2014;3.8;4.5;7.5;10.1;12;16;16.6;16.5;14.3;12.4;8.8;3.2;10.5
2015;2.6;1.8;5.5;8.8;12.8;16.8;20.6;19.5;14.3;10.1;6.9;4.6;10.4
2016;1.5;3;4.9;8.7;11.3;15.9;19.1;17.7;16.7;9.7;5.7;3.5;9.8
2017;-1.4;3.4;7.8;8.6;13.2;17.8;18.8;19.7;12.5;11.5;5.5;1.7;9.9
2018;3.4;-0.5;2.9;11.1;14.1;17.1;18.6;19.8;16.1;12;7.1;2.5;10.4
2019;0.3;4.7;6.1;8.5;9.6;19.4;19;19.2;15.1;12.2;6.7;4.3;10.4
