ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Monte Summano;;;;;;;;;;;;;
Coordinata X 1687851 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5069238 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 597 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;124.4;41.4;35.8;167.8;194.6;55.6;149.4;48.4;271.4;128.4;158.8;63;1439
1995;54.6;85.4;49.8;145;258;168.8;56;152;239.2;3.2;80;48.4;1340.4
1996;174;33.2;33.8;130.6;173.8;113.8;128.6;253.8;45.2;315.8;203;92.4;1698
1997;73.2;0.4;6;70.6;85.6;190.2;117.4;>>;9.2;33.4;219.2;176.6;981.8
1998;55.4;23.8;25;279;124.8;165.2;190.4;20;316.8;323.6;23.2;13;1560.2
1999;65;1.4;151;135.8;118.8;24;123.4;134.8;221.4;176.2;122.2;72.8;1346.8
2000;0.6;7.6;177.6;101;95.8;89.2;86.8;133.8;143.6;282.8;497;83.2;1699
2001;157.6;32.6;264.2;109.2;75.2;24;83.4;197.2;156.8;75.4;78.4;0.2;1254.2
2002;28.6;179;59.2;211.4;397.2;75.8;231.2;249.8;17.6;62.2;352;57.4;1921.4
2003;48.2;2;2;89.2;28;100.4;74.4;65.6;34.4;141.2;292.2;197.2;1074.8
2004;6;24;32.8;125.2;190.2;128.6;38.8;106.4;72.6;238.6;191.6;129;1283.8
2005;0.2;23;44;142.8;88.6;85.8;170;212;289.8;314.6;114.4;84.6;1569.8
2006;0.2;98;68.2;153.4;54.6;73.6;45.6;218.2;178;27;23;121.8;1061.6
2007;76.6;56;148;30.6;168.8;134.4;80.6;163.6;91.6;92.8;197;12.2;1252.2
2008;162;52.2;98;235.4;184.2;242;107.4;118.2;183.4;133.6;308.8;338.8;2164
2009;147.8;127.2;211.8;241.4;23.6;103.8;77.2;60.6;187.6;65.6;162;217.6;1626.2
2010;61.8;135;101.8;40.6;238.6;118.2;125.2;136;222.8;322.8;262.8;273.4;2039
2011;41.8;73.6;182;26.4;87.2;244;177.2;15.6;68.8;199.4;197;52.8;1365.8
2012;20.8;19.8;5.8;291;182.2;121;106.8;22;187.8;219.2;431.4;73;1680.8
2013;19.4;39.4;294.4;221.4;337.2;75.2;85;166.8;77.6;152;176.6;120.8;1765.8
2014;435;395;151.4;150;108;112.2;372.6;242.8;102;51.8;417.2;149.6;2687.6
2015;77.2;37.8;112.8;75.6;156.2;83.6;71;88.6;151.8;261.6;9.4;0.2;1125.8
2016;81.6;243.8;113.8;74.4;186.4;129.6;99;223.8;105;162.6;129.2;0.6;1549.8
2017;7.6;138;45.2;122.4;97.8;124.4;223.2;15.6;185.8;21.6;148.8;166.6;1297
2018;58.8;70;200.4;123.6;187.2;104.4;148.8;181.8;62.6;182;204.2;13.6;1537.4
2019;18.6;145.2;21.4;288.8;344;60.6;357.6;141;125.8;115.6;442.6;116.8;2178
2020;17;5.8;129.6;35.6;123.8;289.8;141.2;358.4;92.6;245.4;10.4;349.6;1799.2
2021;234.8;58.4;21.6;149.8;240.8;80.4;146.4;168.8;69;108;251.4;38.4;1567.8
2022;41;45.2;11.6;80.6;93.4;62.8;45.6;174.8;137.4;32.2;125.2;123.8;973.6
Medio mensile;79;75.7;96.5;139.6;160.2;116.6;133.1;145.4;139.6;154.8;201;109.9;1546.2
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;14;
1996;4;2;0;0;0;0;0;0;0;0;3;12;
1997;3;0;0;0;0;0;0;31;2;0;3;0;
1998;0;0;0;0;0;0;0;0;0;0;0;5;
1999;0;2;0;0;0;12;0;0;0;1;1;0;
2000;0;0;0;0;0;0;0;0;0;5;0;0;
2001;0;1;0;0;0;0;7;0;0;0;0;1;
2002;0;0;0;0;0;5;0;3;25;6;0;10;
2003;13;0;0;0;0;0;0;0;0;0;3;0;
2004;2;8;6;2;4;0;2;0;0;3;0;0;
2005;1;5;0;0;0;0;0;0;0;0;2;5;
2006;5;0;2;0;1;0;0;0;0;0;0;0;
2007;2;0;0;0;1;0;0;0;0;0;0;0;
2008;2;0;0;0;0;0;0;0;0;0;0;3;
2009;1;2;0;0;0;0;0;1;0;0;0;4;
2010;5;2;1;0;0;0;0;0;0;0;9;3;
2011;2;2;0;0;0;0;0;0;2;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;1;
2013;11;5;1;0;7;0;0;0;0;0;0;0;
2014;0;0;0;0;0;6;0;0;0;0;0;0;
2015;0;5;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;1;2;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;1;0;0;1;0;0;0;3;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 17 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Monte Summano;;;;;;;;;;;;;
Coordinata X 1687851 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5069238 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 597 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;7;4;3;10;9;10;7;3;13;8;4;3;81
1995;5;10;7;10;15;11;7;15;11;1;5;4;101
1996;11;6;6;11;13;9;11;13;7;13;12;4;116
