ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Montegalda;;;;;;;;;;;;;
Coordinata X 1708188 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5036362 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 22 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;52.6;31;2.2;118;47.4;41.8;71.2;54.4;172;56.6;41.4;32;720.6
1995;48.4;79;35.4;77.8;108.8;119.6;62.8;135.2;107.2;18.2;44;186.4;1022.8
1996;120.4;47.2;16.2;106.8;116.6;56;39.6;63.4;70.4;177.6;116.2;157.6;1088
1997;97.4;5.8;11.4;58.2;29.4;68.4;55.8;106.4;16;12;103.2;137;701
1998;49;33.4;7.4;147.8;76;63.4;25.4;9.2;182.4;216.4;20;12;842.4
1999;47.2;18;61;120.8;54;95.2;102;37.8;83;149.4;166.8;67.8;1003
2000;2.2;5;73.8;82;97.8;56.6;44.2;82.6;115.4;202.2;186.8;76;1024.6
2001;126.2;13.6;200.4;77.8;49.8;22.6;140.2;90.2;82.6;87.4;50.8;1.4;943
2002;49.6;91.4;8.8;153.8;212.4;91.8;103.2;191.2;65;111.2;106.6;84.2;1269.2
2003;44.8;5.8;1.6;135.2;3.2;84.4;16;27;46.8;77.8;147.6;98;688.2
2004;46.4;173.2;53.2;90.8;82.8;61.2;58.2;105.8;74.8;114;87.2;78.6;1026.2
2005;3.4;0.6;2;134.2;77.2;41.8;162.8;155.8;91;168.2;140.2;63.2;1040.4
2006;26;57;36;72.2;104.8;17.2;39.8;248.8;182.4;15.8;41.2;70.4;911.6
2007;20.8;60.8;82.2;1.4;118.6;51.4;28.2;55.8;64.8;70;33;16;603
2008;71.8;36.4;71.8;129.6;105;130.6;108.6;62.6;63.2;64.8;160.6;179.8;1184.8
2009;92.2;37.8;128.8;166.2;2;70.6;74.8;44;112.8;38.4;129;88;984.6
2010;60.4;164;58.4;36.8;153.8;85.8;39.6;92.4;149.4;162.4;213;210.4;1426.4
2011;38.6;71.2;143.2;5.4;28.6;70.2;126.6;1.4;50.4;110.8;77.8;31;755.2
2012;11.4;24.4;6.2;97.8;102.4;24.8;34;28.6;112.2;136;187.8;56.2;821.8
2013;113.4;88;274;100;181.6;45.8;36.4;146.2;40;97.2;122;32.6;1277.2
2014;228.8;206.6;76.4;78.6;104.2;111.4;179.2;98.8;95.4;39.8;137.2;80.2;1436.6
2015;26.4;64.2;75.2;109.2;60.8;96.2;33.8;48;87.2;113;9.8;5;728.8
2016;55;204;73;47.6;193.6;110.6;11.6;61.8;31.2;115;89.4;8;1000.8
2017;12;83;21.8;75.8;43.4;55.8;75;11.4;96.4;22.2;99;35.4;631.2
2018;22.4;64.6;129.4;34;123.2;117.8;62.6;92.2;81.8;106.6;83;19.6;937.2
2019;13.6;60;7.2;196.8;266.6;6.2;123.4;35.6;53.4;56;224.8;83;1126.6
2020;27.2;9.4;60.4;31.2;64.2;99;48.2;112.4;41.8;113;17.4;160.6;784.8
2021;106.2;27;2.2;95.8;149.2;4.8;104.8;57.8;16.8;44.4;101.6;38.8;749.4
2022;15.6;25;9;46.2;64.8;12.4;39.4;90.8;99.4;9.2;108;109.6;629.4
Medio mensile;56.2;61.6;59.6;90.6;97.3;66;70.6;81;85.7;93.3;105;76.5;943.4
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;4;0;
1995;0;0;0;0;2;2;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;2;4;4;0;0;1;0;0;0;0;0;0;
2005;2;2;1;0;0;0;0;0;0;0;3;0;
2006;2;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;2;0;0;0;0;0;0;0;0;0;2;2;
2009;0;2;0;0;0;0;0;0;0;0;0;4;
2010;2;0;0;0;0;0;0;0;2;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;2;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;3;0;0;2;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;1;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 17 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
