ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Noventa di Piave - Grassaga;;;;;;;;;;;;;
Coordinata X 1779549 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5063494 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;108.4;38;2.2;140.8;60.8;30;54.8;61.8;127;68.6;81.4;30.6;804.4
1995;42.6;70.8;65.2;38.6;94.4;152.6;47.2;146;275.4;6.2;24.6;153.2;1116.8
1996;47;30.8;7.2;135;79.4;33.6;14.2;122.6;110;163.2;115.8;124.4;983.2
1997;78;2;19.6;66.2;39.8;80.4;114.4;75.8;36.8;18.4;137.6;102.8;771.8
1998;27;2.6;1.6;117.8;76.2;119.2;55.2;21.6;171;159.2;21.4;11.2;784
1999;34.8;26;62;161.2;40.2;75.6;38.4;73.8;59.8;99.4;118.8;83;873
2000;4;7.4;54.4;84.4;120.4;70.4;31.4;27;165.2;142.8;250.6;71;1029
2001;100.8;16.2;115.2;70.8;75;94.6;71.8;60.4;145.8;55.6;52.2;3.8;862.2
2002;0.4;64.6;13.6;141.6;159.2;84.4;116;150.8;85.4;132;115.6;57;1120.6
2003;48.6;0.4;1.8;129.4;30.6;31;54.6;41.4;35.8;63.8;126;92.8;656.2
2004;48.4;186.2;82;90.8;98.8;97.2;47.8;90.2;86.4;162.4;98.8;83.6;1172.6
2005;25.2;1.6;11.8;122.6;57.6;74.8;74.2;168.6;203.8;152.8;135.4;61;1089.4
2006;42;30.2;47.8;90;46;4.6;24;81.2;216;15.6;27;87.8;712.2
2007;27.8;77.4;65;0;113.8;120.6;32;118;161.8;58.8;28.8;23;827
2008;93.4;40.4;79.6;105.6;164;152;39;85;62.6;54.8;158.6;190.6;1225.6
2009;92.8;83.4;159.4;106.8;24.6;69.4;34.6;24.8;109.4;51.2;128.2;137;1021.6
2010;80.2;140.2;38.2;41.8;159.8;105;76;76.2;151.2;99;205.2;169.8;1342.6
2011;26.6;59.6;174.8;9.2;23.4;108.8;147;4.4;101.8;98.2;38;38;829.8
2012;15.4;23.8;4.4;124.6;117;19;7.2;62.6;185.6;84.8;150.4;49;843.8
2013;100;101.4;288;51.4;194;24;27.2;67.8;74;63;169.8;31.2;1191.8
2014;266.4;250;67;34.2;71.6;86;207;211.6;70.2;55.8;253.6;76.4;1649.8
2015;20;34.2;139.2;33.6;109.2;137.2;15.4;103.4;101.4;137.8;11;0.2;842.6
2016;43.4;211.8;63.8;77.6;163.6;134.6;25.4;155.8;91.6;89.2;151;1;1208.8
