ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Padova;;;;;;;;;;;;;
Coordinata X 1727642 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5032075 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 12 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1998;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1999;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2000;>>;>>;>>;>>;37;34.4;31;65.4;131.4;186.8;153.4;64;703.4
2001;90.6;15.6;169.8;59.6;54.2;65.2;132.8;46.6;75.8;50.4;39.6;0.6;800.8
2002;45;67.4;1.6;113.4;155;105.2;135;155.8;23.4;113.8;103.8;90;1109.4
2003;42.4;10.6;3;155;24.8;56.6;27.2;20.6;44.2;84.4;134.6;94.4;697.8
2004;54.6;183.8;92.2;86.4;95.2;81.6;59.6;39;97;128.8;102.6;79.8;1100.6
2005;0.4;1;17.8;108;102.4;47;100;216.2;66.8;213.2;181.6;54.6;1109
2006;23.4;41.8;51.6;63.8;89.6;18.4;45.8;170.6;248;21;35.8;62;871.8
2007;24;61.8;91.4;3.8;153.4;104.8;23.2;71.2;108;53;26.8;29.6;751
2008;94.6;42.4;61.6;127;149;112.4;92.8;121.8;60.2;57.2;166;179.4;1264.4
2009;76.6;69.2;136;177.4;20.6;89.2;35.8;18.4;183.6;35.6;98;83;1023.4
2010;62.2;143.6;58;51.6;219.4;113.8;120.2;72;101.8;100;170.2;137.6;1350.4
2011;20.4;49.4;113.6;8.6;23;83.6;122.4;1.4;51;75.4;99.8;23.2;671.8
2012;6.6;27.2;20.4;109.2;107.4;35.2;4.4;39.2;88.8;135;118.4;42.8;734.6
2013;109.2;85.4;274.6;111.2;161.8;56.8;44.4;92;36.6;96.6;107;20.4;1196
