ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Passo Falzarego;;;;;;;;;;;;;
Coordinata X 1730665 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5156102 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 2090 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;94;42.4;13.4;92.8;123.4;82.8;146.4;167;229;73.6;44;21;1129.8
1995;34.8;39.4;26;73.8;155.8;186;117.2;105;138;0.2;25;67.4;968.6
1996;29.4;17.6;8.8;43;172;130.4;110.6;158.2;44.2;205.8;272.6;39.6;1232.2
1997;51.4;6.4;12.2;32.8;78.2;247.8;148.6;142;34.6;7.6;155.6;83;1000.2
1998;20.8;9.4;6.6;196;68.4;151.8;129;97.4;174.6;208.6;26.2;3.6;1092.4
1999;50.2;10;100.4;94.2;156.4;194.6;141.2;153.8;165;94.4;38.6;30.6;1229.4
2000;12;5.8;117.2;65.2;82;95.6;136.8;147;146.8;278.2;333.6;45.4;1465.6
2001;137.8;19.6;97.8;14.4;77.8;126.6;157.4;107.6;118.8;36.6;29;1;924.4
2002;8.8;70.4;65.2;123.2;291.4;114.8;134.8;133.8;160.4;87.4;532;52.2;1774.4
2003;17.8;4;2;52.4;114.4;133.4;162;88.4;27.6;144;232.4;72.4;1050.8
2004;8.8;36.6;17.2;66.4;147;102.8;175.6;121.6;74.6;153;86;68.6;1058.2
2005;5.4;10.8;32.4;89.8;99.6;98.6;192.4;135.2;112.8;203.6;46.2;46.8;1073.6
2006;15.8;46;41.6;95.6;98.4;86.2;99.8;254.2;93.8;40.4;16.2;80.4;968.4
2007;87.2;26.4;112.4;24.6;156.6;199.4;127.4;288;93;30.6;98;7.4;1251
2008;108.6;24;58;124.4;167;165.8;171.4;167;100.8;158;184.4;180.2;1609.6
2009;93.4;92;100;144.4;71.8;170;154.6;149.4;99.8;63;135.8;115.4;1389.6
2010;18.6;37.4;39;44.4;181.8;105.4;69.2;148.6;138.8;118.4;196.4;151.2;1249.2
2011;19.2;36;80.2;19.4;135.4;185;159.6;156.2;160.8;83.8;52;24.4;1112
2012;17.6;7.6;45.8;116.4;98;110.4;207.2;159.6;166.4;125;257.8;30.2;1342
2013;33;53.8;108.2;102.6;212.8;124.8;106.8;178.8;75.8;147.4;155.4;73.6;1373
2014;216.2;193.4;31.2;77;62;150.4;231.2;149.6;100.2;86.6;320.6;66.6;1685
2015;60.2;33;61;33;153.8;138.2;100.4;209.6;122.2;118.2;2;0;1031.6
2016;37.8;95.8;58.2;101;153.4;210.4;174;189;123.2;95.8;58.2;0.4;1297.2
2017;4.2;42;27.4;89.4;103.2;201.4;159.8;58.6;182.8;20.4;87.4;91.8;1068.4
2018;58.4;20;110.4;91;205.8;105;185.2;233.8;73.2;302.2;66.2;14;1465.2
2019;18.8;71;25;194.8;153.4;72.4;227.8;104.8;105.8;86.8;338.6;78;1477.2
2020;3.6;5.2;77.2;23.8;108.8;190.6;166.8;413.8;109.2;243.6;5;229.2;1576.8
2021;57.6;61.2;2.8;36.6;139.6;104;216.8;186.4;62;68.2;121;20.2;1076.4
2022;1.4;5.4;9.4;78.6;110.8;182.4;141;177.2;114.4;48.4;58;64;991
Medio mensile;45.6;38.7;51.3;80.7;133.8;143.7;153.5;164.9;115.5;114.8;137;60.6;1240.1
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;2;0;0;0;0;
1997;0;0;0;0;0;0;0;3;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;1;2;3;12;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;1;0;2;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;6;16;1;0;0;0;0;0;4;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;3;2;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;1;0;0;0;0;4;
2009;1;3;5;1;0;0;0;0;0;0;0;0;
2010;3;3;2;3;0;2;0;0;0;0;0;2;
2011;0;0;0;0;0;2;0;0;0;0;0;0;
2012;0;2;0;0;0;0;0;0;0;0;0;0;
2013;2;0;1;0;0;0;0;0;0;0;0;0;
2014;0;5;2;0;0;0;0;0;0;0;0;0;
2015;0;2;0;0;0;0;0;0;0;0;0;0;
2016;0;0;2;0;0;0;0;0;1;0;2;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;2;0;0;0;0;0;0;0;
2019;1;0;0;2;2;0;0;0;0;0;2;0;
