ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Passo Monte Croce Comelico;;;;;;;;;;;;;
Coordinata X 1762015 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5172231 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1621 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;46.6;33.2;18;70;105.6;97;120.4;196;287.6;79.6;38.8;15;1107.8
1995;30.4;30.4;23.2;53.6;146.6;162.4;141;98.2;177.8;0;18.8;47.4;929.8
1996;31.4;18.2;6.4;40.6;133;112.2;166;197;50.4;237.6;291.6;24.2;1308.6
1997;50.6;7.6;14.6;35.2;99.4;317;209.8;120.2;63.4;12.8;217;86.6;1234.2
1998;25.6;8.6;3.4;150.6;57.2;243.8;235.6;109.2;226.6;226.6;5.4;3.2;1295.8
1999;47.6;7;77.2;81.8;189.6;152.8;156.2;213.6;159.4;124.4;30.6;39.2;1279.4
2000;6.4;5.4;90.8;125.4;91.4;85.2;194;161.4;155.2;380.4;392.6;36.4;1724.6
2001;145.8;21.4;104.8;91.6;46.8;153.6;150.8;136.6;163.8;43.4;29.2;0.4;1088.2
2002;4.2;32;48.4;117.4;173.8;216;98;163;103.4;81.6;477;43.6;1558.4
2003;17.4;1.2;1;36;121.4;84.4;160;108.6;30.2;156.8;232.2;57.6;1006.8
2004;6.4;39.6;32.8;53;117.4;123;162.6;135.6;75;201.4;57.4;65.2;1069.4
2005;3.6;5.6;17.4;77;111.2;74.8;220.8;119.4;107.6;168.8;45;43.4;994.6
2006;7.2;45.6;51.4;89;108.4;104.6;123.4;250.8;97.2;56.2;11.2;70.8;1015.8
2007;76.2;28.6;90.2;17.2;116.4;174.8;195;229.4;117;31.8;67.4;5.4;1149.4
2008;108.2;25.8;66;97.6;141.6;147.6;233.4;147.2;85.8;217.6;160.6;170.4;1601.8
2009;111.2;95.2;145;86.8;49.8;116.8;154;103.2;112.6;48.8;90;131.4;1244.8
2010;21.8;40;43.4;40.2;180.4;111;66.6;215;143.6;117.8;172.2;129.6;1281.6
2011;17.8;15;48.6;38.8;145.8;273.6;146;101.4;245.4;109.6;40.2;37.8;1220
2012;25.8;11.4;22.6;129;77.8;157.2;218.8;161.8;232;159;215.8;29.6;1440.8
