ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Passo Pordoi;;;;;;;;;;;;;
Coordinata X 1716666 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5151658 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 2154 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;30.6;21.6;11.2;38.4;52.2;46.8;111.2;141.4;229.8;74.2;47.6;13.6;818.6
1995;38.4;44.8;18.2;40.2;131.6;211.4;166;108;118.6;2.4;30.8;51.8;962.2
1996;22.6;15.2;10.6;35.8;156.6;114.4;122.8;199.2;39.2;158.2;145.8;40;1060.4
1997;40.6;9;17.8;35.2;74.4;257.6;171;164.6;36.6;5.6;102.4;42.6;957.4
1998;23.2;7.4;10.2;102.8;100.4;163.8;132.4;105;141.2;171.4;27.4;6;991.2
1999;24.4;12.8;52;65.4;152.8;151;129.2;156.2;138.6;90.8;28;31.8;1033
2000;23.8;6.8;73;51.2;77.6;101.4;112.6;124.4;78.4;200.8;226.2;44;1120.2
2001;96.4;16.2;90.8;98.8;59.2;126.6;140.2;127.8;99.2;33.2;23.6;1.4;913.4
2002;7.2;29.8;44.8;90.8;199.8;119.8;107;151.2;96.8;49;285.4;32.4;1214
2003;13.2;3.8;3.8;42.8;112.2;167.2;154.6;158.8;32.8;112.2;88.4;42.8;932.6
2004;11;37.8;39.4;52;109;96.6;170.4;125;68.2;158.6;48.6;34;950.6
2005;17.4;10.4;44;46;114;144.2;171;129.8;164;153;44;38;1075.8
2006;9.2;17.8;46.8;88.4;90.6;49.2;126.2;231.2;94.4;41.4;10.2;52.8;858.2
2007;55.6;24.8;61.6;33.8;130.6;178.8;101.4;226;85;26.2;62.6;6.6;993
2008;11.8;17.8;50.4;94.4;111.4;197.2;206.2;176.8;67.8;127.8;88.2;32.4;1182.2
2009;57;56;30.8;78.4;52.4;104;126.8;159;82.4;51.8;85.4;107.6;991.6
2010;15.4;42;4.6;13.4;83.6;102.2;107.4;210.6;140;52;118;119.4;1008.6
2011;14.8;18.6;35.6;38.6;110.6;216.6;120.6;96.2;145.6;98.4;26.2;24.8;946.6
2012;32.8;13.2;40;106.8;51;144.8;188.6;170.8;147.4;119.8;196.4;34.2;1245.8
2013;42.6;30.2;88.6;80;166;129.4;90.8;169;79.8;121.2;83.2;40.8;1121.6
2014;105.6;59.2;6.8;68;78.4;120;175.2;253.4;81.2;84.6;191.6;55.2;1279.2
2015;41.4;16.2;31.2;24.4;103.4;130.2;163;127.8;119.2;117.4;1.4;0.2;875.8
2016;31.2;39.8;17;112;105.2;194;162.4;198;82.4;104.8;62.2;0;1109
2017;2.4;36;19;78.4;86;194;152.4;160.2;145;16;44.4;46.2;980
2018;24;21.8;75;60.6;173;63.4;235.8;215.2;71.8;223.4;47.2;23.4;1234.6
2019;11.2;51.8;24;76.2;88.4;65.4;199;110.6;95.6;89;118;43.2;972.4
2020;8;10.8;69.6;32.8;128.4;174.4;318.6;344.2;81;145.4;5.4;20.6;1339.2
2021;16.6;34.6;5;24.6;118;70.8;248.8;158.8;59;55.2;93.4;19.6;904.4
2022;10.4;9.2;7;104;123.4;110.2;103.6;146.4;108.6;63.2;51.6;40.6;878.2
Medio mensile;28.9;24.7;35.5;62.6;108.3;136;155.7;167.1;101;94.7;82.2;36.1;1032.8
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;5;0;0;0;0;0;0;0;0;0;
1996;3;0;0;5;0;0;0;0;0;0;6;2;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;2;1;2;0;2;2;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;2;0;
2003;0;0;0;0;0;0;0;0;0;0;5;1;
2004;3;0;0;0;0;0;1;1;0;0;4;0;
2005;0;0;0;1;0;0;0;0;0;0;0;0;
2006;2;2;0;0;0;0;0;0;0;0;0;0;
2007;0;0;1;0;0;0;0;0;0;0;0;0;
2008;4;0;0;1;0;0;0;0;0;0;3;6;
2009;0;3;6;2;0;0;0;0;0;0;1;0;
2010;0;0;3;3;2;0;0;0;0;1;0;0;
2011;0;0;1;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;2;0;0;0;0;1;1;0;
2013;0;2;2;0;0;0;0;0;0;0;2;0;
