ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Passo Santa Caterina (Valdagno);;;;;;;;;;;;;
Coordinata X 1676150 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5054313 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 807 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;102.6;35.8;24;152.2;145.4;32;99.4;70.2;225;67.8;214.6;61.6;1230.6
1995;55.2;98.4;35.2;163;242;240;65;177;213.8;8;90.2;214.8;1602.6
1996;160;49;33.6;76.8;145;155;157.2;162.6;70.8;281.8;214.8;127.8;1634.4
1997;104;3.2;10.8;84.6;59.6;187;103.2;77.6;14.8;14.4;211.8;180.2;1051.2
1998;53.6;23.2;7.4;235.8;122;104;55.8;9.8;261.6;274;30;14.2;1191.4
1999;77.2;4.2;164.2;142.4;197.6;91.4;104.4;107.8;226.2;242.8;224.6;56.2;1639
2000;0.8;10.4;136.8;102.6;103;114.8;62.6;155.6;194.8;281.2;543.2;84.6;1790.4
2001;154.8;35.2;292.2;101.4;181;13.6;88;100;129.2;52.4;57.4;4;1209.2
2002;28.2;138.8;60.4;256.2;509.8;150;207.2;215.6;147.2;149.4;335.6;95.6;2294
2003;61.6;0.8;4;66.6;17.8;113.8;71.2;61.8;32.4;146.6;335.4;218.4;1130.4
2004;40.6;194.6;96.6;303.2;255.2;125.2;90.6;80.8;91.6;258.8;266;148.2;1951.4
2005;3.8;28.2;36.6;198.8;141;67.2;227.8;120;123.4;283.6;157.8;111.4;1499.6
2006;101.2;108.8;72;135.2;166.8;52.8;16.8;251.2;229.8;30.8;37.8;116;1319.2
2007;81;49.4;104.8;20.6;184;175.6;98.8;185.6;138.8;80;139.2;7;1264.8
2008;137.2;39.4;57;180;166.8;273;64.4;95.8;141.2;100.2;354.4;340.4;1949.8
2009;133.4;167.6;197.6;309;23.6;156.4;83.6;58.8;254.8;65.8;173.6;208.4;1832.6
2010;79.2;128.4;72.8;54.6;267.8;154.8;116.4;257.8;246.4;337.2;543.2;301.4;2560
2011;57.2;84.4;237.6;40.2;79;168;141.6;10.2;115;190.8;311.6;59.2;1494.8
2012;18.6;16.4;7.2;255.8;218.6;44;59.2;59;202.2;194.2;409.6;74.2;1559
2013;104.4;63;252.2;177;482;113.2;47.2;106.2;104.2;119.4;181.6;123.6;1874
2014;397.2;313.6;114.2;207;157.4;124.4;315.6;156;86.8;74.6;287.6;156;2390.4
2015;76.6;92.2;135;116.8;140.8;244.8;32.2;88.6;209.2;220.8;26.2;0;1383.2
2016;74.8;337.6;67.8;84;197.8;274.2;27;121.4;41.4;161.2;143.8;0.4;1531.4
2017;14.4;137;50.2;121.4;120;68.4;45.6;33.2;184.3;29.4;125.6;128.2;1057.7
2018;67.8;73.6;202.6;163;258.4;87.6;150;135;120.8;197.4;223;24.4;1703.6
2019;22.8;143.8;12.4;323.6;334.6;28;119.4;74.6;131.6;89.6;453.4;126.8;1860.6
2020;12.2;4;142.2;50.6;145.4;190;88.6;279.2;81;230.8;13.4;345.4;1582.8
2021;245.8;56.2;9;120.4;190.8;18.2;158.4;56.4;35.8;87.6;252.4;39.6;1270.6
2022;21.6;47.6;9.4;68.2;94.8;117.6;61.4;197.2;174.6;28;130;139.6;1090
Medio mensile;85.8;85.7;91.2;148.7;184.4;127.1;102;120.9;145.8;148.2;223.7;121;1584.4
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;5;3;0;0;0;0;0;
1995;0;0;0;0;2;0;0;0;0;0;0;0;
1996;0;0;0;5;2;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;2;0;0;0;0;0;0;0;
2004;0;0;1;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;6;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;1;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;1;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;2;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;1;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
