ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Passo Valles;;;;;;;;;;;;;
Coordinata X 1715631 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5135568 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 2042 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;60.4;31.4;8.2;79.4;125;60;95.6;109.6;273;64.4;65;13;985
1995;14.8;26.2;38.2;76.4;166.4;186.4;187;91;178.6;2.6;20.2;54.4;1042.2
1996;31;9.4;8.6;38;157;123.8;148;211.6;46.2;236.2;316.6;35.6;1362
1997;39;1.6;10.8;26.8;72.6;333.4;147.6;168.6;21.6;5;173.6;66.4;1067
1998;17;5;1.2;183.6;85.4;138.4;161.6;154.6;177.4;211.2;20.8;3.8;1160
1999;48.6;4.4;97.2;94.4;188.2;141.4;141.8;166.6;198.4;153.4;43.2;16.4;1294
2000;1;1.4;83.4;69.8;90;88.2;119.4;159.2;128;341.2;342;33.2;1456.8
2001;109.6;18.6;159.2;96.8;72.4;94.8;186.4;122.6;101.4;37.8;30;0.2;1029.8
2002;4.8;35.4;38.4;128.2;287.4;70.4;151.8;147.2;112.2;67.2;442.2;41;1526.2
2003;20.4;1.8;7;28;132.8;135.8;124.6;106.6;29.6;145;175.4;58.8;965.8
2004;3.4;65.4;52.4;76.8;143.4;108.6;137;110.2;64;217.8;98.6;54.4;1132
2005;4.4;3.8;35.8;79.8;119.2;95.8;123.8;131.4;174.6;233.6;39.8;44;1086
2006;29.4;53.2;38.6;112;115.6;58.4;135.4;246.4;105.6;41.8;15.8;93.4;1045.6
2007;79.8;15.6;117.2;36.2;167.6;126.8;120.4;242.6;92.6;29;83.2;3;1114
2008;114.6;31.6;75.6;119;215.6;185.6;180.8;192.6;112;206.2;200.2;243.6;1877.4
2009;93.4;132.2;112.6;221;34.8;107.8;189.4;134;124;53.6;136.6;129.8;1469.2
2010;38.4;70.4;59.8;37.4;187.2;147.8;124.2;218.8;152.2;132.4;221.8;156.6;1547
2011;13;50.4;130.6;29.4;149;264.2;92.4;95.2;186.6;110.6;96;14.6;1232
2012;17.4;6.8;51.2;129.6;126.2;104;224.6;193.8;217;156;292.2;17.8;1536.6
2013;83;53.6;145.4;126;213.4;134.6;120;163.8;71.4;179.2;142.2;94.8;1527.4
2014;285.4;112;61.2;100.2;45.2;150.4;188.6;191.8;95;78.8;352.6;65.2;1726.4
2015;55.6;48.8;51.6;29;137.6;122.4;118.4;151.2;154.8;147.2;0.2;0;1016.8
2016;26;104.6;62.2;79;136.6;212.8;166.4;153.8;93.8;104.4;83.2;0;1222.8
2017;3.4;56.8;31.2;94.2;106.8;216.4;141.4;102.6;168.6;23.6;98.6;113.6;1157.2
2018;55.8;20;112;114.4;204.8;103.6;230.4;233.6;64;371.4;89.4;8.8;1608.2
2019;17.6;97.2;32.4;290.2;179.6;55.2;188.8;82.4;120.8;76.4;427;72.6;1640.2
2020;3.2;5;46.8;29.8;88.4;160.8;156.6;361.4;107.6;283;11.6;243.6;1497.8
2021;110.2;41.8;8;64;168.2;82.6;216;121.4;54.4;79;158.8;28.4;1132.8
2022;20.6;34.6;6.2;80.6;105.2;210;163;164.2;130;60.6;76.6;82;1133.6
Medio mensile;48.3;39.3;58;92.1;138.7;138.6;154.5;163.1;122.6;132.7;146.7;61.7;1296.3
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;1;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;2;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;2;0;0;0;1;1;0;0;0;
2002;0;0;0;0;0;6;0;0;0;0;0;0;
2003;0;0;0;1;0;0;0;0;0;0;0;0;
2004;0;0;6;4;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;1;3;0;0;0;0;1;0;0;0;0;
2010;0;0;2;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;1;0;0;0;0;0;0;0;0;0;0;
2013;0;2;1;1;0;0;0;0;0;0;0;0;
2014;0;7;2;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;1;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;1;0;0;0;1;0;0;0;0;3;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
