ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Pian del Crep (Val di Zoldo);;;;;;;;;;;;;
Coordinata X 1737890 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5140871 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1741 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;67.8;56.2;20.4;101.8;132.2;84.4;161.2;128.4;294.4;78.2;59.2;29;1213.2
1995;45.8;48.4;47.2;68.4;161.6;210.6;147.2;115.2;193.6;0;29.4;100.6;1168
1996;63;21.4;13.8;60.6;165.6;121.4;136.8;208.8;54.4;281;288.2;44.4;1459.4
1997;65.6;3;5;28.2;78.2;268.6;116;142;21.4;3.2;177.6;125.2;1034
1998;26.6;8.8;5.6;143.8;59.4;108.2;142.8;119;184.8;206;46;7.2;1058.2
1999;55.6;14;112.4;127.4;180.2;180.4;152.4;177.4;182.8;165.6;73.2;51.4;1472.8
2000;7;5.4;116.2;80.2;96;102.4;128;166.6;141.6;385.6;465.8;61.2;1756
2001;181.8;22.6;180;113.4;96.6;90;145.2;115.4;132;53.2;40.8;0.2;1171.2
2002;11.4;72.2;54;183.6;284.8;221.8;146.2;196;170.2;100;518.6;49.4;2008.2
2003;26.6;4.4;3;77.4;95.6;136.8;120.8;108.2;55.6;175.8;176.6;102;1082.8
2004;12.2;86.4;101.4;87.2;171.2;92;135.8;90.8;94;241.8;109.2;88;1310
2005;7.2;7;36.4;118.6;146.4;76.6;144.2;141;158.2;255;66;43;1199.6
2006;36.4;58.8;66.6;160.2;103.4;69.6;166.4;265;93.8;66.4;18;118.4;1223
2007;112.4;33.6;116.4;20.8;154;154.2;117;239.2;117.2;48.8;148.8;6.4;1268.8
2008;169.6;40.2;91.8;130.8;206;191.4;196.4;131.4;112;244.8;247.4;193.4;1955.2
2009;99.8;75.6;167.2;144;86.2;120;188.6;117.8;182;60.2;168.2;191.6;1601.2
2010;43.2;86.6;44.4;42;269.6;161.8;100;149.2;199;167;287.8;207.4;1758
2011;35.6;30.2;93.4;29.2;177;244.8;145.2;151;191.8;154.6;93.2;20.2;1366.2
2012;19;17.6;58.8;154;139;119.2;230.8;128;213.4;186.8;358.6;32.8;1658
2013;87.8;69.2;158.2;155.6;16.2;179.8;92.6;137.6;86.2;182.8;197;114;1477
2014;298;312;88.6;79.8;70.8;187.2;217.6;177.6;96.2;90.8;332;104.2;2054.8
2015;57.4;26;80.4;39.8;176;164.8;32.8;167.2;164.4;155.2;1.6;0;1065.6
2016;41.6;122;102.2;111.2;119.6;206.6;132;124.8;92.8;126.2;101.8;0;1280.8
2017;5.2;73.8;31.4;118.6;113.8;147.8;150.6;80;255;21;113.4;101.2;1211.8
2018;74.6;51.4;160.2;108.4;201.4;102.4;166.2;256.2;52.8;380.2;129.8;11.4;1695
2019;27.6;35;37;256.2;218.2;71;199;109.4;143;105;467.8;85.6;1754.8
2020;12.8;8.6;103.8;27.6;126.8;191.8;164.8;396.8;88.4;278.6;7;298.6;1705.6
2021;180.2;71;7.4;70;196.2;96;208;203;73.4;73;168.2;37;1383.4
2022;20.2;37.4;11.2;84.4;86;155.8;172.8;150.4;98;52.8;72.4;66;1007.4
Medio mensile;65.2;51.7;72.9;100.8;142.3;146.8;150.3;161.8;135.9;149.6;171.2;79;1427.6
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;2;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;5;0;0;0;0;0;0;0;0;0;4;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
