ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Piana di Marcesina - Rendole;;;;;;;;;;;;;
Coordinata X 1702486 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5091759 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1310 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1998;>>;>>;>>;>>;>>;177.8;142.2;66.6;248.8;310.6;39;15.4;1000.4
1999;0.2;0.4;111.8;225.8;207.6;160.6;107;167.8;280.6;237.6;96.2;3.4;1599
2000;2.8;2.6;40.6;83.8;118.4;129.4;113.2;194;172;379.2;493;28.8;1757.8
2001;183.4;21.4;247.4;108.6;174.6;49.4;200.4;171.6;120.6;77.4;46.4;1.2;1402.4
2002;3.2;6;73.6;166.4;118;205.6;220.2;337.8;186;139.2;646.4;67;2169.4
2003;2.6;1.8;13;33.2;68.6;131.2;67.8;73.6;69.6;190.6;239;19.4;910.4
2004;0.4;0.2;0.4;122.4;253.8;162.6;82.8;91.4;122.4;261;185.6;99.8;1382.8
2005;8.4;32.6;43.4;182.4;150.2;116.4;153.6;139.6;252.4;301.8;127.2;90.8;1598.8
2006;121.4;68.4;71;140.2;123.2;96.6;132.2;232.8;201.4;41.6;14.8;154;1397.6
2007;85.8;23;141.8;26.6;254.6;171;126.2;173.4;144.6;84.8;182.8;4.2;1418.8
2008;188.4;42.6;72.8;216;279.6;205.4;149.2;151.2;163.6;219.4;255.6;285;2228.8
2009;121.8;177.4;217.2;371.4;38.8;204.2;174;161.2;221;85;285.6;215.6;2273.2
2010;85.8;123.4;83.8;52;337.4;172;155.4;148.2;201.8;317.6;510.2;298.4;2486
2011;32.2;74.4;179.4;28.4;113.2;305.6;125.8;119.4;152.4;181.2;233;34.8;1579.8
2012;14.2;17.8;15.6;195.6;222.6;72.4;69.4;98.2;196.8;236;411.2;46.8;1596.6
