ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Podestagno (Cortina d'Ampezzo);;;;;;;;;;;;;
Coordinata X 1738424 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5164737 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1316 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;82.4;26.2;22.2;90.6;106.8;71.2;60;119.8;205.2;61.8;43.2;20.2;909.6
1995;39.2;46.2;34.8;69.4;149.8;161.2;102.2;82.6;122.6;0;25.6;64;897.6
1996;47.6;22.6;8.2;42.6;159.6;118.2;134.6;188.4;34.6;248.6;290.2;49.8;1345
1997;64.2;6.6;27;48.4;82.4;298.8;132;118.2;60.2;7.8;178.2;116.2;1140
1998;28.8;8.6;3.6;185.4;69.8;182.6;151;91.4;194.8;222.2;23;2.6;1163.8
1999;69.4;8.8;119;129;137;160;141.8;174.4;175.2;124.2;36.4;42.2;1317.4
2000;8.8;7.2;129.2;89.6;108.8;91;147.6;170.2;137.6;328.6;419.4;49.4;1687.4
2001;184.8;20.8;178.4;121.4;66.8;114.4;143.8;86.2;144.8;39.8;26.2;0;1127.4
2002;10;35.4;78.4;141.6;250.8;166;109.2;132.8;134;68.6;501.6;61.8;1690.2
2003;24;3.4;1.2;57.6;94.4;77.6;106.6;77.6;22.2;155.2;209;68.4;897.2
2004;4.4;59.2;44.6;60;135.2;126.6;160.2;106.4;58.8;194.6;80.2;79.4;1109.6
2005;5.8;7.6;15.4;108;98.8;75.6;161.2;116.4;94.8;159;46.2;66;954.8
2006;16.8;48.2;51.4;103.2;86.6;95.8;168.2;289.6;77.8;41.4;13.6;91.2;1083.8
2007;96.6;31;117.4;15.6;145.4;153;138.6;236.2;95.2;28.2;95.2;9.4;1161.8
2008;125;27.2;53.2;137.2;130.2;149.4;157.4;144.2;90.2;199.4;211.6;207.4;1632.4
2009;105.2;119.4;141.6;145.6;44.2;116;125.8;107.6;104.2;67.2;140.6;161.2;1378.6
2010;22.8;65;44.8;43.8;218.4;123.8;98.6;201.4;145.8;127.2;215.2;162.8;1469.6
2011;25;33.4;84.4;18.6;145.6;227.6;178;118.6;212;117.8;68.6;37.4;1267
2012;19.6;4.8;36.4;143;96;116.6;198;152.2;163;162.2;354;40.6;1486.4
2013;60.8;36.2;139.8;147.8;232;93.6;112.2;177;92.2;166.4;164.8;145.2;1568
2014;275.8;101;76.2;66.6;70.4;108.2;155.6;157;49.6;72.4;345.2;74.8;1552.8
2015;70.8;25.6;55.6;44.2;152.6;72.6;123.8;153.8;136.6;139.2;0.8;0;975.6
2016;49;118.4;123.4;110;126.6;160.6;143.8;191.4;84.2;102;82;1;1292.4
2017;10.8;56;34.4;128.4;101.2;169.6;152.4;112;203.8;16.8;105.8;131.8;1223
2018;67;26.2;131;114.6;170.6;96.2;157.8;250.4;72.4;315.2;92.4;17.6;1511.4
2019;18.8;109.6;40.4;217;167.4;56.4;111.6;77.8;108.8;83;520.8;91;1602.6
2020;9;5.6;123.4;29.6;105.8;171.6;164.4;298;97.2;261.2;6;345.8;1617.6
2021;135.4;74.2;0.8;47.8;158.6;80;242.2;194.2;51.4;76.4;176.8;22.8;1260.6
2022;10;15.6;10.4;106.8;84;161;112.2;216;115.6;43.4;59.8;75.8;1010.6
Medio mensile;58.2;39.7;66.4;95.3;127.4;130.9;141.1;156.6;113.3;125.2;156.3;77.1;1287.4
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
