ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Ponte di Piave;;;;;;;;;;;;;
Coordinata X 1774281 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5068682 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 3 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;15.4;43.8;168.2;140.8;45.2;194.4;309.8;6.2;42.2;106.6;1072.6
1996;89.2;29.8;6.8;137.8;91;39.4;48.4;105.4;77.8;227.2;128.8;114.8;1096.4
1997;77.4;3.2;21.4;66;48;58.8;82.8;94.2;24.2;17.6;145;128.2;766.8
1998;31.8;3;1;154.8;69.4;82.8;51.2;22.6;187;159.2;21.6;10;794.4
1999;36.4;16.6;56;136.8;51;82.8;57.4;95.2;68.6;99.6;102.6;75.2;878.2
2000;3;6.8;50;56.2;71.8;87.2;43.8;42.4;104.8;110.8;195.2;61.4;833.4
2001;96.2;10.8;127.2;77.6;81.8;93.8;68.2;11.4;>>;>>;67.4;3.4;637.8
2002;43;73.8;>>;153;113.8;70;126.4;174;100.8;141.2;145.4;67.2;1208.6
2003;56.4;17.6;1;141.2;20.2;31.8;35.4;51.4;23.8;77.2;167.2;113.6;736.8
2004;54.2;202.4;88.2;101.4;140.2;100.4;42.4;120.4;110.2;212.2;109;92.6;1373.6
2005;22.2;0.8;13.4;137.4;96.8;52.8;81;208.2;203;182.4;160.2;68.8;1227
2006;44.6;30.6;50.6;105.8;100.2;13.4;26.6;112.4;289.2;14.8;40;103.8;932
2007;32.2;74.8;86.4;0.2;148.4;138.4;39.2;189.6;193;60.2;30.2;28.6;1021.2
2008;115.4;54.6;81;118.4;166.4;158.6;52.4;92.2;96.4;58.6;182.2;210;1386.2
2009;94.8;85.2;171.4;135.6;34;102.8;44.2;9;89.6;83;127.6;114;1091.2
2010;93.8;147.4;32;32.4;197;107.8;131.6;70;106;100.2;209.4;192.8;1420.4
2011;28.4;57.8;166.2;7.4;35.6;78.2;127.4;10.8;70;94.4;36.6;36.4;749.2
