ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Portogruaro - Lison;;;;;;;;;;;;;
Coordinata X 1792602 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5072675 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 2 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;118.8;49;5.8;125.2;56.4;69.8;25.2;50.2;127.6;73.2;80.8;19.4;801.4
1995;46.8;72.2;75.4;28.4;195.8;178.6;63.4;119.4;245.4;4.4;27;159.2;1216
1996;94.6;35.4;11.2;111.2;94.4;64.6;37.2;122.6;82.8;195.4;49;125.8;1024.2
1997;80.4;0;19.2;79.2;43;67.8;78.6;51.4;18.4;31.6;181;144;794.6
1998;25.4;1;1.8;148.2;89.6;100.2;65.4;34.6;144.6;232.4;25.6;2.8;871.6
1999;32.4;25.8;64.4;174.2;59;79.2;34.2;126;59.6;88.4;105.2;75.2;923.6
2000;1.8;2.6;47.6;71.4;155.2;64.8;115;61.4;124;104.6;227;68.8;1044.2
2001;100.2;11;121.8;60.2;105.2;118;99.4;26;158.6;54.6;42.8;5.6;903.4
2002;2.4;71.4;9.2;167.6;112.2;66.2;113;170.2;118.2;172.8;138.4;59.2;1200.8
2003;54.2;15.8;1.8;153.2;41.8;21.8;75;43.2;39.2;72.4;166;110.2;794.6
2004;43;207.4;80.6;81.4;100;122.8;44.6;204.2;104;171;104.6;88.2;1351.8
2005;25.2;15.2;12.4;134.4;64.8;54.8;88.4;167.6;171.2;176.4;126.2;62.2;1098.8
2006;48.8;28.4;66.2;121.4;82.8;2;33.6;158.2;70;18.2;53.4;94.2;777.2
2007;32.4;94.2;86.4;0.6;74;68;45.4;130.8;146.2;66.6;36.6;28.8;810
2008;146.8;65.2;81.6;126;157.4;168.6;57.6;117.8;121.8;78.4;284.8;218.6;1624.6
2009;95.6;99.6;196;123.6;45.4;104.2;101.8;43.8;126;94.8;132;138.2;1301
2010;102.2;141.8;38.2;37;120;180.4;129.6;89.2;295.2;137.4;202.4;175.4;1648.8
2011;23.8;74;189.8;11;45.4;73.2;161.2;5.2;76.2;108.4;40.8;36.4;845.4
2012;19.6;18.4;2;132.6;99.6;52.4;18.4;92.8;124;117;147;51.4;875.2
2013;78;109.6;286.6;44.6;220.6;25;31.4;86;144.6;77;199.6;37.8;1340.8
2014;272;278.6;69;50.6;77;122;181.4;119.4;68.8;57.4;169.4;77.6;1543.2
2015;20;17.2;137.4;56.2;77.8;255.2;22.6;134.6;87.8;156.6;10.4;0;975.8
2016;48.6;244.4;109.8;52.8;125.4;108.2;97.2;72.2;51;107.4;135.2;0.4;1152.6
2017;35.2;93.4;14.8;87.4;41.2;95;34.2;72.2;205;12.2;105.8;84.8;881.2
2018;35.8;59.8;116;57.2;74.6;109;59.8;75;56.8;106.2;126.6;16.4;893.2
2019;8;57;19.8;204.2;285.8;15.6;105.2;61;96.8;46.4;279;119.2;1298
2020;7.8;9.4;93.4;20.8;34.8;193.6;78.4;117.6;155.8;160;23.2;203.4;1098.2
2021;110.4;51.6;3.8;107.8;169.8;5.6;54.4;75.2;45.8;40.8;153;53.4;871.6
2022;47.6;18;19.8;76.2;27.6;21.2;44.2;48;149.4;9.8;85.6;101.6;649
Medio mensile;60.6;67.8;68.3;91.2;99.2;89.9;72.3;92.3;117.8;95.6;119.3;81.3;1055.5
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;1;0;2;5;0;0;5;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;4;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;5;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;2;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;1;3;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;5;2;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
