ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Pove del Grappa - Costalunga;;;;;;;;;;;;;
Coordinata X 1712943 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5076136 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 669 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;80.6;41;27.2;109;111.6;48.2;84.2;23.4;225;57.6;128.6;48;984.4
1995;44;71.8;35;85.4;114;128;84;43.2;234.6;1.8;53.4;168.2;1063.4
1996;98.4;38.6;13.6;80.6;157.8;42.8;122.6;145.8;78;265.2;210.8;104.8;1359
1997;103;0.2;3.2;72;71.8;160;95.2;98;38.4;19.2;223.8;207.4;1092.2
1998;47.6;22.4;14.8;243;97.2;182.4;95;109;184.8;338.6;15.6;8.8;1359.2
1999;45.6;0.4;118;158.4;94.4;72.4;62.6;66.8;107.4;125.6;106.2;41;998.8
2000;0;4.8;107.4;42.8;73.4;35;38.4;47.8;134.2;210;450;68.2;1212
2001;124.6;16.2;265.8;105.8;79.8;14.6;63.8;150.4;93.4;34.2;42.8;3.4;994.8
2002;22.6;130.2;52.2;200.8;347.8;106.4;83.4;235.8;185.4;121;273.2;77;1835.8
2003;84.8;0.8;4;74.4;51.2;35.8;30;39.8;49.2;110.8;242.6;165;888.4
2004;17;134.6;106.6;127.6;177;111;76.6;221.8;71.2;178.8;132.2;129;1483.4
2005;6.6;31;21.2;164.6;91.2;83.4;148.6;171.8;105.9;223.8;155.6;104.4;1308.1
2006;61.4;57;48.8;132;109.4;43.4;35.8;264.4;135.6;21.2;17.2;115.8;1042
2007;62.8;39.6;114.6;22;274.8;113.6;46.6;155.8;110.2;86.2;119.4;10;1155.6
2008;140.6;48.4;87.8;186.8;195;171.6;105.2;120.8;152.6;102.2;214.8;332.8;1858.6
2009;139.2;132.8;209.2;226.2;42.6;74.8;28.8;98.4;216;72.4;158.6;128.6;1527.6
2010;64.8;123.8;83.4;38.2;208;161.6;88.8;89.4;156.6;331.6;399;302;2047.2
2011;48.6;59.4;183.6;35;67.4;274.8;98.6;15.8;45;215.4;153;50.2;1246.8
2012;13.4;22.4;17.6;196;173.6;94.4;79.6;57;196.6;122.6;376.8;48;1398
2013;132.4;68.4;274.2;164;409.4;80.6;21.6;150.4;55;123.6;149.4;120;1749
2014;360.4;219.8;101.6;87.6;103.2;177.4;241.8;205;87.6;60.4;355.2;123.6;2123.6
2015;28;56.6;129.2;74.8;142.6;99.2;58;106.8;176.4;235.4;10.4;0;1117.4
2016;56.2;280;75.8;73.4;182.2;163;64.4;205.6;166.4;117.2;132.6;1;1517.8
2017;9.4;100.8;17.8;105.6;90.2;100.6;56.4;23.2;151.8;20.8;167.8;151.2;995.6
2018;48.8;59.4;148;120.4;166.4;177.4;159.8;121.8;62;148.2;137.8;11.4;1361.4
2019;19.4;118.8;12;312.6;286.4;34;138.4;142.4;63.2;82.4;372.8;126.8;1709.2
2020;16.8;4.4;104.2;26.4;101.6;153.4;71.4;378.6;71.2;177.8;9.6;241.8;1357.2
2021;161.2;47.2;7.4;141.2;205.4;52.4;122.6;100;34;56.8;213.6;42.4;1184.2
2022;29.6;46.6;15.8;50.4;108.4;12.2;58;126.2;119;16;102.8;120;805
