ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Recoaro Mille;;;;;;;;;;;;;
Coordinata X 1673345 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5060968 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1073 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;187.6;61;47.8;211.2;178.8;116.8;129.8;79;229.4;81.4;269.6;83;1675.4
1995;72.6;113;52.8;286.6;224.4;241.2;39.2;248.2;359;5.4;147.6;284.8;2074.8
1996;295.2;66.8;47.8;188.4;227.6;109;189.2;232;129.8;374.4;318.2;186;2364.4
1997;177.4;2.4;14.8;113.4;100;308.6;129.4;169.4;23;31.8;409.8;289.8;1769.8
1998;82.8;40;23.8;376.2;209.4;144.4;86.2;48.2;343;370.6;50;30.8;1805.4
1999;109.2;8;238.6;231.8;144.8;133.6;171.8;98.8;325.4;347.2;246.6;93.6;2149.4
2000;1.8;17.8;197.4;156.6;90.8;105.6;77.6;162.2;257.2;502;825.4;123;2517.4
2001;273.6;85.2;437.6;139.8;192.8;12.2;178.2;135;217.2;79;70.4;15;1836
2002;43;235.4;91.6;264.8;618.8;118.2;266.2;336.6;160.8;217.2;570.4;148;3071
2003;89.6;1.8;9.2;96;54.4;110.6;54.2;56;41.6;202;409.2;251;1375.6
2004;39.4;225.8;142.2;341;293.8;112.4;74.8;50;105.6;256.8;297;154.8;2093.6
2005;13.6;37.2;44.8;231.6;115.2;86.4;222.4;139;167.8;271.8;146.8;145.2;1621.8
2006;173.4;142.4;92.8;165.6;162;79.2;77;281.2;12;62.4;41;173.6;1462.6
2007;96.2;49.6;170.2;31.6;152.2;202.2;95.6;231.6;153.8;122.2;271.8;10.4;1587.4
2008;243.8;57.2;101.2;267.2;219;272.4;94.6;85;203;186;535;471;2735.4
2009;231.8;300.8;274.2;529.2;22.2;133;84.6;87.6;201.4;120.6;229;325.8;2540.2
2010;115.2;207.2;125.8;89;346;197.2;105.2;380;301.2;441.6;764.2;438.2;3510.8
2011;67;135;244.8;34.2;106.6;218.8;91.8;48.4;151.4;208.8;258.6;108.8;1674.2
