ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Rifugio la Guardia (Recoaro Terme);;;;;;;;;;;;;
Coordinata X 1669786 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5065151 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1130 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;192.6;75;49.4;180.2;182;110.2;134.6;92;313.8;90.8;107.8;13.6;1542
1995;74;100.4;63.4;275.4;336.2;219.8;51.6;193.2;315.6;4;88.8;317.6;2040
1996;317;57;42;201.2;201;151.4;152.8;176;77;512.4;359.2;172.6;2419.6
1997;144;1.6;8;75;138.8;285;122.2;149;25.6;39;420.2;272.4;1680.8
1998;65.6;33;17.4;355;233.6;201.6;74.8;101.4;310.6;323.2;41.2;26.8;1784.2
1999;98.8;9.2;212.2;248;140.8;156.8;131.4;111.2;361.4;424.2;258.2;71.6;2223.8
2000;2.4;16.6;205.4;190.6;152.2;113.6;132.8;262.6;279.4;716.8;886;140.4;3098.8
2001;265.4;108.8;459.8;178;216.4;57.6;101;207.8;217.2;73.2;80.6;7.2;1973
2002;38;241.4;103;259.4;585.8;105;295.6;327.4;126.2;188.4;689.6;151.8;3111.6
2003;94.6;3.2;12.2;117.8;75.6;139;110;114.2;55.2;280.8;473.6;282.8;1759
2004;44.8;150.2;176.4;379;305.4;176.4;87.2;82.4;143.4;360.8;354.2;169.2;2429.4
2005;20;32.8;65.6;217.8;161.8;114.2;204.6;166.8;273.8;445.8;174;149.8;2027
2006;173;184.4;89.8;171.2;159.8;89.6;68.2;275.2;289.4;66.8;42.6;154.8;1764.8
2007;94;47.4;184.2;45.4;192;234.6;83.2;276.4;169.4;139.6;318.2;11.2;1795.6
2008;235.8;58.4;89.2;277.4;239.8;282.8;110.6;122.4;238;217.8;555.8;520.8;2948.8
2009;192.2;266.8;269.6;564.2;22.4;150.4;78.6;97.2;264.2;123.2;284.6;362.4;2675.8
2010;128.4;201.4;143.6;98.6;353;223.4;179.2;355.8;305.6;478.8;799;459.2;3726
2011;68.6;145;293.6;45;133.2;250.6;150.4;87.4;110;227.6;486.8;105.8;2104
2012;29.4;22.8;19.4;334.2;265.4;78.6;108.6;65.6;250;283.8;548;101;2106.8
2013;130.4;149.6;385.8;312.2;576;148.2;23.6;154.6;97;208.6;288.2;214.8;2689
2014;537.6;536;219;210;135.6;202.2;325;302.6;144.6;130.8;654.6;229.2;3627.2
2015;119;212.8;171;160.8;198.8;180.2;60.4;118.8;186.8;322.4;17.8;0.8;1749.6
2016;139.2;494.8;157.6;87.8;265.6;158.2;107;150.6;65.8;204.4;204.8;0.8;2036.6
2017;12;231.8;94;199;123;179;97.4;90.8;309;31.4;183.4;223.2;1774
2018;120.8;95.8;302.2;196.2;369.8;258;146;281;190.6;514.4;378;23.2;2876
2019;30.4;181.8;39.2;555;484.2;54.4;66;111.6;212.2;142.8;910.6;157.6;2945.8
2020;21.4;11.4;202.8;74.2;151.8;193.8;164;224;129;475.4;15.8;600.8;2264.4
2021;330;98.4;23.8;160.2;282.4;63;172.6;131.8;74.8;117.2;368.2;44.6;1867
2022;54.4;58;14.4;134.8;121.2;117.6;65;250.2;180.8;54.6;187;222.6;1460.6
Medio mensile;130.1;131.9;141.9;217.4;234.6;161.9;124.3;175.2;197.1;248.2;350.9;179.6;2293.1
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;2;0;4;2;
1995;0;0;0;0;0;0;0;0;0;0;2;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;1;0;1;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;2;1;0;0;0;3;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;1;0;
2004;0;2;1;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;3;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;2;0;0;0;0;0;2;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;5;0;0;0;0;0;0;0;0;
2019;0;0;0;1;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 1 marzo 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Rifugio la Guardia (Recoaro Terme);;;;;;;;;;;;;
Coordinata X 1669786 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5065151 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1130 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;8;7;1;14;8;8;9;7;14;9;4;5;94
1995;8;11;7;11;16;15;8;17;11;2;5;14;125
1996;10;7;8;14;13;11;10;16;9;15;15;9;137
1997;10;1;2;5;11;16;10;10;4;4;12;9;94
1998;6;2;3;20;13;12;7;5;12;9;5;3;97
1999;4;2;9;15;13;17;9;8;10;10;10;5;112
2000;1;2;7;18;14;10;10;10;7;17;18;12;126
2001;15;7;15;11;15;7;9;8;13;5;6;1;112
2002;2;6;4;18;15;10;14;14;13;10;19;11;136
2003;7;2;3;11;10;7;10;9;8;12;9;9;97
2004;4;9;9;15;14;11;10;10;7;16;10;10;125
2005;1;4;8;12;8;7;13;13;10;10;7;10;103
2006;5;9;4;14;11;7;9;18;7;6;6;8;104
2007;6;6;8;6;15;12;8;12;7;6;6;3;95
2008;11;4;12;16;16;18;9;11;10;6;13;14;140
2009;13;8;9;16;4;11;11;7;6;7;12;12;116
2010;8;12;9;13;17;9;10;10;11;8;18;15;140
2011;6;7;11;6;8;20;14;5;4;6;5;5;97
2012;2;5;3;18;12;6;12;6;11;11;13;8;107
2013;12;10;20;18;20;13;5;9;8;14;13;8;150
2014;15;21;8;11;13;17;17;17;9;9;17;13;167
2015;5;8;7;8;12;13;7;8;6;11;1;0;86
2016;7;15;12;9;17;17;12;6;7;12;11;0;125
2017;3;9;7;11;14;9;9;5;14;2;8;7;98
2018;6;13;20;8;22;16;12;12;7;9;16;4;145
2019;4;4;4;18;21;5;10;8;8;11;23;10;126
2020;4;4;9;4;11;12;10;13;7;11;2;13;100
2021;10;5;4;10;17;6;15;10;5;5;14;2;103
2022;1;3;2;9;12;9;6;13;12;3;11;11;92
Medio mensile;7;7;8;12;14;11;10;10;9;9;11;8;115
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;2;0;4;2;
1995;0;0;0;0;0;0;0;0;0;0;2;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;1;0;1;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;2;1;0;0;0;3;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;1;0;
2004;0;2;1;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;3;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;2;0;0;0;0;0;2;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;5;0;0;0;0;0;0;0;0;
2019;0;0;0;1;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 1 marzo 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Rifugio la Guardia (Recoaro Terme);;;;;;;;;;;;;
Coordinata X 1669786 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5065151 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1130 m s.l.m.;;;;;;;;;;;;;
Parametro Radiazione solare globale (MJ/m2);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;190.523;229.942;420.942;344.05;409.219;514.999;688.859;587.548;273.93;285.923;160.38;148.952;4255.267
1995;220.817;198.889;455.729;382.879;416.863;401.989;626.352;465.244;311.704;348.864;202.698;84.687;4116.715
1996;130.934;264.974;324.513;388.119;449.403;497.2;542.807;441.263;344.565;195.851;144.427;135.873;3859.929
1997;199.742;309.997;471.896;572.159;518.846;321.984;584.253;498.851;487.837;289.362;149.579;120.629;4525.135
1998;197.508;313.556;460.637;315.746;515.294;481.241;572.498;605.679;328.505;255.115;200.866;160.637;4407.282
1999;209.627;293.504;361.334;352.661;357.575;508.509;522.737;335.653;330.4;222.599;159.633;134.806;3789.038
2000;195.764;262.984;382.239;320.917;504.556;604.399;489.104;546.811;362.106;139.55;106.709;120.102;4035.241
2001;112.583;248.33;209.112;417.697;511.942;596.579;511.742;550.759;337.341;247.358;199.328;188.923;4131.694
2002;203.276;215.212;448.029;302.41;362.871;500.859;522.185;485.408;310.468;235.49;101.362;91.465;3779.035
2003;185.258;314.415;438.552;388.195;629.282;601.644;626.829;571.287;447.859;242.845;146.636;131.499;4724.301
2004;161.485;192.971;346.385;302.485;512.765;538.791;583.531;517.032;420.453;141.935;184.153;148.644;4050.63
2005;222.8;249.397;405.24;358.918;569.63;476.628;550.582;423.622;306.658;194.282;168.332;145.569;4071.658
2006;177.055;182.183;323.71;364.968;418.915;604.267;651.8;416.455;397.295;250.452;196.881;139.933;4123.914
2007;159.219;216.549;312.319;486.274;460.562;407.411;657.172;441.809;392.104;250.847;204.901;163.305;4152.472
2008;125.98;279.779;295.544;303.269;415.733;465.587;496.504;474.765;242.073;216.455;113.314;110.104;3539.107
2009;110.412;206.571;323.672;323.183;622.454;536.556;587.479;580.073;406.225;283.202;146.686;118.357;4244.87
2010;154.443;194.665;314.07;428.172;470.515;452.234;607.869;437.228;360.625;238.32;114.447;117.19;3889.778
2011;171.557;228.486;361.579;532.496;677.055;403.888;556.645;599.309;444.734;368.852;218.765;160.951;4724.317
2012;245.123;272.116;402.165;305.359;616.649;554.744;631.291;675.605;365.915;237.492;160.888;155.83;4623.177
2013;144.421;194.891;262.049;285.76;413.022;550.759;646.836;626.942;380.846;160.493;144.421;173.101;3983.541
2014;124.244;174.382;436.456;387.372;504.311;525.285;489.073;388.132;323.616;261.29;116.443;143.548;3874.152
2015;196.975;214.773;395.776;499.309;416.154;537.134;607.819;518.268;329.295;252.991;253.885;201.845;4424.224
2016;192.356;173.29;353.282;387.906;442.493;467.835;545.092;583.657;418.149;234.197;123.942;191.308;4113.507
2017;235.848;185.534;415.852;425.599;482.527;626.44;630.494;630.444;301.286;312.376;174.174;150.885;4571.459
