ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Roncade;;;;;;;;;;;;;
Coordinata X 1764673 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5059839 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 7 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;76.2;39.4;2;112;45.4;46.4;53.2;58.8;128.8;75;79.6;25.8;742.6
1995;41;62.8;53.4;49;161.4;114.2;42.8;113.4;194.2;9;23.4;117.6;982.2
1996;98.2;32.2;7.4;141.2;96.2;55.6;38.8;65.2;69.6;178.8;117;133.8;1034
1997;78.4;6.4;16.8;64.4;50.8;57.6;66;118;15.4;30.2;125;111;740
1998;33.8;5.8;3.4;126;48;128.2;24;9.6;119.2;101.2;22;13.6;634.8
1999;38.8;21.4;68.8;138;44.2;105.2;51.8;92.8;37.2;111.8;128.4;81;919.4
2000;3.2;6.2;55.6;59.8;101.8;50.2;55.2;37.6;130;122;137.2;63.8;822.6
2001;92.8;9.2;111;76.6;75.2;105.4;89.2;44.8;148.4;76.2;56.8;3;888.6
2002;48.8;87.8;7;144.6;187.8;114.8;130.4;136.4;107;172.6;119.4;61.8;1318.4
2003;46.2;19.2;2;131;35.2;61.2;29.8;34.2;54.8;59.8;155.4;106;734.8
2004;45;180.4;81.4;83;128;102.6;39.6;107.4;104.2;150.8;90.2;107.8;1220.4
2005;16.8;1.2;12.4;119.6;72.2;67;132.2;125.8;168.6;168.6;163.4;57.6;1105.4
2006;14.4;31.2;39.4;102.6;94;9.8;48.6;119;188.4;18.2;44.6;83.6;793.8
2007;33.4;73.8;83.8;4.8;147.8;80.2;28.8;114.4;205.6;55.2;30.8;31;889.6
2008;95.2;43.2;65.2;93.6;165.8;129.6;66;90.8;87.6;49.8;172.8;206.4;1266
2009;90;74.8;147.2;101.2;24;126;33.6;29;86.4;55.2;143.6;145.8;1056.8
2010;81.8;139.2;46.4;34;184.2;137.6;76.2;60.2;116.2;99.8;191.4;170.2;1337.2
2011;14.8;57.4;168.6;14.4;35;109;134.4;9.2;67;74.8;44.6;33.4;762.6
2012;18;26.2;0.4;106.8;135.2;31.8;17.6;53.2;97.8;101.2;147.6;57.6;793.4
2013;102.6;58.2;267.6;77.2;207.6;28;35.4;64.6;31.2;72.2;175.8;34.6;1155
2014;269.8;257.8;84;53;66.8;120.6;255.8;221.8;112.4;62.2;193.4;83.6;1781.2
2015;21.2;42.4;119.6;46.2;105.4;82;48.6;113.6;64.2;102.4;14;4.4;764
2016;43.8;218.6;53.2;86;168.8;120.6;22.8;97;137;94.2;164.8;4.8;1211.6
2017;34.6;91.4;19.4;91.6;57;80.4;76.8;53.4;261;21;99.6;70;956.2
2018;28.6;69.8;162.6;27.8;85.2;110.4;101;87.8;27.6;124.6;116.8;20;962.2
2019;6.6;56.4;26.8;231.8;311.8;20;171;94;74.6;63.4;263.2;115.8;1435.4
2020;14.4;11.4;91;26;41.4;183.2;43.4;104.8;57.2;149.6;17.8;151;891.2
2021;92.6;35.4;4.8;109.4;158.2;8.4;59.6;80.2;45.8;12;133.6;56.8;796.8
2022;36.6;22.2;19.6;66.6;38.2;14.6;23.6;80.8;85.4;8.8;108.8;119.6;624.8
Medio mensile;55.8;61.4;62.8;86.8;106;82.8;68.8;83.4;104.2;83.5;113.1;78.3;986.9
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;2;3;0;0;0;0;3;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;3;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;1;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;1;0;0;0;0;0;0;0;0;0;0;0;
2005;1;2;0;0;0;0;0;0;0;0;1;1;
2006;5;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;1;
2010;3;0;0;0;0;0;0;0;0;0;0;0;
2011;2;0;0;0;0;0;0;0;0;1;0;2;
2012;0;0;1;1;0;0;0;0;0;0;0;0;
2013;0;2;3;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 17 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Roncade;;;;;;;;;;;;;
Coordinata X 1764673 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5059839 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 7 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;5;4;1;12;8;5;5;4;12;7;4;5;72
1995;5;10;11;6;13;9;2;8;12;1;5;9;91
1996;8;4;3;10;10;7;5;10;9;12;13;12;103
1997;8;1;4;5;5;10;7;9;2;6;10;8;75
1998;7;2;1;17;10;9;4;3;10;5;4;3;75
1999;4;2;8;12;6;9;6;7;3;7;8;9;81
2000;1;1;5;5;4;6;8;6;8;13;11;10;78
2001;14;2;12;8;8;7;7;4;11;6;6;1;86
2002;1;6;2;9;14;8;9;8;10;7;13;9;96
2003;6;1;0;6;6;8;6;4;10;8;7;7;69
2004;4;11;8;11;11;8;5;8;4;9;7;11;97
2005;1;0;2;9;6;8;10;14;6;9;7;6;78
2006;3;9;6;8;5;3;8;11;5;3;5;7;73
2007;3;10;8;1;8;8;6;12;8;6;3;6;79
2008;8;4;11;14;10;10;6;5;7;4;11;11;101
2009;10;7;7;12;3;9;6;5;4;5;11;11;90
2010;6;7;7;8;14;6;5;7;9;9;13;13;104
2011;4;4;7;3;3;9;11;1;5;4;4;4;59
2012;2;3;0;15;10;5;2;4;10;8;8;8;75
2013;12;3;16;11;17;7;6;9;6;8;10;4;109
2014;14;16;6;8;11;8;14;10;10;6;14;9;126
2015;3;2;6;6;10;7;5;7;4;10;1;0;61
2016;8;15;6;7;14;13;4;8;8;8;9;1;101
2017;3;8;4;8;7;9;9;4;14;1;7;8;82
2018;6;8;16;8;8;7;14;7;3;6;9;2;94
2019;2;5;3;12;16;3;8;9;4;5;18;7;92
2020;3;3;6;4;9;11;8;8;7;12;2;13;86
2021;8;4;1;5;14;3;7;6;4;4;12;5;73
2022;3;2;1;7;6;5;4;10;11;3;9;11;72
Medio mensile;6;5;6;9;9;7;7;7;7;7;8;7;85
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
