ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Rosa';;;;;;;;;;;;;
Coordinata X 1716095 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5066330 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 88 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;55;30.8;4.6;100.6;87.2;70.6;68.8;58.6;261.4;77.6;81.2;41;937.4
1995;47.6;79.8;40;63.8;179.2;150;136.2;150.8;165.2;4;46.4;206.6;1269.6
1996;102;48;16;90.6;126.4;73.8;97.4;253;53.4;194.4;181;112.6;1348.6
1997;99.2;1.4;11.2;69;73;151.4;59.4;62.4;9.4;24.2;137.6;167;865.2
1998;45.8;28;4.2;184.4;89.2;144.2;83.2;19;152.4;285.8;21.8;11.2;1069.2
1999;49.8;10.4;104.2;174.4;118.6;105.4;93.2;116.2;113.2;147.2;121.6;50.8;1205
2000;0.8;3.2;88.2;62.2;87;77.4;63.4;83.8;153.6;258;374.6;73.8;1326
2001;122.2;12;212.8;102;41;30.6;163;95.2;127;44.4;75.6;0.2;1026
2002;32.2;118;32.8;189.6;301;137.4;159.8;165.4;260.8;133.8;211.4;96.6;1838.8
2003;94.8;7;2.2;102.2;54.6;198.4;42.8;37.4;65.6;92;187.4;143.2;1027.6
2004;33.8;183.6;86.4;104.6;148.6;122.4;73;127.8;136;149.8;110.8;116.4;1393.2
2005;1.2;0.6;29.8;172.4;79.4;47;168.6;124.8;147.6;203.2;166;66.8;1207.4
2006;20.2;59;45.8;123;109;82.4;29.4;238;125.6;13.2;27.6;81;954.2
2007;70.6;45.6;121.6;22.4;219.6;104.6;30.2;140.8;116.2;66;65.8;11.4;1014.8
2008;119;47.4;68.4;169;197.6;181;70.4;59.2;123;70.8;208.8;282.8;1597.4
2009;123.2;91;172;167.6;45;91.4;110.2;85.2;215.8;45.4;141;143.2;1431
2010;70.6;139.2;58.4;36.6;163.6;127;138.8;80.2;182.4;235.2;287.8;210.4;1730.2
2011;49.4;55.4;131;25.8;70;172.8;113;17.2;96.8;137.8;100.4;46.4;1016
2012;14.6;21;6.8;124.8;141.6;61.8;54.4;82.4;112.6;120.8;263.2;52.4;1056.4
2013;94.2;62.8;231;88;263.6;70.2;45.4;114.4;35;73.6;158.8;66.2;1303.2
2014;319.4;304.4;93.6;75;69.8;172.8;174.4;180.4;96;56.8;235.6;86.2;1864.4
2015;36.2;60.8;89.4;46.6;60.8;75.2;71;95.2;165.2;144.4;9.2;0;854
2016;44.6;223;83;85.4;186.6;137.6;31.8;52.6;84.4;104.8;99;0;1132.8
2017;11.4;77;13.4;92.2;99.8;100.6;88.4;39.4;110.8;14.4;121.4;101.8;870.6
2018;35.4;46.8;119;61;170;125.8;187.4;145.8;107.4;157;119;16.4;1291
2019;13.4;87.2;15;207.6;279.6;29.6;52.4;83;111.4;53.8;314.4;96.4;1343.8
2020;15.2;7.2;102.8;21;103.8;220.6;38;219.4;98.6;140.2;11.2;215;1193
2021;139.6;42.2;13.8;131.4;174.8;31.2;133;89;34.4;27.8;159;46.8;1023
2022;16.8;43.6;7.8;64.8;57.8;43.8;44.6;131.6;153.8;10.6;117.6;118.4;811.2
Medio mensile;64.8;66.8;69.1;102;131;108.2;90.4;108.6;124.7;106.4;143.3;91.8;1206.9
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;1;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;0;0;0;0;0;0;0;0;0;
2003;2;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;4;0;0;0;0;0;0;0;0;0;
2005;2;3;0;0;0;0;0;0;0;0;1;2;
2006;2;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;2;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;3;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;1;0;0;0;1;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 20 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Rosa';;;;;;;;;;;;;
Coordinata X 1716095 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5066330 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 88 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;5;5;2;12;8;8;5;5;11;8;4;4;77
1995;5;12;9;7;13;14;6;11;10;1;5;13;106
1996;8;6;3;9;12;7;8;12;8;12;12;11;108
1997;10;0;3;4;8;15;8;8;2;3;9;8;78
1998;7;2;1;17;11;9;5;2;9;10;2;2;77
1999;5;2;7;12;8;9;10;7;7;9;8;7;91
2000;0;2;6;6;8;7;9;9;9;16;15;12;99
2001;16;3;14;10;9;4;7;7;12;4;6;0;92
2002;1;6;3;15;15;11;12;8;14;8;15;7;115
2003;6;1;1;6;7;10;5;3;7;9;7;9;71
2004;4;10;6;12;9;9;8;10;5;13;9;10;105
2005;0;0;6;12;6;5;9;14;9;9;5;8;83
2006;3;8;6;8;5;5;5;15;4;4;5;5;73
2007;4;7;8;1;10;8;6;10;7;6;3;3;73
2008;8;4;10;14;15;12;7;7;8;4;11;13;113
2009;11;6;9;13;3;10;7;5;5;5;11;9;94
2010;8;10;7;8;12;7;7;5;9;8;14;13;108
2011;7;4;9;5;5;10;11;2;6;6;5;4;74
2012;2;2;1;15;9;5;9;4;10;11;11;6;85
2013;9;7;20;12;13;7;4;9;4;11;12;6;114
2014;15;18;4;7;11;11;14;14;10;6;16;7;133
2015;4;5;6;4;8;6;7;7;8;11;1;0;67
2016;5;15;8;7;16;13;5;8;6;9;8;0;100
2017;2;8;3;6;13;8;5;3;13;1;9;6;77
2018;3;8;15;6;16;12;10;5;6;6;8;3;98
2019;3;4;3;13;14;3;7;8;5;7;21;7;95
2020;3;3;7;3;12;13;10;13;9;10;2;14;99
2021;9;5;2;6;14;5;9;6;5;4;12;4;81
2022;2;2;1;9;9;6;6;14;12;2;12;8;83
Medio mensile;6;6;6;9;10;9;8;8;8;7;9;7;92
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;1;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;0;0;0;0;0;0;0;0;0;
2003;2;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;4;0;0;0;0;0;0;0;0;0;
2005;2;3;0;0;0;0;0;0;0;0;1;2;
2006;2;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;2;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;3;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
