ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Rosolina - Po di Tramontana;;;;;;;;;;;;;
Coordinata X 1756791 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4996051 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione -2 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;46.4;29.8;6.6;62.4;21.6;48;46.2;44.6;100.2;64.4;25;32;527.2
1995;18.6;79.6;55;23.8;180.6;148;31.4;188.8;82.4;6.8;14;88.6;917.6
1996;65.8;38.2;22.6;83.6;102.2;59.6;26.4;43.2;87.4;80.4;44.8;105.8;760
1997;59.2;4.4;15.6;32.2;43.8;84.2;56.4;75.6;21.4;15.2;100;63;571
1998;32;4.6;6.2;84.8;53.2;67;32.4;40.8;132.8;164.6;17.6;27.8;663.8
1999;32;16.2;36.2;64.8;45.2;101.2;67.6;77.4;45.4;102.4;182.6;39.4;810.4
2000;0.6;4.8;20.4;40;24.8;49.8;48;49.6;50;156.4;105.6;54.6;604.6
2001;65;27.6;121;41;46.8;53.4;61.6;30.8;94.4;42.6;45.2;12.8;642.2
2002;23;24.4;1.2;109.4;90.6;52.4;93.2;87.2;120.6;81.6;86.2;100.2;870
2003;57.4;17.8;23.8;88;44.8;76;2.4;13.6;95.4;71.2;62.2;61.4;614
2004;47.4;153.2;141.2;80;51.8;35.6;56.2;69.6;60;64.6;113.8;67;940.4
2005;18.8;41.6;30.2;54.2;79;9.2;69.6;157;72.8;225;122.2;52.2;931.8
2006;26.2;19.6;41.2;58;65.8;12.6;23;82.6;89;17.8;19.2;23;478
2007;30.2;44.6;87;0;70.4;103.6;5.2;71.4;65;57.8;10.2;32.6;578
2008;32;29;44.4;64.6;34.2;146.4;26.6;40;226.8;17;135.4;86.4;882.8
2009;66.6;41.4;84.6;71;61.8;33;22.4;5.4;96.8;46.4;39.4;90.8;659.6
2010;45;90.2;69.6;52;89;143;15.8;128.6;30.2;63;103.2;82.4;912
2011;4;35.2;58;7.2;25;78;48;0;60.8;74.4;38.2;18.4;447.2
2012;3.2;22.4;1.8;52.2;47.8;16.6;3;10.8;172.4;170.6;72.8;39;612.6
2013;85;92.4;126;77.4;77.8;14.4;29.6;48.6;19;141.2;131.8;3.2;846.4
2014;154;133.6;57;83.8;21.6;70.4;103.8;40.8;72;28.8;151;88.2;1005
2015;15.8;88.8;77.4;20.4;77.2;112;17;81.2;21.8;98.4;27.4;0;637.4
2016;37.6;149.8;38.2;29.2;211.8;63;38.2;37.4;48.2;166.6;99.2;1;920.2
2017;7.4;97.8;9.8;42.4;64.4;81.6;21.6;47;162;17.8;68.4;26.4;646.6
2018;10.4;87.6;98.8;12;41.4;32;49.8;51.6;38.2;96.4;95.8;16.8;630.8
2019;24.4;30.6;15.6;112.8;201.4;1.6;165.8;55.4;60.4;72.8;143;98.4;982.2
2020;13;6.8;53.4;5.8;9;86.6;48.4;124;44.4;112;14.8;103;621.2
2021;33;17;8.2;86;82;4.2;52;33.6;26.6;87;47;38.8;515.4
2022;41.2;9.4;27.2;54;36.2;7;58.4;53.6;73;6.2;112.4;137;615.6
Medio mensile;37.8;49.6;47.5;54.9;69;61.7;45.5;61.7;78.3;81;76.8;54.8;718.8
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;1;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;1;0;0;2;0;0;0;0;0;0;0;
2003;0;0;0;0;1;0;0;0;0;0;1;0;
2004;0;1;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;4;0;0;0;1;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;2;1;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;2;0;0;0;0;0;
