ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Roverchiara;;;;;;;;;;;;;
Coordinata X 1676635 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5014964 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 17 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;35.6;27;0.6;75.6;53.8;24.6;35.8;71.6;202;55.8;108;32.4;722.8
1995;33;78;19.6;58.4;136.6;139.8;26.8;50.2;73.4;6.8;22.8;103.2;748.6
1996;94;41.4;11.6;89.4;72.8;74.4;62.6;62.2;65.8;109.8;111.2;162.6;957.8
1997;76;3.2;15.8;45.2;34.6;83.6;45.6;36.8;15.6;10.4;85;110.2;562
1998;48.4;15.2;8.4;99.2;124.8;70.4;31.6;23;117.4;93;13.4;3.2;648
1999;24.8;7;42.8;77.8;49;105.2;66.6;35.4;102;77.6;84.4;35.4;708
2000;0;2.8;32.6;42.4;57.8;81;34.2;18.2;37;110.2;79.2;43.8;539.2
2001;72;19.2;129.8;42.2;61.6;31;81.8;63.6;111.6;78.4;27.4;2;720.6
2002;23.8;62.4;6.4;138;171.6;51.6;142.2;163.4;92;90.2;74.4;75;1091
2003;18.8;3;4.2;79.8;32;63.2;16.6;18.4;29;54.2;97.4;44.4;461
2004;31.2;118.8;105;92.4;93.2;111.4;24.2;2.4;135.8;105;49;46.4;914.8
2005;3.6;7.2;6;103.4;130;17.6;81.8;155.2;52.2;161.8;86.4;44.4;849.6
2006;17;33.8;28.2;43.2;42.8;21.2;35.4;170.8;118;15;36;45.8;607.2
2007;27.4;52.8;92;0.2;85;62.4;1.4;55.6;67.6;43;50.6;5.8;543.8
2008;34.2;16.2;20.6;104.2;76.4;123.8;40;29.4;74.8;42.4;181.2;136.2;879.4
2009;54.2;50;102.6;163.2;31.6;51.6;103;3.4;61.8;32.8;54.6;91.2;800
2010;41.2;90.4;32.4;48.2;126.6;101.8;35;80.8;159.8;97.8;152.8;108.2;1075
2011;39.4;39.8;101.8;8;34.2;82.6;73.6;6.2;40.4;86.2;59.4;20.2;591.8
2012;3.4;10.6;0.2;88.8;79.2;26.8;3.4;49;102.2;133.4;169;23.8;689.8
2013;88.8;31.4;163;86.4;182.8;44.4;22.6;104.4;15.8;124.8;93.2;9.6;967.2
2014;134.4;115.8;20.8;126.6;63.8;56.6;157;144.4;50.4;62.6;112.6;61.8;1106.8
2015;12.4;80.8;51.8;30;65.6;36.8;4.2;27.6;40.2;89.6;11.2;0;450.2
2016;43.6;123;39.6;25.8;124.6;217.6;25.2;50.2;83;91;63.4;1.2;888.2
2017;6;57.8;7.8;42.6;66.4;35.8;50.2;15.8;86;56.6;90;24;539
2018;17.8;38;76.4;33.2;89.8;78.8;64.2;76.6;189.6;109.4;88;14;875.8
2019;7;30;5.2;90.6;177.8;5.8;28.4;82;112.2;59.8;189;68.8;856.6
2020;10.6;5.4;38.8;49.8;29.6;111;60.8;105.8;46;93.4;17.6;150.6;719.4
2021;58.6;16;2.2;62.4;101.8;39.8;70.6;45.6;58.8;41.2;109.2;31.2;637.4
2022;5.8;17.2;8.6;27.2;67.8;20.2;52.6;117;40.2;1.8;85.8;82.2;526.4
Medio mensile;36.7;41.2;40.5;68.1;85;68;50.9;64.3;82.1;73.6;82.8;54.4;747.5
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
