ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori minimi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Rovina di Cancia (Borca di Cadore Q1335);;;;;;;;;;;;;
Coordinata X 1749124 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5147757 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1335 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m (°C) media delle minime;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1998;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1999;>>;>>;>>;>>;>>;>>;>>;>>;>>;3.4;-2.6;-6.4;-1.9
2000;-6.6;-4.4;-2.5;1.9;5.9;8.8;7.7;10.6;6.8;4;-1.1;-3;2.3
2001;-5.6;-4.4;-1.3;-1.3;6.4;7;9.9;11.2;3.9;5.6;-2.4;-7.6;1.8
2002;-5.1;-3.4;-1.2;-0.1;5.3;9.6;10;9.6;5.3;2.7;0.5;-3.7;2.5
2003;-6.4;-8.9;-1.6;-0.6;6.5;11.4;10.6;13.1;6.3;0.3;0.4;-3.1;2.3
2004;-6.8;-4;-2.9;1.1;3.4;8.6;10.1;11.1;7.7;5.4;-0.5;-2.6;2.5
2005;-5.3;-7.7;-2.8;0.5;5.9;9.4;10.7;9.6;7.6;4;-1.5;-6.3;2
2006;-6;-5.3;-4.5;1.1;4.9;8.9;12.5;8.1;9.3;5.7;0.7;-1.4;2.8
2007;-2.7;-1.9;-1.2;4.4;6.4;9.4;10.4;9.5;5.7;3.3;-1.7;-3.6;3.2
2008;-2.6;-2.6;-3.2;0.8;5.4;9;10.3;10.5;5.9;4.4;-0.9;-3.7;2.8
2009;-5;-5.6;-2.4;2.5;7.3;8.7;10.7;12;8.7;3.5;0.3;-5.4;2.9
2010;-6.9;-5.5;-3;1.5;5.2;9.4;12.4;10.5;6.7;2.4;-0.7;-6.6;2.1
2011;-4.6;-2;-1.4;3.9;5.7;9.5;9.8;11.8;10.4;3.5;1.2;-3.3;3.7
2012;-5.4;-7.1;1.7;0.8;5.4;10.1;11;12;7.9;4.5;0.9;-5.2;3
2013;-3.8;-6.8;-2.9;2.5;4;8.1;11.6;11.1;8.1;5.4;-0.4;-1.1;3
2014;-2.7;-2.5;0.1;3;4.8;8.7;10;9.4;7.9;5.7;3.5;-2.2;3.8
2015;-3.9;-4;-1.4;1.7;6.6;10;14;12.4;7.3;4.3;2.8;0.8;4.2
2016;-3.7;-2.7;-1.6;2.8;5.1;9.2;11.9;10.7;9.9;3.3;-0.5;-0.2;3.7
2017;-6.8;-1.9;1.6;1.7;6.3;10.7;11.4;12.2;6.1;5.1;-1.6;-4.7;3.3
2018;-2.9;-6.8;-2.6;4.4;7;10.5;12.1;12.2;9.7;5.9;1.5;-2.7;4
2019;-5.5;-0.8;-0.5;2.1;3.2;12.5;12;12.6;8.6;6;0.3;-1.9;4
2020;-1.7;-1.9;-2;2.8;6.2;9.3;11.1;11.9;8.9;3.2;2;-3.4;3.9
2021;-6.6;-2.9;-2.1;-0.7;3.7;10.6;11.1;10.3;8.8;3.6;0.3;-3;2.8
2022;-2.8;-3;-2.6;0.5;7.5;11.1;12.8;11.7;7.1;7.3;0.8;-3;4
Medio mensile;-4.8;-4.2;-1.8;1.6;5.6;9.6;11;11;7.6;4.3;0.1;-3.5;2.9
;;;;;;;;;;;;;
Il valore mensile è il valore medio delle minime giornaliere del mese.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili.;;;;;;;;;;;;;
Il valore medio annuale è il valore medio dei valori mensili dell'anno.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;31;28;31;30;31;30;31;31;30;31;30;31;
1995;31;28;31;30;31;30;31;31;30;31;30;31;
1996;31;29;31;30;31;30;31;31;30;31;30;31;
1997;31;28;31;30;31;30;31;31;30;31;30;31;
1998;31;28;31;30;31;30;31;31;30;31;30;31;
1999;31;28;31;30;31;30;31;31;30;6;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;3;0;0;0;
2004;0;0;0;2;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;5;7;
2008;1;5;0;0;3;3;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;4;0;0;0;0;0;0;0;0;0;0;
2013;2;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;4;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;2;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;3;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 20 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori medi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Rovina di Cancia (Borca di Cadore Q1335);;;;;;;;;;;;;
Coordinata X 1749124 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5147757 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1335 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m (°C) media delle medie;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1998;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1999;>>;>>;>>;>>;>>;>>;>>;>>;>>;7.1;0.3;-3.3;1.4
2000;-2.1;-0.3;2.1;6;10.4;14.3;12.9;15.7;11.6;6.8;1.5;-0.2;6.6
2001;-2.6;-0.4;2.5;3.2;11.3;12.2;14.8;16.4;8;9.7;1.2;-3.8;6
2002;-1;0.4;3.6;3.9;9.3;14.7;14.8;13.9;9.3;6.5;3.1;-1;6.5
2003;-2.6;-4.2;3.5;3.6;11.6;16.7;16;18.2;11.1;4;3.3;-0.2;6.7
2004;-3.6;-0.1;1;4.9;7.8;13.3;14.9;15.5;12;8.3;2.6;0.3;6.4
2005;-1.8;-4.2;1.4;4.6;10.7;13.9;15.4;13.6;11.3;7.3;1.3;-3.3;5.9
2006;-2.8;-2.1;-0.4;5.1;9.4;14;17.6;11.8;13.6;9.6;4.1;1.5;6.8
2007;0.8;1.6;2.7;9.5;10.9;13.4;16;13.8;10.1;6.8;1.4;-0.4;7.2
2008;0.2;1.5;0.8;4.4;9.3;12.9;14.7;15.5;9.9;8.2;1.8;-1.1;6.5
2009;-2;-2.1;1.3;6.5;12.3;13.1;15.7;16.9;12.6;7.2;3.1;-2.8;6.8
2010;-3.8;-2.1;1;6.2;8.7;14.1;17.2;14.9;10.5;5.8;1.7;-3.8;5.9
2011;-1.4;1.5;3;8.7;11.3;13.3;14.4;17;14.8;7.6;4.3;-0.3;7.8
2012;-2;-2.9;6.5;4.8;10.3;15;16.2;17.1;12.2;8;3.6;-2.3;7.2
2013;-0.8;-3.4;0.4;6.4;7.8;13.1;17;16.5;12.5;8.3;2.3;2.1;6.8
2014;-0.5;0.3;4.7;7.1;9.4;13.6;14.3;13.5;11.8;9.3;5.7;0.7;7.5
2015;-0.3;-0.5;2.4;6.6;10.4;14.3;18.9;16.7;11.2;7.4;6.4;4.3;8.2
2016;-0.6;0.2;1.9;6.9;9;13.2;16.4;15.4;13.7;6.5;2.4;3.3;7.4
2017;-3.3;1.1;5.7;6.1;10.7;15.7;16.3;17.4;9.5;9.1;1.3;-1.4;7.3
2018;-0.1;-3.8;0.4;8.8;10.7;15;16.6;16.9;14;9.7;3.7;0.4;7.7
2019;-2.3;3.4;4.4;5.6;6.8;17.9;16.6;16.8;12.6;9.2;2.5;1.2;7.9
2020;1.7;2;2;8.3;10.8;13.2;16;16.4;13;6.4;5.5;-0.7;7.9
2021;-3.4;1.2;2.4;3.6;7.9;15.8;16;14.9;13.1;7.7;3.4;0.4;6.9
2022;1.1;0.9;2.3;5.1;12.1;16.5;18.3;16.3;11;11.4;3.8;-0.4;8.2
Medio mensile;-1.4;-0.5;2.4;5.9;10;14.3;16;15.7;11.7;7.8;2.9;-0.4;6.8
;;;;;;;;;;;;;
Il valore mensile è il valore medio delle medie giornaliere del mese.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili.;;;;;;;;;;;;;
Il valore medio annuale è il valore medio dei valori mensili dell'anno.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;31;28;31;30;31;30;31;31;30;31;30;31;
1995;31;28;31;30;31;30;31;31;30;31;30;31;
1996;31;29;31;30;31;30;31;31;30;31;30;31;
1997;31;28;31;30;31;30;31;31;30;31;30;31;
1998;31;28;31;30;31;30;31;31;30;31;30;31;
1999;31;28;31;30;31;30;31;31;30;6;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;3;0;0;0;
2004;0;0;0;2;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;5;7;
2008;1;5;0;0;3;3;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;4;0;0;0;0;0;0;0;0;0;0;
2013;2;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;4;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;2;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;3;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 20 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori massimi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Rovina di Cancia (Borca di Cadore Q1335);;;;;;;;;;;;;
Coordinata X 1749124 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5147757 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1335 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m (°C) media delle massime;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1998;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1999;>>;>>;>>;>>;>>;>>;>>;>>;>>;13.1;5.5;2;6.9
2000;4.5;6.3;8.6;11.9;17.1;21.8;19.7;22.8;18.7;11.4;5.6;4.7;12.8
2001;2.1;5.6;8.2;9.1;18.1;18.8;21.6;23.3;13.8;16.6;7.5;2.5;12.3
2002;5.7;6.9;10.6;9.9;15.1;21.5;22;20.2;15.6;12.2;7.2;3.3;12.5
2003;3.2;3.2;11;9.1;18.1;24.2;22.8;25.2;18;9.5;8.5;4.7;13.1
2004;1.6;5.1;6.5;10;13.8;19.4;21.5;21.5;18.2;13;7.4;5.6;12
2005;3.7;1.1;7.7;10;17.1;20;21.6;19.2;16.8;12.7;6.1;1.3;11.4
2006;2.5;2.8;5.2;10.4;14.9;21;24.8;17.6;20.1;15.2;9.6;7;12.6
2007;5.9;7.4;8.3;16.3;17.4;18.8;22.5;20.1;16.5;12.4;6.8;5.2;13.1
2008;4.7;8.2;5.8;9.5;14.9;18.9;21.1;22;15.9;14.3;6.1;3.2;12
2009;3.1;3;6.3;11.8;18.7;19.1;21.9;23.6;18.5;13.2;8.2;1.5;12.4
2010;1;2.8;6.5;12.4;13.7;20;24;20.9;16.2;11.6;5.4;0.7;11.3
2011;3.9;7.4;9.3;15.7;18.4;18.9;20.8;23.8;21.2;13.9;10.1;4.2;14
2012;3.4;2.4;13.3;10;16.8;21.1;22.7;23.9;18.1;13.7;8.3;2.5;13
2013;4.3;2.2;5.4;12.2;13.2;20.2;24.3;23.6;19;13.5;6.7;8.3;12.7
2014;3.8;5;11.2;13.1;15.6;20.5;20.1;19.7;18.2;15.5;9.1;5.2;13.1
2015;5.1;5;8.3;13.2;15.9;20.3;25.6;22.8;16.7;12;12.3;10.5;14
2016;4.8;4.8;7.3;11.9;14.1;18.7;22.4;21.7;19.3;11.3;6.5;8.9;12.6
2017;2.4;5.8;11.6;11.8;16.8;22.4;22.4;24;14.5;15.2;5.8;3.4;13
2018;4.6;0.6;4.6;14.6;16;21.2;23;23.3;20.1;14.9;7.7;5.5;13
2019;2.5;9.7;10.7;10.4;11.4;24.6;23.1;22.7;18.2;14.3;5.7;5.7;13.2
2020;7.4;7.6;7.3;14.9;16.8;18.6;22.6;23;18.9;11.7;11.8;4.6;13.8
2021;2.5;8.2;8.7;9;13.5;22.7;22.7;21.5;19.6;13.9;8.2;5.5;13
2022;7;6.8;9.3;11.4;18.2;23.2;25.3;23.2;16.9;17.8;8.9;4.2;14.4
Medio mensile;3.9;5.1;8.3;11.7;15.9;20.7;22.5;22.2;17.8;13.5;7.7;4.6;12.6
;;;;;;;;;;;;;
Il valore mensile è il valore medio delle massime giornaliere del mese.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili.;;;;;;;;;;;;;
Il valore medio annuale è il valore medio dei valori mensili dell'anno.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;31;28;31;30;31;30;31;31;30;31;30;31;
1995;31;28;31;30;31;30;31;31;30;31;30;31;
1996;31;29;31;30;31;30;31;31;30;31;30;31;
1997;31;28;31;30;31;30;31;31;30;31;30;31;
1998;31;28;31;30;31;30;31;31;30;31;30;31;
1999;31;28;31;30;31;30;31;31;30;6;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
