ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Salizzole;;;;;;;;;;;;;
Coordinata X 1665612 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5010656 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 21 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;34;26;2.2;79;51.8;24;27.4;68.4;132;57.2;64.2;40.4;606.6
1995;27;78.8;19.6;54;138.4;197;32.4;80.4;64.8;7.4;29.2;124;853
1996;106.6;42;12;85;76;19.2;31.8;132;61.4;107.2;101.8;57.6;832.6
1997;46.2;4.6;19;34.2;25.8;89.6;56;29.4;36.6;7.6;68.2;112.6;529.8
1998;50;9.4;9.6;109.8;70.2;74.4;25.6;34.2;134.8;96.4;21.4;9;644.8
1999;33;8.2;49.4;102.8;95.2;144.2;33.4;86.4;121.2;104;93;45.2;916
2000;2.4;5;44.4;60;69.6;51.6;23;59;61.2;174.4;119.8;54.8;725.2
2001;73.4;17.2;138.6;59.8;55.4;33.8;65.8;55.2;100.4;95.2;45.4;2.6;742.8
2002;28.6;67.6;12;112;121.2;39.4;107.6;153.6;98.2;69.8;75.8;93.4;979.2
2003;27.2;3;7.4;79.8;23.8;82.2;7.2;14.8;20;65.8;119.6;57.8;508.6
2004;35.6;125.8;102;115.2;107.8;67;63.8;35.2;131.2;124.2;108.4;63;1079.2
2005;3.8;1.2;19.6;122.6;129.6;13.8;137.8;199.2;72.2;174;94.6;55.2;1023.6
2006;18;47.4;32.4;35.6;39;17.8;54.8;168.4;143.8;17.6;36.8;44.4;656
2007;19.6;1.4;135;0.8;41;51.4;10.6;27.8;68.8;47;57;10.2;470.6
2008;45.4;24;19.4;93.6;78.4;136.2;43;12.4;63.8;36.8;160.6;129;842.6
2009;69.4;59.8;102.6;193.6;15.4;43.2;62.2;23;54.2;40.2;78.2;83.6;825.4
2010;57.2;94.8;57;33.6;89.4;94.2;28.6;150.8;147.6;103.4;156.8;116.6;1130
2011;53;45;101;22.4;28.6;133.8;137.2;9.8;75.6;113.8;67.8;24.8;812.8
2012;10.8;24.2;0;110;92.2;39.6;2;31.6;124.4;123.4;169.4;40.8;768.4
2013;119;59;191.8;120;186;51.6;58.2;117.6;15.6;107.6;76.2;17.8;1120.4
2014;155.6;161.8;25.8;183.6;70.2;38.4;171.8;62.6;130.4;54;133.8;82.2;1270.2
2015;22;133.4;52.6;42.8;65;73.6;1.4;22.6;42;109.2;17.8;4.4;586.8
2016;50.4;137.6;58;26.4;112.8;124.8;24;37.2;42.6;92.8;66.8;5.4;778.8
2017;7.8;67.2;10.6;43.8;56;53.6;51.2;11.4;105.4;12.4;96;33.2;548.6
2018;21.6;52;90.2;22.2;101.6;85.6;76.4;106.8;81;98.6;106.8;23.2;866
2019;17;38.4;3;77.2;216.4;17;31.6;44.6;85.2;74;222.8;74.4;901.6
2020;18.8;5.6;42.6;8.4;33.2;81.8;58.6;100.6;37.6;88.8;9.6;162.8;648.4
2021;68.2;21.2;11.6;64;91.4;53.2;68.8;11.6;59;38.2;86.6;40;613.8
2022;14.4;21.8;11.8;30;50.6;16.8;22.8;103.6;57.8;3;101.8;109.4;543.8
Medio mensile;42.6;47.7;47.6;73.2;80.4;67.2;52.2;68.6;81.7;77.4;89.2;59.2;787.1
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;2;0;0;0;0;10;
1997;12;0;0;0;2;0;0;0;0;0;0;0;
1998;0;0;0;0;0;11;7;0;0;0;0;1;
