ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione San Bellino;;;;;;;;;;;;;
Coordinata X 1702997 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4989700 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 6 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;32;22;0.2;91;6.8;59.6;16.6;52.8;86.4;70.8;28.8;25;492
1995;16.4;70;31.4;39.4;173;148.4;6.6;114.6;47;2.8;16;96.6;762.2
1996;68.2;37.8;16;96.8;147.2;76.4;25.4;143.6;72.4;85.4;77.4;129.4;976
1997;81.8;10.6;37.8;20.8;26.8;64.6;54.2;44.8;16.8;29.2;87.4;83.4;558.2
1998;38.2;18.6;15.6;70.2;101;22.6;16;6;94.2;101.4;18.8;26.4;529
1999;40;12;43;86.2;55;58.8;8.6;26.4;97.8;117.8;137.4;31;714
2000;0.2;5;71.4;50;38.6;20.8;94;43.6;26.8;159.6;96;55.2;661.2
2001;72.8;16.6;102.6;34.4;78.2;52;135.8;43;75.8;46;37.6;5.8;700.6
2002;27.6;39.2;3.2;90.4;113.6;91.8;108;100.2;103;98.4;89.4;112.6;977.4
2003;27.6;6.2;15.2;87.4;24.6;55.8;50.8;8.2;30.6;57.4;53.4;47;464.2
2004;46.6;129.6;99.8;137.6;45.8;9.4;21.8;23.6;50.2;81.8;68;88.4;802.6
2005;6;8.4;16;89;53.2;23.8;33.2;105;62.6;143.8;136.2;51.4;728.6
2006;25;52.2;33.2;51.6;28.4;1.2;3.2;49.8;77.2;3.6;26.4;20;371.8
2007;9.6;30.6;94;0.8;29.4;96.4;0;16.8;30.2;40;15.4;19.6;382.8
2008;34.8;14;41.2;58.2;77.8;113.2;29;88.4;66.8;56.2;151.2;94.6;825.4
2009;59;48.2;101.6;122.8;41.6;39.2;30.4;27.8;58.6;33.6;57.6;65.8;686.2
2010;48.4;96.6;46.2;45;114.4;154.2;2.6;61.8;30.8;98.8;101.2;66.2;866.2
2011;9.4;44;77.6;5.4;39.4;37.4;67.4;0;44;87.2;37.4;10.6;459.8
2012;3.4;21.6;0;100.2;83.8;14.8;1.4;3;150.8;202.4;91.8;31.8;705
2013;89;63.6;178.2;66.2;95.4;20.4;47.4;115.4;18.8;174.4;93.4;9;971.2
2014;121;95.4;42.2;69.2;77.4;27.2;105;75.2;80.2;36.8;68.2;67.6;865.4
2015;11;98.8;72;37.4;37;60.2;23.6;52.4;31.4;99;18;0;540.8
2016;48.6;157.2;53.4;12.6;152;129.6;9.8;63.6;70;99.4;96.6;3.2;896
2017;2;63.2;11.6;34.2;46.8;23.6;27.2;6.6;129.2;22.2;109;13.8;489.4
2018;10.6;81.6;110.6;19.4;82.4;69.4;76.8;64.8;62.8;108;90.4;16;792.8
2019;18.6;25.8;4.8;65.4;146.6;4;54.8;25;80.2;48.8;193.2;72;739.2
2020;11.2;3.2;35.8;11.6;14.2;58.4;140;119.8;32.4;85.4;14;91.4;617.4
2021;56.4;15.6;3;71.8;70.4;52.8;73.4;7;38.6;26.6;63.2;41.6;520.4
2022;20.4;7.6;21.2;41.4;34.8;4.8;10.4;81.6;89.8;1.4;116.8;83;513.2
Medio mensile;35.7;44.7;47.5;58.8;70.2;54.9;43.9;54.2;64;76.5;75.5;50.3;676.2
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;8;1;0;0;5;2;3;0;5;0;0;0;
