ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione San Bortolo;;;;;;;;;;;;;
Coordinata X 1670124 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5052891 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 935 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;109.4;24.2;15.2;152.2;111.6;83.8;56.4;69.8;219.8;99.6;284.6;43.6;1270.2
1995;53;103.2;34.4;203.4;293.4;198.4;51.2;177.2;200;10.4;93.4;108.4;1526.4
1996;166.6;50.8;34.8;72;134.6;97.4;184.6;160.6;79.8;298.8;208.4;160.6;1649
1997;93;3.8;10.4;80.2;89.2;163.8;181.8;101;3.2;16.8;191;195.6;1129.8
1998;57.2;22.6;5;230.2;160;119;54.8;36.6;228.6;220.8;23.8;11.2;1169.8
1999;39.4;3.6;104;118;142;113.2;128.2;113.6;225.2;29.8;179;19;1215
2000;0.6;9;121.8;106.2;124.8;61.8;62.6;172.2;174.8;244.6;578;77.6;1734
2001;184.6;64.6;329;109.4;162;24.8;100.2;113;143.6;48;65.6;4.2;1349
2002;33.6;133.2;55;164.6;399;100.2;156.2;214.2;102.4;141.8;282.4;94.2;1876.8
2003;59.6;0.8;5.4;71.8;21.8;83.4;55.4;50.6;24.4;123.8;283.6;186.8;967.4
2004;28;134;126.8;232;226.2;135.6;101.4;58;90.8;206;206.4;127.8;1673
2005;5.4;17.4;29.6;191.4;110;50.4;214.2;130;95.6;169.8;124.2;107.4;1245.4
2006;58.8;82.4;58.8;136.4;153.2;36.4;57.6;274.4;194.4;29;42.4;107.2;1231
2007;61.8;44.4;119.4;43.2;161.6;179.8;101;174.2;125;100.4;184;10.8;1305.6
2008;138;33.6;61.6;158.6;189.6;168.6;74.2;48.4;164;95;331;346.6;1809.2
2009;158.2;130.4;180;443.6;21.4;158.2;160;37.4;150;65.4;178.6;224.8;1908
2010;83.6;135.8;59.8;55.6;263.4;147.4;134.8;231;230.6;318.8;558.4;290.8;2510
2011;46.8;81.6;217.8;36.8;73.6;220.8;127.8;14.6;110.2;188.6;345.2;56.2;1520
2012;24.4;12.4;12.2;260.2;216.2;44;54.6;90.4;202.4;236;403;81;1636.8
2013;106.8;81.6;216.8;182.4;459.4;138.2;33.6;75.4;104.2;146.4;204.2;159.4;1908.4
2014;453;311.6;94;202.2;100.6;159.2;306.8;173.2;63.8;82;340.2;121;2407.6
2015;79.4;113;104;96.4;156.2;95.4;74;95.4;162.8;216.8;20.2;0;1213.6
2016;67.2;267.6;72.6;73.6;206;190.4;34;91.6;67.8;156.8;144;0.8;1372.4
2017;12.8;109.2;58.6;121.2;131.8;64;47;29.8;150.4;31.2;143.4;130.2;1029.6
2018;78;59.4;191.2;145.6;254.8;129.2;162;100.2;151;229.4;185.2;28.6;1714.6
2019;23;134.4;4;316.6;284;21.4;91.4;93;135.2;90.6;528.4;107.6;1829.6
2020;15.8;5.8;143;44.8;141;165.6;58.2;204.8;64.2;238.2;13;352.6;1447
2021;222;53.2;18.6;119;212.6;71;133.8;86.4;33.8;67.6;261.4;37.6;1317
2022;22.4;33;8.2;63.2;95.2;77.8;78;184.8;131.2;25;142.6;147.8;1009.2
Medio mensile;85.6;77.8;85.9;145.9;175.7;113.8;106.1;117.3;132;135.4;225.7;115.2;1516.4
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;7;
1996;0;0;0;5;0;0;2;0;0;0;0;0;
1997;0;0;0;0;0;2;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;7;0;7;
2000;0;0;0;0;0;0;0;0;0;3;0;1;
2001;4;0;3;0;0;2;0;0;2;0;0;0;
2002;0;0;0;2;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;1;0;0;0;0;0;0;
2004;0;0;0;0;3;0;0;0;0;0;4;0;
2005;0;0;0;0;0;0;1;0;0;4;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;1;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;2;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;2;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;1;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 20 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione San Bortolo;;;;;;;;;;;;;
Coordinata X 1670124 Gauss-Boaga fuso;;;;;;;;;;;;;
