ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione San Giovanni Ilarione;;;;;;;;;;;;;
Coordinata X 1673701 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5046294 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 317 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;84.8;30.4;8;116.2;153.4;59.6;90.6;57.6;149.4;71.2;55;37.4;913.6
1995;58.6;94.2;42.8;144.2;265.4;169.2;30.6;142;141.6;10.8;67;189.6;1356
1996;158.4;66.2;21;86.2;108.6;62.8;113.4;127.2;56.6;189.6;171.6;147.8;1309.4
1997;95;6.4;5.2;96.8;44.8;150.2;145.4;29;>>;>>;>>;>>;572.8
1998;>>;>>;5.6;230.2;116.2;119.4;57.4;15.6;223.2;194.4;33.4;16.2;1011.6
1999;66.2;0.2;125;134.2;118.4;94.8;87;102.2;168.8;202.4;163.2;65.4;1327.8
2000;0.4;4;105;75.4;59;73;89.8;108.4;126.4;222.8;429.6;94.4;1388.2
2001;161.8;63.2;275.2;116;115.4;15.2;120.4;88.2;127.6;37.4;66.8;0.6;1187.8
2002;45.4;186.2;37.6;203.2;312.6;101;121.4;134.4;78.2;108.4;205;103.1;1636.5
2003;71.2;1.2;4;89;56.2;132.4;25.2;45.2;30.8;131;223.6;217.4;1027.2
2004;46.8;98;57.4;209.8;205;85;82.4;27.8;111.8;175.8;200.2;114.4;1414.4
2005;0.8;0.4;36.8;183.8;108.6;55;210.6;159.6;61.8;227.4;101.4;86.6;1232.8
2006;10.6;110.6;52.6;102.4;101.6;27.2;39;262;183.2;16.6;39.6;83.2;1028.6
2007;49.6;48.6;130.6;17;101.2;103.4;53;144.8;123.4;66.2;133.2;10.8;981.8
2008;120.8;41.8;69.4;142;128.8;138.8;104;74.2;123.4;71;287.4;158.8;1460.4
2009;158;97.2;189.8;252.8;15;83.2;85.2;48.4;163.2;68.8;174.4;184.6;1520.6
2010;80.2;158.8;69.4;49.8;172.4;149.6;91;197.2;230.4;294.2;463;267.6;2223.6
2011;17;103.6;182;33.2;62;189;115;15.6;132.8;199.4;235.4;47.8;1332.8
2012;20.4;25;5.2;210.6;185.8;29;46.2;46.2;163.6;200.2;367.8;77.6;1377.6
2013;126.8;60.2;259.6;153.4;469.8;63;17.4;88.2;47.6;92.6;182;87;1647.6
2014;416.2;302;105.2;156.8;84.2;115.2;269.8;184;66.2;49.6;215.4;75.8;2040.4
2015;71.8;126.6;103.2;70;131;57.6;37.6;48;135.2;179.2;26.2;1;987.4
2016;57.4;286.6;82.4;57.2;189.8;145.2;38.6;82.8;20;135.8;92.8;1.4;1190
2017;18;103.6;25.8;80.4;72.2;50.8;50;23.2;160.8;46.4;125.4;119;875.6
2018;63.6;69.4;184;101;185.6;96.4;155.2;132;171;141.2;137;31.8;1468.2
2019;22.8;99.4;14.4;252.4;253.4;10.6;77.4;126.4;112;63.6;389.2;93.6;1515.2
2020;18.6;10.4;144.8;30.2;72;145.2;68.4;225;42;182.2;13.8;318.8;1271.4
2021;244.8;47.6;5.8;109.8;153.6;36.4;141.2;52.2;50.8;41.6;203.4;45.2;1132.4
2022;22.8;55.8;10.2;54.2;85.2;72;88.2;180.8;80.4;24.8;150.4;138;962.8
Medio mensile;82.5;82.1;81.3;122.7;142.3;90.7;91.4;102.4;117.2;123;176.9;100.5;1289.5
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;6;0;
1995;0;0;0;1;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;1;
1997;1;0;0;0;0;0;0;23;30;31;30;31;
1998;31;28;9;0;0;0;0;0;0;0;0;0;
1999;0;2;0;0;0;0;0;0;0;0;1;2;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;2;0;0;0;0;0;0;0;0;0;0;0;
2004;1;6;4;0;0;0;0;0;0;0;0;0;
2005;1;4;0;0;0;0;0;0;0;0;2;2;
2006;4;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;2;0;0;2;0;0;0;0;0;0;0;10;
2009;1;2;0;0;0;5;1;0;0;0;0;4;
2010;5;1;1;0;0;0;0;0;0;0;0;1;
2011;3;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;1;4;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;2;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
