ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione San Martino d'Alpago;;;;;;;;;;;;;
Coordinata X 1762192 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5119729 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 828 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;111;53.2;13.4;164.6;128.4;134.4;154;140.4;228.2;69;83;18.4;1298
1995;47.6;56.4;59.6;65.4;230.8;275.6;119.6;148;199;1.8;60;118.4;1382.2
1996;69;31.4;19.2;58.4;249.2;150.6;111.6;268.2;82.2;309;320.4;69.6;1738.8
1997;77.8;1.2;11;47.8;126.4;248.8;181;197;36;16.2;230.6;203.6;1377.4
1998;40.8;12.8;13.2;239.6;140.8;250.2;98.4;84;213;212.6;6.8;3.2;1315.4
1999;63.6;12.2;109.4;200;169.6;196;103.8;222;188;148.8;149.6;48.8;1611.8
2000;0;11.8;115.4;81.2;135.6;95;151;112.8;200;292.4;441.6;89.2;1726
2001;191.2;15;243.8;135.8;71.4;83.4;211;121.8;166.8;80;53.6;1.4;1375.2
2002;19;50.2;51;136.6;262.8;350.6;248;286.2;198;131.2;482.2;100.8;2316.6
2003;49.4;5.4;6.2;112;113.6;118.6;149.2;111.8;54.2;154.8;254;117.6;1246.8
2004;7.4;121.6;75.2;130;250.2;178;100;186.8;96.4;299.8;102.8;88.4;1636.6
2005;8;17.2;42;179.8;98.4;139.2;159.2;253.2;218.8;374.8;70.8;78.4;1639.8
2006;20.8;66;75;187.2;169.4;74.8;120.4;319.4;177.4;56.4;35;165;1466.8
2007;108.8;54;143.4;45.8;162.4;208.6;180.2;221.6;187.6;60.8;58.8;5.4;1437.4
2008;81;53.2;84;194.6;230.6;193.6;173.6;156.6;187.2;215.8;197.6;237.8;2005.6
2009;133.8;140;208.4;245.8;73.6;185.6;99.6;138;250.8;86.2;249.4;201.8;2013
2010;84.8;96;54.8;46.2;255.8;178.2;116.2;173.6;220.8;288.2;378.6;227;2120.2
2011;54.2;47.2;99.2;31.2;143.4;239.2;258.2;118.6;178.6;209.2;136.8;53.8;1569.6
2012;17.6;19.4;27.6;233;206.4;142.6;203;125.6;220.4;192.2;390.4;67.6;1845.8
2013;97;50.6;231.4;153.2;301.6;117.8;77.6;97;126.4;163.4;259;157;1832
2014;432.8;330.6;152.4;112;100.8;199;302;173.8;113.4;81.4;303.4;97.8;2399.4
2015;71.2;38.2;112.4;57.8;242.8;150;73.4;142;202.4;206;11.6;0;1307.8
2016;54.4;292.6;142.4;99.8;239;194;245.4;126.8;134.2;144.2;166.6;0;1839.4
2017;13;116.2;36.6;164.4;110.2;197;175.2;68.6;241.4;48.6;156;177.6;1504.8
2018;125.6;52;164.6;179;243.4;125.2;231.2;218.2;80.6;358.2;141.4;9.2;1928.6
2019;37.4;122.6;35.4;408;369.2;29.2;155;179.8;96.2;108.8;506.6;131.8;2180
2020;6.2;11;131.2;32.8;109.6;228.4;184.2;354.8;153.8;228.6;12;419.2;1871.8
2021;164.6;69;5;95;289.4;85.6;123.8;184;99;87.8;188.8;51.8;1443.8
2022;61.8;29.8;9;95;76.4;98.8;116.6;188.8;297;68;166;119;1326.2
Medio mensile;77.6;68.2;85.2;135.6;182.8;167.9;159.4;176.5;167.2;161.9;193.6;105.5;1681.3
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;1;0;0;0;0;0;
1998;0;0;0;2;0;0;1;0;0;0;2;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;1;0;0;0;0;0;0;0;1;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;2;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;2;0;
2008;3;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;4;8;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;4;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;1;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;1;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;3;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;2;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
