ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione San Pietro in Cariano;;;;;;;;;;;;;
Coordinata X 1647513 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5041286 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 127 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;58.6;21.6;6.4;66;47.2;20.6;73.2;63.6;181.2;129.2;89.4;34.8;791.8
1995;42.2;76.6;30.4;68.4;161.6;100.4;7.2;121.6;74.8;11.4;52.2;115;861.8
1996;115.6;52.8;14.8;76.8;75.2;49.2;78;132.2;42;121.4;113.8;108;979.8
1997;75.4;5.8;0;45.2;21.8;145.8;70.8;40.6;4.2;20;91.8;113.2;634.6
1998;51;7.4;0;107.6;62.8;141.8;48.8;14.2;140;101.2;25.8;7.8;708.4
1999;20;3.6;68.4;56.6;89.6;124;124.4;106;152.4;141.6;69.4;49.4;1005.4
2000;2;4;70.8;78.4;52.4;49.8;51.8;110.6;83.8;161.6;209.6;81;955.8
2001;122.6;7.4;192.4;67.8;139.8;13.6;76.6;45.2;112.4;40.6;62;1.2;881.6
2002;28.2;55.8;15.2;115.4;119.6;61.6;127.6;157.6;85.8;85.2;118;61.8;1031.8
2003;30.4;0.2;6.8;78.8;37.6;42.4;60.2;25.2;18.6;98;126;74.6;598.8
2004;18.6;61.4;62.4;102.2;102;26.2;77.2;50;57.2;112.6;140;62.2;872
2005;3;7.6;31.2;95.6;80.2;40.6;129.6;115.6;65.4;161.6;81.2;32.2;843.8
2006;15.4;49.6;27.6;68.8;63.6;23;22;246.8;60;19.8;24.2;49.4;670.2
2007;31;43.6;34.4;18.8;71;74.8;22;96.8;61.2;47.4;127.2;9.4;637.6
2008;52.6;22.8;31.6;130.6;59.6;155.6;48.4;20.4;67.4;42.4;126.2;134.2;891.8
2009;50.2;54.6;92.8;61.6;5.2;127.4;60.2;24.4;60.8;48.8;103.2;86;775.2
2010;28.6;71;25;37;79.8;117;118.2;147.6;132.2;125.4;138.6;148.6;1169
2011;40.4;44.6;72.6;6.8;48;133.2;120.6;10.8;50.6;89.6;61.8;36.8;715.8
2012;16.2;9.6;3.4;96;110;49;64.2;45.8;103;109;190.6;63;859.8
2013;64.4;44;183;121;226.8;77;39.4;129.4;45.2;73.4;86;47.8;1137.4
2014;185.4;171;44;115.2;47.6;142.6;283.6;204.8;66.4;73.8;178.4;75.4;1588.2
2015;26.4;64;21.2;38.4;65.2;37.4;17.2;56.8;81.8;118.2;5;0;531.6
