ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Sant'Andrea (Gosaldo);;;;;;;;;;;;;
Coordinata X 1728100 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5123840 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1254 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;140;90.4;27.8;170.6;129;89;200.8;162.2;294.6;81.8;107.8;35;1529
1995;43;64;62;97.8;164.6;192.6;146.6;84.6;200.4;0;36;132;1223.6
1996;62.4;24.6;26.4;65.8;208;117;161.6;207.2;59.6;367;420.4;65.4;1785.4
1997;99;3.6;14.2;63;123;268.4;124.4;130.4;31.6;8.4;247.6;166.6;1280.2
1998;38.2;17.2;7;253.6;62.2;132.6;179.8;104.2;226.8;297.8;44.8;8.2;1372.4
1999;100;18.6;163.8;200;169;145;147.4;203.2;267.8;162;96.6;59;1732.4
2000;1.4;9.8;174.4;83.2;134.2;135.2;181.4;160.2;207.4;399;583.6;60;2129.8
2001;188.4;24.4;217.8;131.6;106;163;174;148;133;55.6;54.2;0;1396
2002;20.2;130;59.2;219;354.2;248.2;175;199.2;177.6;98.8;752.4;65.4;2499.2
2003;51;2.4;12.6;95.6;100.2;104.8;109.2;132.8;75.2;208.8;328.6;110.4;1331.6
2004;8.6;124.4;128.4;118;258;202.8;135.4;121.4;94.4;253;147.2;105.2;1696.8
2005;5.2;5.8;47.2;146.2;140.8;97.2;135;165.8;137.6;263.6;73.4;81.8;1299.6
2006;68;67.4;82.4;173.2;146.6;66.4;95.2;226.2;168.8;50.4;21.8;140.8;1307.2
2007;117;33;153.6;43.2;161.2;120.4;112.4;210.4;105.8;53.8;139.2;4.6;1254.6
2008;186;55.4;86.6;175.4;213;232.6;145.2;157.4;129;236.6;350;337.4;2304.6
2009;116.4;168.2;190.4;256;36.6;147;136.8;204.6;167.4;77.8;331.2;199.2;2031.6
2010;80;111;78.4;62.4;336.2;156.6;132.6;230.4;212.4;203.8;377.2;280;2261
2011;39.2;47.2;64.6;30.6;141.4;254;120.8;125.4;174;150;151.8;40.2;1339.2
2012;18;13;64;213.8;162.4;140;234.2;145.2;190.2;227.6;468.4;56;1932.8
2013;87.4;88;217;194.8;393.8;253.6;115.2;108.4;73.4;215;250.8;224;2221.4
2014;347.8;378.4;126.8;148.6;77.8;189;225.6;224.4;90;104;591;140.2;2643.6
