ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Sant'Antonio Tortal;;;;;;;;;;;;;
Coordinata X 1744072 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5104281 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 544 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;115.6;84.6;28.4;197.4;129.4;72;76.4;76.6;280;97;101;46.4;1304.8
1995;29.8;60;76.4;86.4;189.8;238.8;95.2;108;213.4;0;39.8;151.2;1288.8
1996;88;28.8;15.8;73;180;112.2;112;253;68.2;335.8;329;77.6;1673.4
1997;101;2;19;52.8;88.6;197.2;113.2;128;23.4;14.4;357.6;237.6;1334.8
1998;38;15;5.4;305.6;96.6;94.8;136.2;22.4;210;358;22;4.2;1308.2
1999;80.6;12.4;148.8;152;165.6;184.2;85.4;155.6;237.8;170;122.2;64.4;1579
2000;0.2;7;177.6;98.2;124;143.8;108.6;141.8;221.6;326.2;654.6;70;2073.6
2001;163.6;26.6;307.4;121.6;69.8;62.6;205.6;244.8;176.2;82;76;2.4;1538.6
2002;20.6;108.2;68.2;236;367;260.8;196.2;225.8;155.8;117;552.6;108;2416.2
2003;73.6;5;9;127;106.6;93.2;113.2;118.2;44.2;202.8;346;163.2;1402
2004;7;169.8;98.4;131.4;262.6;222.2;53;200.4;101.4;318;117.8;112.4;1794.4
2005;6.8;13.4;52.2;177.2;123.8;81;138;159.2;285.8;264.6;110.6;93.4;1506
2006;91.4;61.6;46.8;166.2;117.4;48.2;111;211.6;190.2;59.8;15.2;239.4;1358.8
2007;148.2;49.6;143.4;20.4;199;179.4;158.8;153.8;137.8;63.6;227.6;3.4;1485
2008;233.6;66.8;92.6;182.2;230.8;136.8;117.4;111.8;171.2;233.6;304.4;404.2;2285.4
