ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Sant'Apollinare (Rovigo);;;;;;;;;;;;;
Coordinata X 1722631 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4990567 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 2 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1998;34;17;11.4;62.4;59.6;38;37.6;10.2;78.8;118.8;24;28.6;520.4
1999;38.4;9;44.2;72.2;27;81.2;44.8;29.2;50.2;104;121.6;36.6;658.4
2000;2.8;4.8;43.8;43.6;36.4;61;37;38.6;59.8;88;99.8;51;566.6
2001;63.6;11.6;71.4;36.2;48.4;70.8;102.6;25.2;39;38.8;42.6;2.6;552.8
2002;23;40.2;2;105.8;72.8;46.2;173.4;152.4;72.8;94.4;82.6;104.2;969.8
2003;30.6;9.6;16.2;77.2;16.4;33.8;6;15;53.8;66.4;101.4;55.6;482
2004;66.2;149.4;125.4;122.4;62;57.6;30;53.8;54.2;92.2;74.2;94;981.4
2005;16.2;18.4;13.6;81.6;55;14.4;75.8;151.8;63.8;212.4;128.4;48.6;880
2006;18.8;27.2;34.2;44.4;70.8;7.4;72.4;71.2;95.6;16.6;28.8;19;506.4
2007;12.2;42;109.6;0.2;177.8;82.8;12.4;38;40.4;51;14;37.4;617.8
2008;48;15.4;41;46.8;84.2;137.4;21.2;25.2;43;35.2;156.8;92.4;746.6
2009;69;56.4;91.2;145.2;53.6;46;14.6;16;52.4;36;60.4;66.8;707.6
2010;47;65.6;36;59.2;167;129.2;31.2;69;32.2;82;94.8;55.4;868.6
2011;7;42.6;72.8;14.8;45.2;33.4;64.8;0;42.6;72.8;35.4;12.2;443.6
2012;3.8;23.6;0.2;82.2;89;9.6;1.2;2;142.2;187.6;73.8;27.6;642.8
