ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Sappada;;;;;;;;;;;;;
Coordinata X 1784183 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5164164 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1265 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;6.4;230;128.8;365.2
1998;19.8;9.2;6.4;203.6;61.4;258.4;163.2;67.4;168;315.2;30.6;3.6;1306.8
1999;0;1;45.4;135.2;130.4;124.6;76.4;154;58.6;111.8;9.6;2;849
2000;5.4;1.2;10.2;107.8;103;110.4;156.4;136.4;270.2;380.4;367;18.8;1667.2
2001;112;0;63.6;60.2;54.6;91.2;161;112.6;135;41;47.4;0.2;878.8
2002;6.6;2.4;55.2;162.4;330.4;405.6;165.8;215.4;128.8;90.2;669.2;67.4;2299.4
2003;31.6;4.4;8.2;63;142;220;136.8;227;32.4;160.6;319.2;66.8;1412
2004;6.4;58.4;28.4;112.2;195.4;153;191;180.6;87;212.4;88.8;94;1407.6
2005;4.4;15.4;30.2;89.4;125.6;106.4;214.4;172.4;157.8;269.8;47.4;50.6;1283.8
2006;15.6;45.4;52.8;134.4;108.8;69;115;269.8;140.8;51.4;13.8;98.2;1115
2007;111.8;33.8;115.2;26;206.2;152;160;248.4;130.4;45.6;157.6;7.2;1394.2
2008;116.6;26.8;51.6;101;223.8;151.8;208.8;128;122.6;287.8;237.8;274.6;1931.2
2009;119.6;105.4;154;160.2;64.6;162.6;153.6;99;181.4;97.2;190;156.8;1644.4
2010;40.2;52;55;27.2;265.4;114.6;130;259.4;189.4;245.4;313.2;172;1863.8
2011;19.2;43.4;104;43.8;155.8;245.2;180.8;113;191.6;199.2;78.8;23.2;1398
2012;27.4;8.8;19.4;161;126.4;178.8;259;93;218.4;197.2;380.2;21.4;1691
