ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Soffranco;;;;;;;;;;;;;
Coordinata X 1749859 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5130094 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 606 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;0;188.2;147.2;94.4;130.6;113;370.8;127.2;96.2;0.6;1268.2
1995;>>;>>;11.4;149;273.8;173.2;118.4;78.4;255.2;0;35.4;1.2;1096
1996;>>;>>;2.4;65;228.6;142.4;139.2;217.6;62.6;434.6;554.8;>>;1847.2
1997;>>;>>;7.8;60.2;133.4;428.8;132.6;170.2;40;8.2;525.2;>>;1506.4
1998;>>;>>;>>;73.4;110.2;167.2;207.2;95.6;317;376;37.6;>>;1384.2
1999;>>;>>;55.6;257.2;145.2;110;107.4;231.2;289.8;235.4;61.8;40;1533.6
2000;0.4;6;151.8;111;96.4;140.2;199;170.6;155.6;560.4;788.6;63;2443
2001;267.6;29;218.8;125;95.4;103.4;139.8;145;155.8;41.8;38.8;0;1360.4
2002;12;97.6;64.4;193.8;342;269.6;154.4;189.6;156;158.6;760.4;87;2485.4
2003;41.4;1.6;4.8;63.4;97.8;84;137.6;144.8;33.4;247.6;419;43;1318.4
2004;2.6;74.2;64.6;91.8;275.4;111.8;132;122.6;63.6;268;36.2;65.2;1308
2005;2.4;3.6;25.6;116.2;120.4;107.6;133.4;193.6;152.6;258.2;54.2;57.2;1225
2006;31.6;53.8;48.4;141.2;129.6;89.2;84.4;253.6;177.4;118.4;11.4;190.4;1329.4
2007;150.2;31.6;177.8;19.6;174.6;157;140;203.2;142.2;58.4;237;3.2;1494.8
2008;225;55.2;71.2;180.8;242.4;151.6;192.6;192.4;124;396.4;334;363;2528.6
2009;94.2;190.2;242.8;235.8;73;186.2;182.2;102;153.8;98.6;254.8;245.4;2059
2010;63;88.6;69;58.4;269;141.8;80.4;134.2;172;319.8;394;281;2071.2
2011;28.4;47.4;139.8;16.8;157;254.4;155.8;97.8;167.6;213.2;135;19;1432.2
2012;19.4;10;11.4;159.4;160.8;132.4;204.8;115.4;277;214.2;502.2;27;1834
2013;76.8;60.2;161;143.2;333;83;82.8;114.2;65.2;185;200;264.2;1768.6
