ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Sospirolo;;;;;;;;;;;;;
Coordinata X 1737557 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5114295 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 426 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;138.2;83.2;21.4;143.6;142.4;69;146.6;100.6;340.6;85.4;85.4;33.4;1389.8
1995;46.4;73.2;57.4;146.6;200.4;190.6;117;135.8;251.2;0;44.8;162.2;1425.6
1996;89.4;32;14.6;79.2;218.2;137.2;70.2;206.8;60.4;319.4;304.2;80.4;1612
1997;101;3.6;21.6;80;136.2;364;102;180.2;56.4;13.6;297.8;201.2;1557.6
1998;49.2;18.4;11.4;307;130.8;147.6;137.6;61.4;284.4;243;31;6;1427.8
1999;75.2;7;160.4;226.6;136.8;157.2;159.2;217.8;242.6;165;102.8;61.4;1712
2000;0;9.4;157.6;97.4;184.2;120.4;197.6;124.8;179.4;351.6;577;90.8;2090.2
2001;218.8;26.8;300.4;123.6;109.8;103.8;178.2;198.6;148.6;64;50.8;1.8;1525.2
2002;23.6;111;59.6;181.6;366.6;296.6;219.2;198;280.8;117.8;565.4;68.2;2488.4
2003;61.6;1.2;12.6;99.2;72.2;67;92.6;99.4;43.2;216.6;291.8;119.6;1177
2004;6.6;110.4;107.2;127.4;267;198.4;125.8;131.4;66.4;272;57.4;103.8;1573.8
2005;6.6;15.2;30.8;159.2;103.2;138;205;220.6;171.2;234.8;89;23.8;1397.4
2006;0.4;61;65;177.8;155.4;36.4;60;139.8;107;63.8;18.2;156.8;1041.6
2007;108.6;44.4;131.8;32.6;157.2;135.2;133.8;142.8;117.2;83.6;163.2;3.6;1254
2008;186;55.4;83.4;177.2;216;161.2;184.2;92;142.6;204.8;280.4;329;2112.2
2009;121;172.8;205.8;171.2;40.8;110;168.2;246;132.2;125.6;185.2;191.8;1870.6
2010;62;103;82.2;39.8;271.2;137.8;103;146.8;180.4;201.6;320.2;247;1895
2011;40.8;45.4;122;20.6;109.2;197.8;109.6;81;198.2;164.8;147.6;43;1280
2012;14.2;6;32.4;220.4;169.6;121.4;197.8;87;207.6;198.2;399.4;56.4;1710.4
2013;75;79.8;237.6;146.6;283.6;169.6;25.4;75.6;57.4;169.2;227.4;202.2;1749.4
2014;421.4;358;113.8;97.4;69.4;179.8;293.2;221.2;75.4;170;471.4;153;2624
2015;77;50.2;85.4;58.2;182.8;145.2;90.2;101;188.2;241.6;9.6;0;1229.4
2016;69.2;222.6;128.4;90.2;183.6;299;169.4;157.6;80.6;158.6;151.6;0;1710.8
2017;7.2;121.6;36;162.2;108.8;150;249.4;65;236;13.8;179.2;202.8;1532
2018;121.8;60.2;197;133.8;214.8;140;110.6;120.6;100.8;352;130.4;6.4;1688.4
2019;22.8;154.6;41.4;404;281.4;13;168;156.2;150.8;112.4;525;142.2;2171.8
