ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Teolo;;;;;;;;;;;;;
Coordinata X 1709767 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5024532 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 155 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;41.4;41.6;10.8;124.2;52;29.4;48.2;89.8;152;54;71.4;46.2;761
1995;35.2;87.4;37;101.8;300;205;50.2;46.6;97.4;13;20.4;143.6;1137.6
1996;105.4;43.8;17.6;126.6;69;85.8;48.4;82.6;126.2;141.4;119.2;171.8;1137.8
1997;73.8;3.4;21.4;55;35.6;85.8;55.6;24.2;9.4;11.2;91.8;104.2;571.4
1998;37;29.8;2.4;97.8;67.2;40.8;25.6;13.6;142.4;155.2;21.2;6.4;639.4
1999;47;10.2;56;118;47.2;108.4;43.6;32.6;88.2;157.8;156.4;66.6;932
2000;0;3.2;77.6;64.8;46.8;63.4;37.2;94.4;137.6;179.2;164.4;64.4;933
2001;97.8;3;185.8;90.6;98.8;62;207.4;56.8;83;54.8;40.2;2.2;982.4
2002;42.6;95;5.4;149;156.2;119;166;146.8;50.6;131.4;122.2;95;1279.2
2003;38.4;4.8;5.4;147.6;16.6;109.6;23.6;5.6;49.8;71.6;152.4;98.2;723.6
2004;52.6;175.6;117.6;118.2;95.6;110.6;56.2;32;92.8;129;116.8;80;1177
2005;10;10.2;4.4;111.4;90.6;25.2;81.2;180.6;51.8;186.6;147.6;43;942.6
2006;38.6;43.8;42.2;53;94.8;18;63;129.8;183.8;23.2;53.8;64.8;808.8
2007;24.4;55.8;79.8;0.6;100.2;20.6;10.8;43.2;96;53.2;36.8;15.4;536.8
2008;77.8;41.8;44.4;122.2;82.6;100;57.8;61.2;29.2;55.8;184;206.4;1063.2
2009;57.8;71.6;132.8;211.8;7.2;96;20.4;43;109.6;40.8;120.2;110.4;1021.6
2010;60.4;162.6;41;53.6;150.4;171.2;66.6;114.2;123.4;125.8;189.8;156.8;1415.8
2011;26.2;69.4;152.6;7.6;32.2;50.2;75.8;6;56.6;89.2;92.8;22.8;681.4
2012;5.4;23;10.6;87.4;95.2;29.4;3.2;50.4;118.8;165.2;180.4;42;811
2013;85.8;45.8;255.8;113.6;168.8;80.8;78.4;71.6;27.4;125.2;134.2;24.4;1211.8
2014;208;222.6;91;141;67;70.2;256.6;80.8;64.8;43.6;131.8;77.4;1454.8
2015;15.8;57.8;110.4;76;88.8;78.4;74.2;41.2;43.6;117.4;12.6;0;716.2
2016;55.8;200.2;83;62;216.4;125;17.8;67.6;73.6;127.8;130.6;4.6;1164.4
2017;14.8;87;25.2;56.6;54;58.4;54.2;23.6;112.4;20.8;108.2;50.8;666
2018;28.4;70.2;162.6;43;83.8;91.4;89.6;142.4;113.8;120.6;95.6;16.6;1058
2019;17.4;55.6;6.4;206;223.8;32.6;105.6;38;93.8;109.4;272.8;101.4;1262.8
2020;18.2;9.6;68.8;12.4;41.4;102;76.2;191.8;38;132.6;15;193.4;899.4
2021;99;26.6;0.4;124.6;131.2;16.6;154.4;71.2;41.2;55.6;112.6;48.8;882.2
2022;9.8;22;12.4;57;71;14.2;36.4;56;101.2;1.8;124.2;118.8;624.8
Medio mensile;49.1;61.2;64.2;94.3;96;75.9;71.9;70.3;86.5;92.9;111;75;948.1
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;1;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;2;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;2;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;1;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;2;0;4;1;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;1;0;0;0;0;0;0;0;0;0;0;0;
2009;0;1;0;0;0;0;0;0;0;0;0;0;
2010;0;0;1;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;1;0;0;0;0;0;0;0;0;0;0;
2013;0;2;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 20 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Teolo;;;;;;;;;;;;;
Coordinata X 1709767 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5024532 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 155 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;5;4;2;13;10;7;4;4;10;5;4;6;74
1995;5;10;9;7;13;13;7;9;9;2;5;11;100
1996;9;6;4;10;12;7;4;7;9;8;12;12;100
1997;10;1;4;4;6;9;5;5;2;4;11;9;70
1998;7;2;1;12;9;6;5;2;10;8;2;2;66
1999;5;2;7;11;7;11;3;3;8;8;8;6;79
2000;0;1;6;6;7;6;8;5;9;14;16;9;87
2001;15;1;12;9;7;7;6;3;11;6;6;2;85
2002;2;6;2;13;13;7;12;10;9;6;12;11;103
2003;5;1;3;8;2;6;4;1;6;9;7;7;59
2004;5;10;8;14;11;8;4;4;4;12;9;12;101
2005;2;2;1;11;6;3;11;11;2;8;5;8;70
2006;6;7;5;8;6;3;3;13;5;3;5;6;70
2007;4;7;8;0;6;5;4;8;6;6;4;5;63
2008;8;4;9;15;6;11;5;5;4;4;13;11;95
2009;11;6;9;13;3;7;4;4;4;6;11;10;88
2010;7;10;6;11;12;5;5;5;13;9;14;11;108
2011;6;6;8;3;2;9;8;2;4;6;5;4;63
2012;2;2;1;12;7;3;1;4;12;8;8;8;68
2013;11;4;17;14;15;6;5;6;7;10;8;4;107
2014;16;17;4;7;7;7;12;9;8;5;13;9;114
2015;4;6;7;8;8;5;5;8;6;11;1;0;69
2016;8;14;5;6;13;10;3;7;3;10;7;1;87
2017;3;8;3;7;7;5;7;3;13;2;7;7;72
2018;3;11;13;7;10;10;7;9;7;7;10;2;96
2019;6;4;2;14;18;1;8;6;7;7;18;7;98
2020;1;2;6;5;7;10;9;10;6;10;2;12;80
2021;7;4;0;8;10;3;11;5;6;2;12;6;74
2022;2;2;1;6;8;3;5;7;8;0;12;11;65
Medio mensile;6;6;6;9;9;7;6;6;7;7;9;7;83
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;1;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;2;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;2;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;1;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;2;0;4;1;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;1;0;0;0;0;0;0;0;0;0;0;0;
2009;0;1;0;0;0;0;0;0;0;0;0;0;
2010;0;0;1;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;1;0;0;0;0;0;0;0;0;0;0;
2013;0;2;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 20 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Teolo;;;;;;;;;;;;;
Coordinata X 1709767 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5024532 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 155 m s.l.m.;;;;;;;;;;;;;
Parametro Radiazione solare globale (MJ/m2);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;154.368;203.426;450.909;461.02;621.952;651.512;775.266;676.176;377.689;294.075;94.778;79.465;4840.636
1995;141.138;144.653;365.959;417.716;502.146;598.882;708.227;545.82;397.075;298.311;139.249;77.03;4336.206
1996;91.094;241.496;368.463;455.284;653.532;734.504;704.21;651.681;430.889;240.806;137.517;101.581;4811.057
1997;142.262;229.773;480.896;601.21;699.955;589.136;779.571;619.436;522.555;292.789;124.438;84.819;5166.84
1998;108.993;267.792;448.776;435.301;652.328;754.047;778.41;672.272;449.115;279.703;188.314;132.898;5167.949
1999;172.712;254.719;358.955;478.649;598.656;691.615;724.425;580.349;438.376;241.031;149.517;117.635;4806.639
2000;185.892;221.551;395.249;476.747;695.48;766.417;712.043;647.2;467.409;194.847;128.348;92.77;4983.953
2001;98.105;235.571;283.494;504.154;662.607;712.35;701.242;657.191;426.49;280.237;143.925;157.305;4862.671
2002;159.225;153.765;441.125;429.841;535.194;675.084;676.471;604.11;418.356;277.689;103.803;80.363;4555.026
2003;145.952;298.155;420.892;473.371;710.888;737.899;737.278;637.962;461.309;260.148;131.938;116.819;5132.611
2004;122.104;151.795;323.898;442.293;640.573;689.964;732.952;621.331;458.372;210.437;159.144;124.099;4676.962
2005;168.733;242.575;404.706;468.231;673.37;717.327;718.871;534.456;429.609;208.999;131.762;122.756;4821.395
2006;149.786;192.437;356.031;471.193;625.624;736.041;746.535;587.573;449;309.627;163.945;129.528;4917.32
2007;107.211;203.966;363.229;601.788;600.878;598.637;741.194;556.595;433.783;274.193;164.397;126.233;4772.104
2008;94.201;206.376;320.804;405.962;593.648;621.35;689.399;630.55;387.937;267.232;132.835;98.048;4448.342
2009;117.422;226.264;345.826;418.338;739.726;699.541;751.637;665.042;450.59;302.604;90.21;96.523;4903.723
2010;105.966;173.723;342.506;504.462;574.714;648.882;734.034;613.066;427.671;282.013;98.33;86.608;4591.975
2011;110.368;210.669;377.619;600.564;780.086;655.29;738.382;693.698;469.913;331.371;172.267;112.583;5252.81
2012;177.029;258.738;481.872;447.378;692.684;736.28;776.213;682.606;406.087;268.576;135.787;108.428;5171.678
2013;105.824;215.853;268.551;444.565;558.114;720.333;768.689;671.444;447.828;211.711;148.619;128.769;4690.3
2014;87.762;164.842;403.734;466.963;683.274;697.708;650.42;566.235;415.545;293.479;116.173;101.261;4647.396
2015;145.996;216.658;400.815;551.104;587.134;719.398;764.365;611.104;419.951;262.213;171.972;117.265;4967.975
2016;136.839;174.73;376.951;500.552;593.384;656.9;746.133;684.146;474.356;253.094;140.53;137.153;4874.768
2017;181.379;174.024;451.381;550.828;673.778;750.326;798.088;676.508;410.154;301.556;145.162;123.264;5236.448
2018;138.83;182.682;304.098;580.776;647.934;757.008;749.8;677.475;516.624;309.803;132.17;125.293;5122.493
2019;153.546;275.959;480.594;452.861;483.991;792.411;728.688;653.382;449.052;265.244;113.11;119.694;4968.532
2020;172.932;256.181;393.78;628.655;687.171;699.861;783.963;640.146;490.328;276.164;183.119;76.886;5289.186
2021;131.994;226.076;483.18;505.817;632.904;766.486;705.641;677.814;475.021;325.379;130.57;121.143;5182.025
2022;172.536;257.75;470.822;556.143;665.03;714.936;808.39;655.158;475.116;341.628;166.675;81.298;5365.482
Medio mensile;137.248;215.938;391.901;494.199;636.785;699.659;738.984;634.156;444.007;274.309;139.262;109.57;4916.017
;;;;;;;;;;;;;
Il valore mensile è la somma dei valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;1;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;4;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;2;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 20 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori minimi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Teolo;;;;;;;;;;;;;
Coordinata X 1709767 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5024532 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 155 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m (°C) media delle minime;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;2.3;1.1;6.6;7.2;12.3;16;20.3;19.4;14.7;9.2;7.1;2.1;9.9
1995;-0.3;2.9;3.6;7.1;11.6;14.1;19.9;16.9;12.3;11.1;4.3;1.9;8.8
1996;1.5;-0.5;2.3;8.4;12.2;16.4;16.7;16.8;11.7;9.8;5.8;1.3;8.5
1997;1.7;2;5.7;5.5;12.1;15.3;16.7;18.2;15;9.2;5.6;2.3;9.1
1998;1.8;3.4;3.5;7.4;12.4;16.4;18.3;19;13.7;9.8;3.5;-0.9;9
1999;0.2;-0.7;4.8;8.4;13.8;15.7;18.3;18.1;15.9;10.6;3.9;0;9.1
2000;-1.3;1.5;4.1;9.6;14;16.9;15.9;18.7;14.4;11.2;6.7;3.1;9.6
2001;1.7;2.7;6.3;6.9;14.3;14.6;17.8;19.5;11.9;13;3.6;-1.7;9.2
2002;-1.2;2.7;6.3;8.3;12.9;17.7;17.7;17.3;13.5;10.4;7.9;2.8;9.7
2003;-0.1;-1.1;4.5;7.1;14.1;19.9;19.3;21.4;13.7;7.6;6.7;2.1;9.6
2004;-0.7;0.2;3.8;8.4;10.7;15.7;18.1;17.9;14.2;11.9;5.4;3.3;9.1
2005;-1.3;-0.7;3.4;7.5;12.8;16.9;18.1;16.1;15.1;10.7;4.5;0;8.6
2006;-1.1;1;3.2;8.8;12;16.4;20.6;15.5;15.7;11.8;6.7;3;9.5
2007;2.7;3.5;6.3;11.2;13.7;16.9;18;17.6;13.2;10;4.7;1.3;9.9
2008;2.5;2.1;4.4;8.4;13.2;16.9;18.2;18.4;13.6;11.2;6.1;1.4;9.7
2009;-0.1;1.8;4.8;9.9;14.5;15.8;18.6;19.4;16.2;10.5;7.1;0.8;9.9
2010;-0.7;1.4;4;8.5;12.4;16.3;19.9;17.6;13.6;8.8;6.6;-0.7;9
2011;0.4;2.5;5.3;10.7;13.6;17.2;17.5;19.8;17.7;9.7;5.2;2.6;10.2
2012;-0.7;-1.5;7.4;8.2;12.6;18;19.6;19.8;15.4;11.2;7.4;0.1;9.8
2013;1;0.6;3.9;9.5;11.2;15.9;19.5;18.7;14.8;11.7;6.8;2.2;9.6
2014;4;5.1;7.3;10.1;12;16.6;17.1;16.9;14.5;12.6;9.1;3.6;10.7
2015;1.8;2.3;5.7;8.5;13.5;17.4;21.3;19.6;14.9;10.7;5.8;1.7;10.3
2016;1.2;4.1;5.6;9.4;12;16.5;19.6;18.2;16.9;10;6.1;1;10
2017;-1.8;3.7;7.2;8.7;13.5;18.2;18.9;19.5;13.1;11;5.5;0.7;9.8
2018;3.3;0.9;3.7;11.2;14.8;17.2;19.3;20.3;15.9;12.1;7.9;1;10.6
2019;-0.3;3.4;5.7;8.9;10.5;19.4;19.5;19.5;15.2;12.4;7.5;3.7;10.5
2020;1.5;4.2;5.4;8.9;12.9;16.1;18.6;19.3;15.7;9.8;6.1;3.1;10.1
2021;0.4;4.6;4.7;7.1;11;18.5;18.7;18.1;15.8;9.8;6.5;1.7;9.7
