ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Torch;;;;;;;;;;;;;
Coordinata X 1759719 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5116409 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 593 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;96.6;48.8;15.8;126.6;128.4;53.4;133.6;126;268;75.6;71.2;25;1169
1995;39.8;57;60.2;62;179.4;264.8;78.2;125.6;212.8;0;31.2;103.8;1214.8
1996;59.4;22.4;16.6;55.4;177.8;111.8;110;208.2;50.4;320.8;301.8;55.6;1490.2
1997;76.8;1.6;9.2;42.8;121.8;241.4;225.6;136;22.2;18.4;242;176.6;1314.4
1998;33;12.8;7.6;224;110.6;234;132.2;52.6;230;235.2;28.4;2;1302.4
1999;58.8;11.2;107.8;159;142.8;206.2;122.8;195.2;190;153;80.4;52;1479.2
2000;0;8.8;130.6;73.4;124.6;97;120.4;123.2;193.4;261;541.2;74.2;1747.8
2001;185;15.6;259;123.2;73.6;80.6;215.4;121;140.6;94.2;61.4;0.6;1370.2
2002;17.2;59;47.8;130.4;235.2;322.6;188.8;217;133.2;110.2;454;77.4;1992.8
2003;48.8;2.8;3.2;70.4;82.2;65.4;142;117.4;35.6;137.6;267.8;101;1074.2
2004;4.6;90.4;44.2;98.6;204.2;129.4;69.2;130.2;95.8;306.6;84.6;73.2;1331
2005;4.8;7.2;31.6;121.8;102.4;87.6;182.2;169.8;179.2;206.6;59;60.2;1212.4
2006;30.8;40.6;62.4;158.2;118;54.4;103.2;233.2;119.4;43.2;22.2;158.4;1144
2007;102.4;41.8;100.6;33.2;138.6;145.2;148.4;142.6;158.4;32.2;151.4;2;1196.8
2008;165;50;65.8;173.8;166;165.2;107.2;160;198.6;217;243;301;2012.6
2009;142.2;141.8;213.6;168.4;60;148.6;140.8;72.4;215.2;58;178.8;185.8;1725.6
2010;69.2;87.6;38.8;34.8;234.2;130.8;118.6;152.2;191.4;225.2;343.2;163.6;1789.6
2011;37.4;32.4;115.6;45;63.6;204.2;172.6;109.4;131.2;175.8;102.8;42;1232
2012;15.6;14.6;16.2;166.4;207.6;86.4;177.4;126.4;168;164;396;52.4;1591
2013;79.6;57.4;250.8;128.4;271;117.4;54;123;59.4;124.8;210.2;206.2;1682.2
2014;433.6;336.2;115.2;77;78.4;229.6;223.8;185.8;93.4;73.2;314.4;107.8;2268.4
2015;62.4;25.8;98.8;47;114.4;93.6;39.4;103.2;157.8;145;6.4;0;893.8
2016;44.8;209.8;119.8;91.6;177.4;142.2;121;125.4;106.2;105.2;130;0;1373.4
