ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Trebaseleghe;;;;;;;;;;;;;
Coordinata X 1735991 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5054349 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 23 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;174.6;120.2;9.2;6.4;150;460.4
1996;102.4;48;9.6;130.8;98.6;68.4;71.2;119.6;77;168.8;98.4;123;1115.8
1997;93.4;3.4;2.8;57.4;41;94.8;103.8;30.8;29.4;13.2;133.2;131.6;734.8
1998;41.6;1;8.4;132.6;58.2;87.2;26.6;59;181.8;228.2;22.8;10.6;858
1999;39;21.4;58.6;117.8;54.4;159.8;114.6;67.2;52.6;133.8;155.6;55;1029.8
2000;3;5.6;86;55.8;183.8;83.4;68.6;86.8;121.8;95.6;187.6;70.8;1048.8
2001;107.4;8.4;153;82.6;73.8;56.2;135.2;155.6;76.8;50;49.8;1.8;950.6
2002;43.4;78;6.2;74.4;134.2;83.2;169;117.4;66;118.4;114.4;51.8;1056.4
2003;42.8;9.2;0.8;150.8;23.4;144.2;70;41.6;80;66.2;165.6;121;915.6
2004;42.4;205.8;49.4;74;132.4;114.2;33;79.6;80.4;138;88.6;88.8;1126.6
2005;3.8;3.6;13.2;141.4;108.2;77;96.8;94.8;105.2;201;191.8;60.2;1097
2006;35.2;40.6;39.8;106.2;148;30.2;48.2;160.4;211;16.4;41;82;959
2007;27.6;50;85;18.8;113;78.6;38;96.8;100.8;57.2;30.4;18.8;715
2008;95.4;46.8;58.8;108.6;145.8;125.2;35.8;89.8;88;57.4;156;182.6;1190.2
2009;77.2;68.8;149.2;110.8;34.4;87.8;62.4;54.2;136;57.8;115.6;85.8;1040
2010;74;132.8;53.4;43.4;137.8;158.4;113.4;83.4;97.2;118;161.2;152.4;1325.4
2011;32.6;50.4;121;11.8;35.4;150;175;4.6;94;94.6;82.2;35.2;886.8
2012;15.8;24.6;12;93.4;161.8;45.2;45.2;99.2;103;133.8;191.8;55;980.8
