ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Tribano;;;;;;;;;;;;;
Coordinata X 1723829 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5007659 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 3 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;25;45.6;24.2;119.4;85.4;66;60;58;52.2;115.2;86.4;145.2;882.6
1997;84.2;13.2;24.6;44.6;38.6;145;76.8;21.8;20.4;34;83.6;76.8;663.6
1998;35;19;15.8;101.8;70.8;91.2;72.2;26.2;106;119.2;17.8;20.4;695.4
1999;37.6;13;40;93.6;24.6;75.2;47.8;30.6;42.2;100.8;147.4;45.4;698.2
2000;1.8;5;59.6;65.4;18.8;80;44;37.2;50.8;117.8;105;57.8;643.2
2001;75.8;18;131.6;59;52.4;52.6;107.8;29.4;73.6;41;7.8;2.4;651.4
2002;31.2;43.6;1.4;101;106.8;62.6;120.2;130.2;45.6;104.2;75;88.8;910.6
2003;30;15.6;8.4;94.4;12.4;42.6;4.4;29;22.4;58;98.6;64.2;480
2004;53.6;124.8;84.2;94.2;62.8;90.6;36.4;37.8;31;77.2;80.4;71.4;844.4
2005;2.4;3.2;18.4;89;55.2;11.4;91.4;140.4;46.2;150.6;147;49.2;804.4
2006;21.6;36.2;32.2;29.2;60.4;9.4;88.8;68;109.6;14.2;38.4;34.2;542.2
2007;28.4;58;98.8;3;106;77.6;5.2;60;43.4;36.2;18.8;39.6;575
2008;54.8;24.4;39.8;74;65.2;154;43.4;57.8;75.8;43.2;131.6;136.2;900.2
2009;62.4;62.6;91.2;126.4;39.6;38.8;30.4;25.4;93.4;29.6;72;60;731.8
2010;50;113.8;48.8;52.2;103.4;116.6;53.8;78.8;68.4;73.4;120;78.2;957.4
2011;10.8;50.2;102.4;4.6;26.2;81.4;76.2;0.4;66.4;91.2;65.6;19.6;595
2012;10.4;25;0;77;81.2;16;8.6;4.2;126.2;190;77.4;33.2;649.2
2013;84;71.2;212.4;108.6;105.6;36.6;31.2;108.2;18;137.2;82;11.4;1006.4
2014;152.4;111;61.4;153.2;49.4;17.8;102.8;47.2;58.4;26.2;93.2;60.2;933.2
2015;15.2;60.8;67.4;38.6;106.2;100.6;36.8;59.2;18.8;75.8;20.4;2.8;602.6
2016;36.6;142.4;65;37;142.2;112.6;9.4;34;49.8;99;99.4;4;831.4
2017;7.8;67.8;10;33.8;60.2;23.2;41;16.2;116;13.8;109.6;45.4;544.8
2018;16;76.6;116.4;23.4;38.8;98.8;69.8;57.2;87;103.6;66;17.4;771
2019;14.2;33.2;9.4;130.8;199;3.4;82.4;28.4;57.2;26.8;149.6;89.2;823.6
2020;23.6;4.8;43.8;7.4;20.4;68.6;66.4;107;26.6;69.2;14.6;87.4;539.8
2021;53;16.6;1.6;66.2;129.6;19;57.4;39;95.8;32.6;76;45.8;632.6
2022;23.6;5.4;18;14.4;34.8;8.8;39.4;61.2;81;3.6;97.6;59.8;447.6
