ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Trissino;;;;;;;;;;;;;
Coordinata X 1683984 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5050025 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 264 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;84.8;31.4;11.4;121.4;81.8;46;79.6;34.8;199;76.8;131.6;41;939.6
1995;64.2;105.4;37.4;135.6;216.6;160;19;102.4;156;9.6;62.6;225.8;1294.6
1996;91.4;69.2;17.2;110.2;127.2;77;82.4;148;65;242.6;193.8;150.8;1374.8
1997;124.8;4.2;6;88.2;38.4;135;120;65.8;7.4;14.4;153;201.2;958.4
1998;59;35.2;11.6;224.6;80.2;90.4;60.4;1.6;185.6;157.8;23;18.4;947.8
1999;69.8;5.2;103.8;116.4;117.8;67.6;69;85;156.6;203;174.6;72.8;1241.6
2000;0.2;6.6;129.4;82;82.8;98.2;62.2;137;104.8;229.6;416.8;87.4;1437
2001;166.2;13.6;275.2;103.4;81;13.8;81.4;67.6;131.4;51;54.6;0.2;1039.4
2002;34;158.4;29.4;189.2;296.8;99.2;123.8;195.2;94;112.8;195.8;91;1619.6
2003;53.8;1.4;4.6;97.8;28.8;66.2;66;12.6;28.6;132.4;251.8;203.4;947.4
2004;41.8;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;41.8
2005;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2006;>>;>>;>>;85;135.2;36;25.4;194.6;166.4;17.8;30.2;88.6;779.2
2007;54.4;54;110;13.4;102.4;117.2;74;103.4;94.2;88.6;110.2;10.8;932.6
2008;111.4;42.8;61.2;154.2;111;129.4;102.4;53.8;113.6;96.2;219.8;337.8;1533.6
2009;150;121.4;173.2;233.8;4.8;162;84.2;58.2;136.2;62.2;173.2;203;1562.2
2010;68.8;147.6;88.6;52.8;152.8;121.6;102.8;120.8;259.8;286.2;432.8;300;2134.6
2011;62.6;91;164.6;25.8;59.4;145.2;97.4;22.2;65;192;163.8;43.4;1132.4
2012;20.2;25.8;4;186.2;136.2;16.8;28.2;53.8;163.6;178.8;323.4;83.2;1220.2
2013;118.8;57.6;247;138.8;331.6;44.2;35.6;90.6;70.8;109.4;208;96;1548.4
2014;438.2;364.4;123.6;110.2;130.4;123.8;234.6;166.2;126.6;63;269.2;120;2270.2
2015;82.6;122.4;123.2;86.4;137;146.6;48.8;39.6;126.2;189.8;23.2;2;1127.8
