ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Valdagno;;;;;;;;;;;;;
Coordinata X 1679975 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5055697 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 229 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;110.4;44.4;18.4;174.4;163.2;65.6;131.2;75.8;278.8;67.4;183.8;70.6;1384
1995;69;103.8;43.8;190.8;305.2;223.6;32;198;241;7;101.8;263.4;1779.4
1996;164;64;39.4;118;168;197;163.2;154.8;54.8;277.2;231.2;179.4;1811
1997;144.4;4.4;11.4;93.6;61.6;161.4;161;146.4;22.4;15.4;260.8;243.8;1326.6
1998;69.6;28;7.2;234.8;96.8;95.2;93.6;7.2;239;247;26.8;17.6;1162.8
1999;78.4;5.2;131;149.4;161.8;84.2;129.6;84.6;207.8;218.8;176;78.8;1505.6
2000;0.2;12.2;155.2;93.4;87.2;113.2;51.4;153.6;132.4;270;457.6;98.6;1625
2001;173.2;43.6;325.8;104.2;117.4;18.4;47.4;81;114.6;63.2;65.8;0;1154.6
2002;35.2;220;50.6;226.4;406.4;118;195.6;213.2;134.4;138.2;293;115;2146
2003;67.4;1.2;3.2;90.4;27.2;109;62;35.2;21;136.8;294.4;198.4;1046.2
2004;47.6;211.8;114.4;193.4;174.8;138.2;87.4;50.6;94.6;221.2;242.6;123.2;1699.8
2005;11;30.2;50.8;174.6;107.4;55.8;138;116;114.2;241.2;62.8;121.8;1223.8
2006;105.2;118.8;62.6;143.4;140.6;78.8;34.6;218.4;170;29.2;34.2;126.2;1262
2007;82.2;53.2;134.8;15.6;151.4;185;88.6;140.4;128;104;166.6;10.2;1260
2008;187.6;62.4;78.8;202.6;159;227.4;76.2;107;131;118.2;318.2;453.8;2122.2
2009;204.8;217.2;262.8;385.6;12.8;222.6;87.8;87.4;146.6;79;200.6;265;2172.2
2010;100;192.4;113.2;58.6;206.6;133;102.2;187.8;199.8;346.6;584.6;328.4;2553.2
2011;62.6;115.2;213.2;28.4;74.6;166.6;138.8;5.8;105.6;200.4;260;60.4;1431.6
2012;20.2;18.2;3.2;286.8;177;32.6;69.2;81.8;184.8;215;377.6;88;1554.4
2013;149.6;101.8;265.6;190;417;102.2;25.8;26;75.4;109.2;232.2;133.8;1828.6
2014;466.4;365;162.6;159.8;155.4;105.2;263.8;129.4;71.4;79.4;364;137.6;2460
2015;88.4;163.4;145.6;100.2;153.6;191.2;52.6;65;210;212.8;32.4;0;1415.2
2016;74.2;322.2;102;73.8;180.4;194.6;25.6;103.8;64;139.8;134.8;0.4;1415.6
2017;15.6;140;47;104;96.2;86.2;52.2;31.6;157;24;123.8;142.6;1020.2
2018;50;83;216.4;113.8;197.6;110.4;198.4;160.4;130.8;149.4;176.6;26.8;1613.6
2019;22;146.6;12.2;285.8;299;15;137.2;99.4;139.4;77.6;443;139.6;1816.8
2020;14;3.6;154.2;47.4;98.6;61.6;72.2;323.6;83.8;220.8;14.2;400.8;1494.8
2021;257.8;56.4;6.4;122.6;209;72.8;161.2;85;36;60.8;277;46.6;1391.6
2022;27;51.6;7.6;78;73.6;109.2;63.8;173.4;141.2;30.6;135.2;139;1030.2
Medio mensile;99.9;102.8;101.4;146.2;161.4;119.8;101.5;115.3;132.1;141.4;216.3;138.3;1576.1
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
