ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Valdobbiadene - Bigolino;;;;;;;;;;;;;
Coordinata X 1733368 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5085364 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 225 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;78.8;42;18.4;137.6;111.4;60.2;69.6;65;219.2;106.8;82.6;48.8;1040.4
1995;47;44;47.8;96;248.6;205.6;120;125.4;217.8;0;26.4;184;1362.6
1996;85.8;33.2;19.8;84.2;132.8;56;81.4;236.8;38.8;254.8;176.8;78;1278.4
1997;109.8;0.8;10.6;73.2;56.6;137.4;74;81.4;24.8;32.4;244.6;213.6;1059.2
1998;50.4;17.6;10.2;274;83;153.2;114.8;24;142;257;17.4;4.8;1148.4
1999;56;10.8;117.2;182.4;116.8;172.2;160.8;121.6;114;151.6;131.8;54.8;1390
2000;0;2.8;81.8;108;83;102.2;54.2;109.2;152;255.2;465.8;65.4;1479.6
2001;108;12.2;252.4;110.6;139;44;159;167.8;158.2;56;40;1.6;1248.8
2002;23.2;113;40.4;205.2;266.6;200.6;182.8;263.2;133.2;130;274.4;94.6;1927.2
2003;102.2;4;3.6;100.8;105.6;149.8;60;103;58.2;137.4;257.8;173.4;1255.8
2004;21.6;182.2;95.4;135.4;230.8;197;65.6;231;116;219.2;118.8;112.4;1725.4
2005;6.6;25;32.6;189.4;93.4;89.4;120.4;144.8;208.8;241.4;152.2;88.4;1392.4
2006;58.2;48.4;64;165.8;138;50;72;233.4;60.8;20.2;17;163.4;1091.2
2007;89.6;39;127.4;12.4;184.2;171.2;86.8;137.6;115;86.4;119.6;6.6;1175.8
2008;173;56.6;81.4;194.2;226.8;184.2;137;97.6;174.4;156.6;260.8;340;2082.6
2009;183.4;123.4;253.8;199.4;43.8;138;77;89.2;221.6;71.6;164.2;239.6;1805
2010;77.6;141.2;91.8;35.2;261.4;132.4;108.6;106.8;162.4;325.4;423.4;261.6;2127.8
2011;33.8;65.4;187.8;17.8;122.4;310.8;148.4;35;146.2;202.2;194.4;47.4;1511.6
2012;13.4;18.8;5;178.6;199;87.2;83.2;55.6;200.2;182.8;415.6;43.2;1482.6
2013;102;68.2;245.4;115.2;310.4;80.2;48.6;129.8;70.2;100;222.2;116.8;1609
2014;441;400.8;107.6;90.2;81.4;110.4;274.4;243.2;56.6;49.4;309.8;91.2;2256
2015;61.8;66.8;119;58.4;80.8;110;51;101;161.6;182;18.8;0;1011.2
2016;49.4;313;103.2;83;276.6;160.8;53.6;125.6;115.4;97.4;165.4;0;1543.4
2017;12.2;101.4;21.2;124.4;92.4;179.6;115.2;38.2;123.2;31.8;201;162.6;1203.2
2018;71.4;53.2;148.2;143.6;158.4;68.8;181.4;84.2;113.4;188.2;151.6;8.4;1370.8
2019;13.6;143.6;20.8;347.6;310.6;19.8;131.2;110;81.6;66.8;408;141.4;1795
2020;7.8;5.8;153.6;51.4;114.6;314;66;272.6;157.2;202.6;10.2;297.6;1653.4
2021;177.2;51.4;7;156;274;30.8;162.4;132.4;58.8;82;241;50.4;1423.4
