ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Valle di Cadore;;;;;;;;;;;;;
Coordinata X 1756116 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5145629 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 794 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;21.8;21.8
1997;64;5;6.2;26;77.6;212;124.6;82.2;25.2;2.4;196.6;121;942.8
1998;18.8;9.4;3.6;194.4;50.2;97.2;107.8;67;157;177.2;20.8;2.4;905.8
1999;60.8;10.6;108.4;94.6;125.4;122.8;111.8;132.8;156.8;121.6;45.8;40;1131.4
2000;7.4;8.4;96.4;73.2;91.8;94.8;99.8;118.8;134.6;365;489.6;45.4;1625.2
2001;164.2;17;160.4;107.6;49.4;78.2;179;139.4;104.4;27.4;31.4;0.2;1058.6
2002;8;50.4;38.8;125.2;216.6;198.2;136.4;133;112.8;71.2;430.2;76.4;1597.2
2003;26;2;0.8;54;86.4;48;85.4;145.4;28;175.2;254.4;89.8;995.4
2004;4.6;68.8;45.6;66.2;157;100.6;146.6;80.4;66.8;183.6;61.6;61.4;1043.2
2005;4.4;3.4;32.4;102;113.2;60.2;111.8;129.6;155.4;189.8;50.6;61.2;1014
2006;17.6;51.8;60.8;123.6;67.2;43.2;88.6;164.6;62.8;39.4;13;104.8;837.4
2007;99.2;31.4;117.4;13.4;122.8;148.4;141;218.4;103.8;51.2;138.8;3.6;1189.4
2008;142.2;33.2;57.6;91.4;166.2;155.4;169.4;133.4;55.4;224.4;182.6;197;1608.2
2009;127;111.2;156.6;144.4;47.4;129.2;194.6;87.4;130.4;54.2;144.4;188;1514.8
2010;44.4;67;41;31.2;173.4;105.8;54.6;135;162.4;178.6;234.4;165.4;1393.2
2011;25;20.8;68;28.4;160.4;198.2;92.2;95.2;171;166;60.2;26.4;1111.8
2012;23.4;11.6;21.6;136.2;132.6;140.6;190;106.8;255;184.6;372;26.2;1600.6
2013;76.8;64.8;161.4;121.6;205.2;127.4;97.8;94.4;71.6;136.6;168.8;147;1473.4
2014;363.4;279.6;118;69.4;47.4;178.8;189.2;158;49.4;63.4;344.6;100;1961.2
2015;66;22.8;99.4;35;179.6;100;74.8;125.8;156.2;140.4;3.2;0;1003.2
2016;40.6;165;111;91;97.4;113.4;128.6;205.2;81.8;83.6;102.6;0;1220.2
2017;3.2;81.2;32.6;140.6;93.2;197.8;142;88.6;213.4;12.8;120.8;220;1346.2
2018;73;26.4;131.4;102.4;247.6;64.8;164.6;212.4;53.8;389.6;118.8;6.2;1591
2019;24;158.8;45;281.2;191.8;27;114.6;87.2;89.4;90.8;505.2;111.6;1726.6
2020;3.8;5.8;97;20.8;61.6;163.8;109;292.8;106.8;268.2;10.8;373.6;1514
2021;141;63.6;11.2;71;181.8;84;168.2;143.4;75.6;50.4;167.2;42.2;1199.6
