ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Valli del Pasubio;;;;;;;;;;;;;
Coordinata X 1672183 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5069541 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 602 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;39.8;9.8;41;175.8;164.4;87.8;144.6;77.8;306.6;82.2;243.6;62.6;1436
1995;61.4;81.4;57.4;236.2;264.4;165.4;66.2;143.6;316.6;3.2;95.2;220.8;1711.8
1996;226.6;46.8;36.8;129.4;118;110.6;160.6;234.6;42.6;419.6;361.8;131.8;2019.2
1997;138;1.2;9.6;67.6;92.8;295.4;114.6;103;21.6;28.2;383.4;227.4;1482.8
1998;56.8;22;14.2;332;221.8;122.4;49.8;138.6;328.4;307.4;37;18.8;1649.2
1999;94.4;8.8;210.6;229;124.6;100.2;98.8;106.4;364.2;283.6;226.8;69.4;1916.8
2000;1.6;9.8;187.4;135.6;105.8;61;116.6;165.4;171;476.8;741.4;87.6;2260
2001;186.2;100.6;339.6;150.4;170.4;37.2;80.4;177.2;213.6;76.8;50.4;9.6;1592.4
2002;24.4;166.6;81.6;195.8;678.8;145.6;250.6;243.2;126.2;152.4;716.4;116.6;2898.2
2003;73.8;2.8;6.6;73.6;65.8;120.6;96.2;149.2;42.8;218.4;405.4;201.4;1456.6
2004;35.4;162.2;119.4;297.4;256.4;134.8;71.8;75;85.2;303.2;294.8;134.4;1970
2005;12.8;30.6;61.2;196.6;101;58.6;152.2;141.8;174.4;308;122.4;109;1468.6
2006;133.8;138.2;74.2;123.2;99.2;49;46.2;213.8;200.2;46;45.8;164.8;1334.4
2007;88.6;42.4;162;17.6;257.6;229.4;72.6;255.4;125.4;133.4;317.4;7.4;1709.2
2008;190.8;51.2;88.6;241.6;211.6;231.2;103;108.2;174.4;191.8;481.2;399.2;2472.8
2009;144;230.6;232.4;436;12.2;132.2;107;50.4;228.2;98.6;242.8;257.4;2171.8
2010;87.8;147.4;131.2;73;362.2;226.2;190.8;252;244.8;442;648.2;378;3183.6
2011;54.4;113.6;217;55.4;100.8;276.4;133;80.2;111.6;177.6;466;57.8;1843.8
2012;21.4;17.6;17.2;298.8;210;103.8;105.4;54.8;243.4;266.2;465.6;69.2;1873.4
2013;92.4;98;294;247;509.2;145.6;27.6;140.4;121.4;208.4;257.6;260.6;2402.2
2014;451.8;404.2;163.2;211.6;128.4;137.6;390.6;249.4;87;132.4;647.8;169.8;3173.8
2015;88.8;149.4;100.2;128;164;141.2;70.2;93.2;144.6;277.8;14.6;0;1372
2016;91.6;348.6;116.4;59;227.4;145.2;89.8;115;61.2;175.2;161.2;0.4;1591
2017;8.8;152;81.2;122.6;111.2;121.4;80.6;74.2;241.4;21.2;151.6;176.4;1342.6
2018;112.6;84;280.6;243.6;269.4;171.2;149;266.2;91.8;489;405.2;13.4;2576
2019;23.8;140.4;43.2;474.4;404.6;75.8;161.6;125.6;162.2;138;786.8;149;2685.4
2020;13.8;9.6;187.8;14.2;27.8;198;113.6;241.4;84.4;406.8;13.4;525.6;1836.4
2021;153;112.8;17.4;143.6;230.8;55.4;176.8;137.6;65.8;130;298.8;39.4;1561.4
2022;23.6;47.2;10;114.4;119.6;73;55.8;233;152;45.2;167.6;161.8;1203.2
Medio mensile;94.2;101;116.6;180.1;200.4;136.3;119.9;153.3;163.2;208.3;319;145.5;1937.7
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;10;8;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;1;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;2;10;0;0;0;0;0;0;0;
2021;3;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 1 marzo 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Valli del Pasubio;;;;;;;;;;;;;
Coordinata X 1672183 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5069541 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 602 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;3;2;1;14;9;9;6;7;14;7;4;4;80
1995;7;11;9;10;15;14;8;13;14;1;8;15;125
1996;10;7;7;13;14;10;10;14;7;14;16;9;131
1997;10;0;2;4;8;18;9;11;3;3;11;8;87
1998;6;2;1;19;14;9;6;4;10;8;4;3;86
1999;4;2;9;14;13;15;12;10;10;9;9;7;114
2000;1;2;7;17;12;8;9;8;7;16;19;9;115
2001;15;6;14;12;15;5;9;7;12;5;7;1;108
2002;2;7;4;16;16;10;13;14;11;7;18;11;129
2003;5;2;1;7;9;7;10;6;7;11;10;9;84
2004;5;7;8;16;16;12;9;8;6;14;9;10;120
2005;1;4;8;13;8;6;13;14;11;11;6;8;103
2006;4;10;4;12;10;7;8;17;5;7;5;8;97
2007;5;8;8;4;13;13;8;12;8;5;3;3;90
2008;11;4;11;17;16;18;10;10;9;5;13;15;139
2009;12;8;9;17;4;13;11;7;8;8;12;11;120
2010;5;12;9;11;14;10;11;8;12;8;17;15;132
2011;5;7;12;6;6;17;11;5;6;6;5;5;91
2012;3;5;4;19;12;9;10;6;12;12;13;7;112
2013;10;9;20;17;20;9;7;7;6;13;14;7;139
2014;17;20;7;9;14;13;17;14;9;10;16;11;157
2015;5;8;7;7;12;9;7;10;7;11;2;0;85
2016;7;14;9;8;14;19;11;7;5;12;11;0;117
2017;2;8;6;8;15;11;7;5;13;2;9;6;92
2018;5;11;19;11;22;13;14;11;7;7;14;3;137
2019;4;4;4;19;20;7;12;10;6;11;22;10;129
2020;4;5;9;3;3;13;10;15;7;11;2;13;95
2021;6;4;3;8;14;6;13;9;5;4;13;2;87
2022;1;1;2;7;12;9;4;13;11;3;11;11;85
Medio mensile;6;7;7;12;13;11;10;10;9;8;10;8;110
;;;;;;;;;;;;;
