ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Vazzola - Tezze;;;;;;;;;;;;;
Coordinata X 1759675 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5078580 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 40 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;80.4;24.8;9.2;145.2;43.4;30.8;44.4;45.2;194.4;82;67.8;31.2;798.8
1995;46.2;33.2;56.2;73.2;223;201.4;118.8;142.4;237.4;4;33.8;165.4;1335
1996;98.2;32;8.6;119;115.2;40.8;91.4;219.6;53.2;230.6;127.8;55;1191.4
1997;90.2;1.6;21;67;44.2;96.8;94.6;45.4;35.8;24.4;166.2;182.8;870
1998;35.2;6.2;7;180.4;43.6;140.8;93.2;13.8;185;220.8;31.6;8.4;966
1999;40.4;19.8;92.4;143;126.8;100.4;57.4;76.6;58;145;121;70.2;1051
2000;1.8;5.4;99.4;73.8;149.2;86.2;113.4;53.6;94.8;143;237.6;61.2;1119.4
2001;125.4;7.2;175.4;115.4;71.6;90;147.4;103.8;172.6;47.2;60.4;1.6;1118
2002;39.2;83.4;13;157.4;178.4;138.8;176.8;188.2;187.4;180.8;158.8;74.6;1576.8
2003;88.6;15.8;3.4;118;48.4;42.4;46.2;96.4;59.6;90.6;191.8;140;941.2
2004;31.4;210.2;80;78.4;203.2;122.8;118.2;299.8;122.4;188.6;86.4;97.8;1639.2
2005;2.8;0.8;14.8;173.2;57.4;66.8;74.8;109.2;242.8;175.6;150;42.6;1110.8
2006;38.4;49.6;69;107;78.8;39.6;103;190.8;185.2;16.2;29.4;97;1004
2007;48.6;64.6;98.2;6.2;125.2;91.8;30.2;167;156.8;61.4;60.8;19.4;930.2
2008;140.6;47.4;66.4;98.6;143.6;192.6;76.8;71.2;98.4;118.4;196.2;254;1504.2
2009;124.6;110.4;213.8;121.4;72.4;145.6;74.2;42;181.4;65.4;118.2;143.6;1413
2010;101.6;141;30.2;34.4;244.6;131.2;91.8;103.2;197.2;135.6;263.8;214.6;1689.2
2011;27.2;56.4;153.6;14.4;56.4;146;136.8;15;75.6;112.2;111.6;44.2;949.4
2012;18.2;21.8;8;137.6;147;41.2;29.2;33.8;119.2;149.8;282.2;47.8;1035.8
2013;84.6;98.6;265.6;57.6;222.4;46;39.4;67.4;45.2;47.8;181.4;57.4;1213.4
2014;310.4;293;86.6;114.2;129.4;98.6;205.8;163;104.8;79;208.8;81.8;1875.4
2015;28.8;29.2;109.2;37.2;108.2;141.2;81.2;82.2;89.2;104;12.6;3.6;826.6
2016;41.2;236.6;68;66;156.4;179.8;43.6;126.4;118.4;94.6;149;2.8;1282.8
2017;30.8;82.8;17.4;110.8;89.2;159.8;100.4;36.6;187.6;37;208.6;75.8;1136.8
2018;35;43.2;133.4;43;108.8;134.2;90.6;123.2;54;163;112.4;16;1056.8
2019;14.8;86.6;20;244.2;257;70.8;76.2;85.2;75.4;34.8;335.6;114.2;1414.8
2020;4.6;7.4;92.2;57.6;52.4;236.2;105.4;120.6;114.8;174;15.6;186.2;1167
2021;112.6;36.2;12.8;135.2;220;30.8;51.6;65.4;32.8;14;179;46.8;937.2
2022;43;36.6;6.4;62.6;64.6;18;18.6;75;111.6;10.2;89.4;114;650
Medio mensile;65;64.9;70;99.7;123.5;105.6;87.3;102.1;123.8;101.7;137.5;84.5;1165.7
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;2;0;0;0;0;0;0;0;
1995;0;5;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;1;0;0;0;0;0;0;0;6;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;1;0;0;1;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;3;
2002;6;0;0;0;0;0;0;0;0;0;3;0;
2003;2;0;0;0;0;0;0;0;0;0;0;0;
2004;1;0;0;0;0;0;0;0;0;0;0;0;
2005;2;2;0;0;0;0;0;0;0;0;1;2;
2006;1;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;2;3;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;2;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;1;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 20 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Vazzola - Tezze;;;;;;;;;;;;;
Coordinata X 1759675 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5078580 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 40 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;7;5;1;12;9;7;5;5;12;7;4;4;78
1995;5;7;7;9;14;14;5;13;13;1;5;11;104
1996;10;4;3;9;11;7;9;11;8;11;15;5;103
1997;9;0;4;4;8;13;10;5;3;4;10;8;78
1998;7;1;1;17;10;11;6;2;10;10;2;2;79
1999;3;4;7;15;12;11;7;9;4;8;8;7;95
2000;0;2;6;7;9;4;9;7;7;14;14;10;89
2001;14;2;16;10;8;8;12;8;13;2;6;0;99
2002;1;6;4;12;11;7;11;11;12;8;11;8;102
2003;6;1;2;6;4;6;5;6;7;8;7;8;66
2004;4;8;7;11;15;10;10;12;5;12;7;9;110
2005;0;0;2;10;5;8;10;12;8;11;7;5;78
2006;5;7;8;9;5;4;5;14;5;4;5;7;78
2007;5;8;8;2;10;10;5;11;8;7;3;5;82
2008;10;4;8;14;13;13;10;7;8;5;11;11;114
2009;10;7;9;13;4;14;7;5;3;7;9;9;97
2010;8;8;8;8;16;7;6;6;10;9;14;13;113
2011;4;4;8;5;5;10;12;3;5;6;5;5;72
2012;2;3;2;17;11;8;6;3;7;9;10;5;83
2013;11;6;19;12;17;7;4;6;7;10;13;4;116
2014;14;17;6;7;10;10;15;14;9;8;15;8;133
2015;5;2;6;7;9;8;6;8;4;9;1;0;65
2016;6;13;7;7;16;16;4;8;5;8;9;0;99
2017;3;6;3;9;9;8;8;4;12;1;7;7;77
2018;3;9;13;8;9;11;13;7;5;7;7;3;95
2019;3;4;3;10;16;4;9;7;4;5;18;8;91
2020;2;2;6;3;8;14;7;11;8;12;2;13;88
2021;8;3;3;8;16;6;7;7;6;5;11;4;84
2022;2;2;1;9;6;5;3;12;13;3;7;11;74
Medio mensile;6;5;6;9;10;9;8;8;8;7;8;7;91
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;2;0;0;0;0;0;0;0;
1995;0;5;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;1;0;0;0;0;0;0;0;6;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;1;0;0;1;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;3;
2002;6;0;0;0;0;0;0;0;0;0;3;0;
2003;2;0;0;0;0;0;0;0;0;0;0;0;
2004;1;0;0;0;0;0;0;0;0;0;0;0;
2005;2;2;0;0;0;0;0;0;0;0;1;2;
2006;1;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;2;3;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;2;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;1;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 20 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Vazzola - Tezze;;;;;;;;;;;;;
Coordinata X 1759675 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5078580 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 40 m s.l.m.;;;;;;;;;;;;;
Parametro Radiazione solare globale (MJ/m2);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;136.381;184.643;356.282;421.325;534.617;579.992;694.734;601.782;377.651;303.338;133.049;105.956;4429.75
1995;163.575;161.039;393.673;415.168;499.102;573.12;696.121;541.144;386.444;312.514;150.132;74.865;4366.897
1996;111.284;232.622;363.876;428.09;589.644;665.984;658.183;581.548;408.541;227.25;128.317;97.169;4492.508
1997;159.514;229.471;442.136;549.566;624.111;532.979;701.016;570.346;502.78;287.423;140.278;104.801;4844.421
1998;139.105;273.02;427.582;372.555;633.205;643.893;692.43;632.402;408.56;263.763;193.259;141.653;4821.427
1999;172.982;249.736;379.628;447.665;496.805;676.515;642.393;526.471;423.816;254.117;160.932;124.4;4555.46
2000;197.985;234.737;377.017;448.33;630.644;710.53;658.195;625.486;436.456;209.2;120.704;107.387;4756.671
2001;109.483;241.352;274.087;492.613;672.084;700.721;687.548;669.787;414.98;295.914;200.634;177.84;4937.043
2002;143.034;167.026;439.588;476.866;544.602;690.228;713.511;619.963;444.828;285.427;115.878;106.834;4747.785
2003;176.566;335.264;444.357;483.456;712.199;737.874;741.137;653.118;470.283;275.812;152.121;140.756;5322.943
