ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Villadose;;;;;;;;;;;;;
Coordinata X 1730059 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4995063 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 0 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;44.6;23.4;0.8;83.6;34.2;45.4;25;62.4;130;71.8;39.2;23.4;583.8
1995;14.8;78;27.6;28;143.6;134.2;15.2;213.8;98.4;4.8;19;123.2;900.6
1996;57;48.4;25;61.6;113.2;64.8;23;95.2;58.8;96.4;96.8;139.4;879.6
1997;75.8;7.8;21.2;26;54.4;91;65.6;30.2;24.4;6.6;98.6;59.8;561.4
1998;35;11.2;13.6;81.4;87.6;44;55;7.6;88.4;122;24.2;31.8;601.8
1999;38.4;14.2;42.8;79.4;29;83.6;62.6;29.8;44;111.6;147.2;45.2;727.8
2000;3.8;8.8;52;68.6;45.2;83;64.6;38.6;69.4;142.8;133.8;61.4;772
2001;77.4;27.2;117.8;41.4;62.4;84.2;82.8;22.2;127;51.2;36.2;3.8;733.6
2002;29.4;49.4;2;132.6;107.4;82.4;126;155.4;54;109.2;73;106.8;1027.6
2003;32.4;12;15.2;88.8;27.4;38.8;21.6;19.2;39.8;71.2;100;64.2;530.6
2004;60.4;139.2;123.4;114.8;66;62.2;31.6;33;50.4;94;105.6;87.2;967.8
2005;23.2;6.4;18.4;87.2;61.6;19.4;74.8;169.2;54.2;252.4;150.6;55.6;973
2006;25;32;38.8;51.4;62.8;8.4;32.4;76.4;92;17;26.8;25.6;488.6
2007;18.4;49.6;99.4;0.4;113.8;108.2;16.2;44.2;47.4;45.6;16;39;598.2
2008;51;19.8;39;59;29.2;144.8;24.4;27.4;35.2;25.8;161.6;118.2;735.4
2009;77;48.4;94.6;131;62.6;57.6;56;29.8;154.8;36;63;55.2;866
2010;51.6;99.8;50.4;67.2;107.6;137.8;21.8;67.6;34.6;87.4;109.4;71.2;906.4
2011;6.6;49;84.4;8;46.4;54.4;50;0;46.2;79.2;49.4;18.4;492
2012;8.8;21.8;0.2;71.4;98;15.8;4;1;125.8;185.6;82;33.4;647.8
2013;88.6;95.4;193;68.8;111;28.4;38.2;56.2;19.2;85.8;128;12;924.6
2014;153.4;124.8;58.6;120.4;56.4;40.6;92.4;50.8;85.4;27.4;70.8;61.2;942.2
2015;15.8;95.8;80;48.6;86.2;100.2;31;47.2;33.8;85.4;26.4;4;654.4
2016;44.2;161.4;75.8;13;169.8;134.4;3.2;58.2;54.8;116.2;99.8;4.4;935.2
2017;9.8;83.8;8.4;61.6;71.2;29.2;26.6;11.8;124.6;16.8;138.2;30.4;612.4
2018;12;95.8;113.4;14.8;58.8;68.2;47.6;54.8;111.8;93.4;80;21.6;772.2
2019;18.8;28.2;14.8;107.4;162;3.6;93.4;18.2;60.6;44.2;160;96.2;807.4
2020;25.2;7.4;52.4;8.2;17;84.6;55.8;76.6;31.2;94.8;14.4;105.8;573.4
2021;44.6;11.2;8;63.6;86.6;15.2;35.4;21.8;27.2;6.6;62.8;44.2;427.2
2022;30.4;6.4;24.2;48;52.6;5.4;40.4;62.6;71.4;3.2;159;84;587.6
