ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Villafranca di Verona;;;;;;;;;;;;;
Coordinata X 1643529 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5025977 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 67 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;40.8;21;3.2;61;90.4;35.6;59.4;105.4;122.8;53.6;60.4;35.6;689.2
1995;37.4;84.8;33.2;60.2;72.2;76;11.4;111.8;75.8;15.2;29;146.6;753.6
1996;117.8;53.6;23.2;66.6;69.4;42.4;113.4;95;42.8;112.2;130.4;130.2;997
1997;90.8;5.4;4.4;57.6;26.8;150.4;61.4;31.8;11.6;9.2;83.2;134.8;667.4
1998;44.2;7.2;2;96;60;87.8;93.4;15.2;120.8;83.4;19.8;8.2;638
1999;21.2;6;69.8;79;50.6;150.2;53.8;59.8;126.4;116.8;74;42;849.6
2000;3.2;3.2;59;52.4;53.8;61;39.2;163.2;127.2;131.2;148.4;61.6;903.4
2001;82;8.8;146.4;70.8;72;13;83.6;32.2;118.2;48.4;68.4;2.4;746.2
2002;24;58;9.6;116.8;102.8;75.8;127.6;181.2;131.8;65.6;96.6;71.2;1061
2003;37.4;0.2;6;77.8;30.4;54.8;31.2;17.4;56.2;87.4;98.8;56.4;554
2004;27.6;98.6;62.6;105.8;114.6;53.2;77.2;40.6;93.2;105.6;117.4;66.4;962.8
2005;3.8;7.6;63.8;116.8;84;18.8;153.8;172.4;49.4;143.8;93;46.2;953.4
2006;27.2;47.6;27.6;81;66.2;25.6;12;163.2;105.8;20;35.8;43;655
2007;29.4;37.8;56.6;0.4;61.4;95.2;16.8;59.8;93.6;49.2;95.6;6;601.8
2008;56.6;20.8;25.8;124.8;64;150.6;69.8;21;150.4;37.4;159;160.6;1040.8
2009;79.2;65;125.8;107.4;8.2;51.4;134.2;4.8;55;42.6;84.6;122.6;880.8
2010;48.8;90.4;39.4;28.6;111.2;178.4;48.8;151.4;208.6;147.6;205.6;134.2;1393
2011;40.2;53.4;79.8;12.8;38;127;49.8;12.8;68.2;94.4;62.2;24.8;663.4
2012;10.2;20.6;1.2;90.6;99.4;25.2;30.2;34;123.4;156.2;155.8;47.6;794.4
2013;69.8;51.2;181.6;115.8;314.6;55.8;12.4;54.8;18.6;100.4;106.8;37.2;1119
2014;174.6;176.2;32.6;121.6;71;28.4;179;105.8;34;53.4;170.8;72.8;1220.2
