ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Villorba;;;;;;;;;;;;;
Coordinata X 1751649 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5071267 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 41 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;79.2;39.6;4;119.4;40;32.6;33.6;80.4;170.8;75;74;27.8;776.4
1995;39.6;71.8;60.8;58;125;162.8;118;114.2;207.8;4.8;26.4;151.6;1140.8
1996;82.2;31;5.4;138.6;103.2;70.4;76.4;159;73.2;178.8;134.4;99.4;1152
1997;90.6;1.8;13;68;40.4;104.2;77;53.4;11;22.4;126.4;125.2;733.4
1998;32.8;11.4;8.6;177.2;73.4;111.4;61.6;21.8;164.8;232.6;24.4;10.8;930.8
1999;37.2;20;105;174.4;104;145.6;80.8;89.8;51.4;154.8;139.2;73.2;1175.4
2000;2.6;4.4;88;68.4;113.8;92.4;87.8;76.6;146.8;154;215.6;65.2;1115.6
2001;112.6;5.2;155.2;97.4;64.8;69.4;137;79.6;123.4;40.2;51.6;2;938.4
2002;39.2;81.4;11.8;138;157;133.6;135.4;140.6;115.6;120;127.2;46.8;1246.6
2003;51.6;0.2;1.4;152;27.6;59;29.2;67.2;43.6;70.8;197.6;131.2;831.4
2004;36.2;212.2;90.6;68;221.8;97.8;31.6;133.2;160.8;179.8;98.8;108.4;1439.2
2005;3;0.6;17.8;163.8;85.4;56.2;71.6;150.6;236.4;182.4;172.4;56.4;1196.6
2006;40.6;51.6;52.6;103.6;102.4;39.8;68.8;175.2;186.6;18.4;43;99;981.6
2007;45.6;60.6;105.6;5.6;161.2;80.6;28.8;150.6;166.4;56.2;59.2;18.6;939
2008;139.2;50.2;74.2;125.8;150.6;98.4;55.6;83.2;121.6;96.8;188.2;231.4;1415.2
2009;106.2;96.6;201.6;123.2;59.4;117.2;85.8;36.8;179.2;52;153.8;111.2;1323
2010;102.4;144;39.4;37;217.6;142.2;112;76.8;127.6;130;258.8;200.8;1588.6
2011;29.4;63;157.2;13;69.2;177.6;141.6;5.4;78.2;101.2;148.8;34.6;1019.2
2012;17;24.8;5.8;113.6;186.8;35.8;46;46;130.2;155.8;261.2;56.4;1079.4
2013;103.8;105.8;269.4;68.4;225;76.6;29.4;76.6;30.6;62.2;166;49;1262.8
2014;292.2;249.6;101;79;101.4;106.4;187.2;159;133.2;81;226.8;85.8;1802.6
2015;23.8;47.8;110.6;58.8;103.4;68;39.6;129.8;100.4;92.2;12;3.2;789.6
2016;43.8;218;81.4;52.8;187;110;28.6;66;96;114;154.2;3.4;1155.2
2017;29.6;80.2;13;98.4;67.8;138.4;124.4;37.4;153.8;27.8;183;80.6;1034.4
2018;30.6;45;131.8;34.4;90.2;151.6;169.2;84.8;51.4;151.2;116.6;18;1074.8
2019;13.4;76.6;24.4;260.6;257;24;65;77.4;62;46.8;158.4;28.8;1094.4
2020;7.8;9.6;96.4;47.4;56.4;236.8;90.8;113.6;50;139.2;15.8;188.2;1052
2021;106.8;35.4;5.8;127.6;238;20;64.4;90;25;22.2;160.8;57;953
2022;43.8;37.2;7.2;77.8;42.2;21;27.8;78.2;95.4;14.6;104.4;103.6;653.2
Medio mensile;61.5;64.7;70.3;98.3;119.7;95.9;79.5;91.5;113.6;95.8;131;78.2;1099.8
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;4;0;0;0;0;0;0;0;
1996;4;0;0;0;0;0;0;0;1;4;0;0;
1997;0;0;0;0;0;0;3;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;1;0;0;0;0;0;0;1;
2002;1;0;0;0;0;0;0;0;0;0;0;0;
2003;0;1;0;0;0;0;0;0;0;0;0;0;
2004;1;0;0;0;2;0;0;0;0;0;0;0;
2005;2;2;0;0;0;0;0;0;0;0;0;2;
2006;1;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;1;2;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;4;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;3;0;0;0;0;0;0;0;0;0;0;1;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;3;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;1;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;4;7;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 20 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Villorba;;;;;;;;;;;;;
Coordinata X 1751649 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5071267 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 41 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;6;5;1;12;10;9;5;4;12;8;4;4;80
1995;4;11;8;9;8;13;5;9;13;1;6;11;98
1996;8;4;2;10;11;9;6;11;10;8;14;9;102
1997;9;0;3;5;7;11;5;7;1;3;9;8;68
1998;7;2;1;17;11;11;6;2;12;11;3;2;85
1999;4;2;7;14;11;12;9;8;3;9;8;9;96
2000;0;2;6;6;9;7;12;8;7;16;14;9;96
2001;14;1;15;9;10;9;12;7;12;4;6;0;99
2002;1;7;4;12;12;7;9;10;9;7;13;6;97
2003;6;0;0;6;4;7;4;6;8;8;7;9;65
2004;4;10;9;12;11;9;6;7;5;12;8;10;103
2005;0;0;2;10;6;10;9;15;8;10;8;7;85
2006;5;10;8;8;6;5;7;14;5;4;5;7;84
2007;6;8;8;3;10;10;5;10;7;7;3;5;82
2008;9;4;9;15;11;10;7;7;9;4;11;12;108
2009;11;6;8;13;7;12;6;5;3;7;13;8;99
2010;9;8;7;7;15;8;5;6;9;9;15;13;111
2011;3;4;9;3;5;12;12;1;6;6;5;5;71
2012;2;3;2;17;10;5;5;4;9;8;9;5;79
2013;11;7;19;13;16;6;5;6;6;10;10;5;114
2014;14;14;5;9;9;8;15;14;11;8;15;7;129
2015;5;4;6;5;10;7;5;9;6;10;1;0;68
2016;7;14;5;7;15;15;5;9;5;9;10;0;101
2017;2;8;3;8;9;8;9;4;12;1;8;7;79
2018;4;8;15;8;9;10;11;7;5;8;8;5;98
2019;4;5;3;10;18;3;9;8;5;5;15;5;90
2020;2;3;8;4;8;12;9;10;8;10;2;14;90
2021;10;3;2;6;16;5;5;8;6;6;12;5;84
2022;3;2;1;8;9;6;5;11;11;2;9;10;77
Medio mensile;6;5;6;9;10;9;7;8;8;7;9;7;91
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;4;0;0;0;0;0;0;0;
1996;4;0;0;0;0;0;0;0;1;4;0;0;
1997;0;0;0;0;0;0;3;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;1;0;0;0;0;0;0;1;
2002;1;0;0;0;0;0;0;0;0;0;0;0;
2003;0;1;0;0;0;0;0;0;0;0;0;0;
2004;1;0;0;0;2;0;0;0;0;0;0;0;
2005;2;2;0;0;0;0;0;0;0;0;0;2;
2006;1;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;1;2;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;4;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;3;0;0;0;0;0;0;0;0;0;0;1;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;3;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;1;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;4;7;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 20 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori minimi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Villorba;;;;;;;;;;;;;
Coordinata X 1751649 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5071267 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 41 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m (°C) media delle minime;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;-0.6;-1.2;4.1;5.4;10.6;13.7;17.7;17.8;13.6;6.3;5.1;-0.3;7.7
1995;-3.8;-0.5;0.9;4.5;10.1;13.1;17.7;15.1;10.8;7.2;1;1;6.4
1996;0.7;-2.7;0.4;6.4;10.2;14.1;14.9;15.3;10.1;7.8;4.5;-1.2;6.7
1997;-0.4;-1.1;1.6;2.5;9.7;14.4;14.6;16.1;11.7;6.6;3.6;0.8;6.7
1998;-0.9;-1.7;-0.2;6.4;10.6;14.9;16.6;16.7;11.9;7.3;-0.5;-4.4;6.4
