ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Zero Branco;;;;;;;;;;;;;
Coordinata X 1747670 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5053495 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 12 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;69.4;36.8;1.6;118.6;62.6;83.8;51;49.6;148.4;64.2;70.6;17;773.6
1995;33.8;75;49.2;50.6;168.2;248.4;102.8;80;164.2;10.6;8.8;139;1130.6
1996;79.6;40.4;9;119.8;70;66.6;37;104.8;68.6;156.4;120.4;68.8;941.4
1997;30.4;3.2;5.6;49;29.2;88;66;64.2;15.4;10;107;110.8;578.8
1998;32.6;11.2;5.4;113.6;61.2;97;26.2;19.2;128.2;168.2;24.2;13.8;700.8
1999;41;20.2;64.8;170.4;35;124;123;61.2;37.8;124;149.4;68.2;1019
2000;3.4;4.2;79.6;56;108.8;21.2;82.2;103;68.4;155.4;176.6;64.8;923.6
2001;92.2;7.8;145;56.4;82;62;131.2;56.2;91;66.2;59;2;851
2002;49.8;74.4;4.4;128.6;216.2;141.8;106.2;185.2;129.8;122.4;101.2;57.4;1317.4
2003;45.2;14.2;4;127.6;41.6;86.4;31.6;45.8;88.2;63.6;132.4;101.6;782.2
2004;45;190.8;79.6;73;118.8;104;44;53;96.6;147.6;84.6;87.6;1124.6
2005;3.4;0.8;19;135.6;104.4;71.6;166.4;118.8;93.4;183.2;181.2;50.4;1128.2
2006;29;27;35.2;80.2;94.2;24.2;72.6;115;210.6;15.2;35.6;78.8;817.6
2007;30.2;55.6;95.6;3.8;76;71.6;20;83.6;140;41.2;31.4;26;675
2008;90.2;38.2;51;118.6;99.8;107.6;41;60.2;99.8;58.2;157.8;172.4;1094.8
2009;88.2;73.4;142;116.8;32.6;45.6;34;39.8;86.6;51;106.6;83.8;900.4
2010;76.2;113;37;43.4;144.4;132.4;156;60.8;103.4;98.2;213.2;153.4;1331.4
2011;30.8;56.2;141.6;6.4;33.2;148.8;94.4;4.6;92;98.6;68.2;40;814.8
2012;15;26.2;10.2;101;120;52.4;8.6;72.6;95.4;114.6;151;61.8;828.8
2013;98.8;100.2;260.2;108.8;237.2;24.6;85.4;90.6;15;71.4;136.4;33;1261.6
2014;243.2;222.4;91.8;80.8;98.6;88;212.6;193;135.4;45.8;170.4;90;1672
2015;17.2;49.8;93.2;39.8;48.2;45.4;38.2;77.4;65.6;91.4;15.6;3.4;585.2
2016;44.4;170;56;78.4;153.8;199;21.2;69.8;136.4;110.6;132.4;4.2;1176.2
2017;29.8;90.2;14;83.4;63.8;110.2;117.2;48.8;173.4;30;112;60.8;933.6
2018;28.2;52.6;144.4;23.8;87.8;106.8;89.8;51.2;62.2;102.6;98.4;16.8;864.6
2019;9.6;54.4;13;160.2;274;20.4;144.6;109;68.4;36.4;169.8;105.8;1165.6
2020;17;9.2;76.4;21.6;51.6;169.8;50.4;119.8;30;116.2;17.8;127.8;807.6
2021;86.2;28;5.2;129.2;152.4;76.2;113.6;44.6;40.4;14.4;140.2;42.8;873.2
2022;31.2;19.2;13;76;54.8;15.4;14;117;76;7.2;119.8;111.2;654.8
Medio mensile;51.4;57.4;60.2;85.2;100.7;90.8;78.7;79.3;95.2;81.9;106.6;68.7;956.2
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;2;0;0;0;0;0;0;0;0;0;4;0;
1996;0;0;0;0;1;0;0;0;0;0;0;13;
1997;3;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;5;3;0;0;1;3;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;1;0;2;0;0;0;0;0;0;0;0;0;
2005;2;2;0;0;0;0;0;0;0;0;0;2;
2006;2;1;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;5;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;2;4;
2010;0;1;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;1;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;1;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 20 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Zero Branco;;;;;;;;;;;;;
Coordinata X 1747670 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5053495 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 12 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;4;4;0;13;9;9;5;5;11;7;4;3;74
1995;3;10;9;8;13;13;5;10;11;1;3;11;97
1996;7;6;3;10;9;6;2;8;11;11;13;5;91
1997;6;1;2;3;6;9;9;6;3;3;10;8;66
1998;7;2;2;16;9;9;3;3;11;9;3;3;77
1999;4;2;7;11;8;10;6;7;4;7;10;8;84
2000;0;0;6;4;5;4;9;7;6;12;13;9;75
2001;14;2;13;9;9;7;6;6;10;6;6;0;88
2002;1;6;1;10;13;9;9;9;9;7;11;8;93
2003;6;1;1;6;4;10;6;4;11;9;7;7;72
2004;6;11;6;11;11;12;5;6;3;10;9;11;101
2005;0;0;2;11;8;9;8;13;8;10;7;7;83
2006;4;10;7;7;5;2;7;11;4;2;5;6;70
2007;3;8;7;1;7;9;5;12;7;5;4;5;73
2008;8;4;9;16;11;11;6;6;5;4;11;11;102
2009;11;6;7;11;5;7;5;5;5;4;10;8;84
2010;10;7;8;10;13;7;6;5;10;9;14;13;112
2011;6;4;8;2;4;9;12;2;6;6;5;5;69
2012;2;3;2;12;10;7;2;3;10;8;8;7;74
2013;11;8;19;12;15;3;5;8;4;8;10;4;107
2014;15;17;5;7;10;8;13;11;12;5;15;9;127
2015;3;3;5;5;9;6;5;8;6;12;2;0;64
2016;8;13;7;6;13;15;5;5;6;9;8;0;95
2017;3;7;4;7;10;7;10;4;14;2;7;7;82
2018;3;8;16;7;7;8;13;8;4;5;8;2;89
2019;3;5;3;11;16;2;7;8;4;4;18;8;89
2020;2;3;6;4;7;12;9;9;7;11;3;12;85
2021;8;4;2;5;15;4;8;4;5;5;15;5;80
2022;2;2;1;8;6;5;3;10;13;2;11;10;73
Medio mensile;6;5;6;8;9;8;7;7;8;7;9;7;85
;;;;;;;;;;;;;
