Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;13.6;12.2;8.6;11.5
1998;7.5;11.9;13.4;16.5;22.4;26.2;28.4;29.4;23.3;18;10.6;5.8;17.8
1999;7;8;12.6;17.6;22.2;25.6;28.1;27.4;25.6;18.1;10.7;6.3;17.4
2000;5.6;9.1;12.8;18.6;23.3;27.1;26.8;28.9;23.9;18.3;13;9.2;18
2001;7.4;10.3;13.4;16.1;23.7;>>;28.3;30;21.7;20.5;11.3;5.6;17.1
2002;6.3;8.5;15.2;16.5;22.3;27.1;28.4;27.1;23;18.5;14.3;8.5;18
2003;6.9;7.3;13.1;16;24.2;29.9;29.4;32;23.6;16.7;13.7;8.9;18.5
2004;5.6;6.8;11.5;17;20.1;25.5;27.8;28.3;23.8;19.1;12.9;9.4;17.3
2005;6;7.1;11.8;16.2;22.5;26.6;28.3;25.6;23.7;17;10.8;6.7;16.9
2006;5.4;7.8;10.3;17.1;21.3;26.2;30.8;25.1;24.4;20.1;13;9.7;17.6
2007;8.6;10.9;14.6;20.6;23.6;26.2;28.8;27;22.4;17.5;12;7.8;18.3
2008;8.5;9.2;12.2;16.8;22;26.1;28.2;28.6;22.8;19.6;12;8;17.8
2009;6.5;9.9;13.4;18.8;24.5;25.4;27.9;29.3;24.9;18.6;12.5;6.9;18.2
2010;5;8.4;12;18.3;21.5;25.4;28.8;27;22.2;16.9;12.2;5.7;16.9
2011;5.6;9.5;13.3;19.8;23.3;25.4;27.4;28.9;26.7;17.9;12.7;8.4;18.2
2012;6.7;6.3;16.4;16.9;22.7;27.4;29.9;29.9;24.5;19;13.9;6;18.3
2013;6.5;7.3;10.5;17.2;20.5;25.5;29.6;28.8;23.9;18;13.4;8.7;17.5
2014;9.3;11.3;15.8;19.3;22.2;26.9;27.3;26.9;23.3;20.6;14.9;9.3;18.9
2015;8.6;9.7;13.6;17.9;22.1;26.9;31.1;29.4;24.2;17.9;12.3;7.7;18.4
2016;7.1;10.8;13.3;18.1;21.3;26.3;29.7;28.3;26.5;17.7;12.9;8;18.3
2017;5.4;10.1;16.7;18.7;23.1;28.9;30.3;30.7;22.6;19.4;12.2;7.6;18.8
2018;9.8;7.2;10.6;21;24.6;28.2;30.2;30.5;25.6;20.4;13.9;7.4;19.1
2019;6.9;11.7;15.5;17.4;18.7;29.3;29.6;29.7;24.6;20.1;13.4;9.6;18.9
2020;8.3;12.7;13.5;19.4;22.5;26.2;28.6;29.7;25.4;18;13.6;9.4;18.9
2021;6.9;11.6;14.2;16.1;20.7;28.6;29.4;28.4;25.1;18.4;13;7.8;18.4
2022;7.9;10.8;12.9;16.7;24;28.3;31;29.8;24.1;21.9;14;8.7;19.2
