Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;9.8;8.8;5.3;8
1998;4.5;5.8;8.4;12.6;18;22.4;23.7;24.1;19;13.3;6.5;1.6;13.3
1999;2.2;2.9;8.7;13.3;18.8;21.3;23.6;23.2;20.6;14;6.7;2.5;13.2
2000;0.5;4.2;8.9;14.5;19.3;22.5;22.1;23.7;19.1;14.9;9.6;6;13.8
2001;5.1;5.8;10.2;12.2;19.7;>>;23.6;24.6;16.5;16;6.6;0.7;12.8
2002;0.7;5.5;10.2;12.9;18.6;23;23.3;22.7;18.6;14.3;11.2;6.2;13.9
2003;3.1;2.6;8.7;12;19.6;25.6;25;26.6;18;12;9.9;4.9;14
2004;2.3;3.3;8;13.3;16.1;21.3;23.3;23.4;18.6;15.5;8.4;5.1;13.2
2005;1.2;2.3;7.5;12.3;18.3;22.4;23.8;21;19.4;13.7;7.5;2.9;12.7
2006;1.8;3.6;6.4;13.4;17.4;22.1;25.7;20.6;19.9;15.2;8.6;5.4;13.3
2007;5.3;6.5;10.4;15.9;19;22;23.8;22.3;17.6;13.3;7.2;3.1;13.9
2008;5;5;8.3;12.8;18.2;22;23.7;23.8;18.1;14.5;8.4;5;13.7
2009;3.4;5.5;9.4;14.5;19.9;21.2;23.8;24.7;20;13.9;9.7;3.6;14.1
2010;2.3;4.9;8.2;14;17.5;21.6;24.6;22.2;17.5;12.4;9.5;2.4;13.1
2011;3.1;4.7;9.2;15.1;18.8;21.6;22.7;24.3;21.5;12.7;7.3;3.9;13.7
2012;1.2;1.8;11;12.9;17.8;23.1;25.3;25;19.7;14.4;10;2.4;13.7
2013;3.4;3.5;7.5;13.7;16.5;21.3;24.9;23.5;19.3;14.8;9.6;4;13.5
2014;6.6;8.1;11;15;17.4;22.1;22.6;21.9;18.7;16;11.3;5.9;14.7
2015;3.6;5.7;9.5;13.4;18.4;22.5;26.5;24;19.6;13.7;8;3.2;14
2016;2.5;7.3;9.5;14;17.1;21.7;25;23.1;20.7;13.3;9.2;3.1;13.9
2017;0.7;6.5;11.2;14.2;18.5;24.1;24.8;25.1;17.9;13.6;8;2.8;14
2018;5.5;4;7.5;16.4;20;23;25;24.9;20.3;15.4;11.2;3;14.7
2019;2;5.7;9.9;13.4;15.1;24.9;24.8;24.9;19.6;15.7;10.6;5.4;14.3
2020;2.9;7.2;9.4;14;18.3;21.6;24.2;24.5;20.3;13.3;8.2;5.8;14.1
2021;2.8;6.9;8.4;11.9;16.4;23.9;24.5;23.2;19.6;12.8;9.2;3.9;13.6
2022;2.8;5.7;8.1;12.3;20.1;24.2;26.2;24.7;19.4;16.5;9.8;6.2;14.7
