Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;6.1;6;2.6;4.9
1998;1.7;0.7;3;8.8;13.3;17.2;18;18.4;14.3;9.5;2.9;-1.6;8.8
1999;-1.1;-1.6;4.5;8.6;14.6;16.3;18.3;18.4;15.5;10.5;3.7;-0.8;8.9
2000;-2.9;-0.3;4.5;10.1;14.5;16.6;16.5;18.2;14.2;11.7;6.2;3.3;9.4
2001;2.9;1.5;6.8;7.7;15.1;>>;18.1;18.8;11.5;12.2;2.8;-3.3;8.6
2002;-3.1;2.6;4.9;8.8;14.3;18;18.2;18.1;14.3;10.5;8.3;4;9.9
2003;0.2;-1.9;3.7;7.8;14.1;20.1;19.3;20.6;12.4;7.6;6.5;1.4;9.3
2004;-0.7;0.4;4.4;9.5;11.6;16.4;17.8;17.9;13.3;12.1;4.3;1.8;9.1
2005;-2;-2;3.3;7.8;13.3;16.7;18.2;16;14.8;10.4;4.7;-0.4;8.4
2006;-1.3;-0.1;2.3;9.2;12.5;16.4;19.4;15.5;15;10.7;4.6;2.1;8.9
2007;2.3;2.6;5.8;10;13.7;16.9;17.2;16.9;12.4;9.2;2.7;-0.4;9.1
2008;2.1;0.8;4.5;8.2;13.4;17.3;18.2;18;13.2;9.8;5.4;2.3;9.4
2009;0.6;1.5;4.6;10.2;14.8;16.2;18.3;19.4;15.1;9.3;7.2;0.4;9.8
2010;-0.3;1.7;4.5;9;13;17.1;19.3;17;12.7;8.3;6.7;-0.9;9
2011;0.7;0.7;4.8;9.3;12.6;17.1;17.6;18.5;16.5;7.7;3.8;0.1;9.1
2012;-2.8;-2.5;5.1;8.6;12.3;17.8;19.7;19.2;15.2;10.7;6.5;-0.6;9.1
2013;0.4;0;4.5;9.8;12.2;15.9;19.2;17.7;14;11.5;6;0.6;9.3
2014;4.2;4.9;6.2;10;12.2;16.3;17.4;16.9;14.2;12.1;8.4;3;10.5
2015;-0.5;1.9;4.8;8.1;14.1;16.7;20.6;18.5;14.6;10;4.4;0.2;9.4
2016;-1.2;3.9;5.2;9.5;12.4;16.6;19.2;16.9;15.1;9.1;5.9;-0.3;9.4
2017;-3.2;3.3;5.5;8.9;13.3;18.1;18.3;18.4;13.4;9;4.2;-1.2;9
2018;2.1;0.8;4.4;11.1;15;17.4;19.5;19.4;15.6;11;8.6;-0.5;10.4
2019;-1.8;0.7;3.9;8.9;11.8;19.4;19.2;19.6;14.4;11.6;7.5;1.8;9.7
2020;-0.9;2;4.8;7.8;13.1;16.6;18.4;19.2;15.4;9;3.9;2.9;9.4
2021;-0.9;2.8;2;6.9;11.9;18.1;19;17.1;14.1;7.8;5.7;0.3;8.7
2022;-1.3;0.5;2.2;6.8;15.3;18.9;20;19;14.5;11.9;5.8;3.9;9.8
