Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;5.2;4.4;10.3;11.7;17;20.7;25.3;24.8;19.5;12.9;10.4;4.9;13.9
1995;2.6;5.4;7.5;11.2;16.2;19.1;24.6;21.9;17.2;14.3;7.7;5.1;12.7
1996;4.8;3.2;6.4;12.3;17.4;21.5;21.6;22;16.4;13.6;9.8;4;12.8
1997;4.7;5;9.3;10.7;17.2;20.6;22.6;22.9;19.4;13.4;8.7;5.3;13.3
1998;4.4;5.2;7.8;12;17.4;21.8;24;24.4;18.4;13.8;6.9;2;13.2
1999;3;2.7;8.3;12.8;18.2;21.1;23.5;23.1;20.7;14.3;7;2.9;13.1
2000;0.8;4.4;8.7;14.1;19;22.6;21.9;23.9;19.5;15.2;10.3;6.3;13.9
2001;5.4;5.9;9.9;12.1;19.6;20.5;23.6;24.7;17.1;16.3;7;1.3;13.6
2002;1.1;5.5;9.8;12.5;17.8;22.6;23.3;22.2;18.1;14.1;11.3;6.1;13.7
2003;3;2.5;7.9;11.3;18.4;24.1;24.1;26;18.1;13;9.8;5.1;13.6
2004;2.4;3.2;7.4;12.6;15.7;20.7;23.1;23.5;19.1;15.8;8.8;5.5;13.2
2005;2.1;2.5;7;11.7;17.7;22.1;23.8;21.4;19.7;14;9.1;3.4;12.9
2006;2.2;3.8;7.2;12.8;17;21.8;25.9;20.8;20.3;16;9.7;6.3;13.6
2007;5.9;7;10.4;15.5;19;22.2;24;22.5;17.9;13.8;7.9;3.9;14.2
2008;5.4;5;8.2;12.5;18.2;22;23.7;23.8;18.4;14.9;9.3;5.3;13.9
2009;3.6;5.1;8.9;14.4;19.7;21.5;24.2;25;20.9;14.6;10.2;4.4;14.4
2010;2.6;5.1;7.7;13.6;17.5;21.8;25.3;23.2;18.5;13.2;10.2;3.6;13.5
2011;3.7;4.9;9;14.8;19;22.3;23.4;24.8;22.4;13.9;9;5.5;14.4
2012;2.7;2.3;10.9;12.9;17.8;23.2;25.5;25.4;20.3;15.2;11.1;3.8;14.3
2013;4.6;4.5;7.8;13.7;16.9;21.7;25.5;24.3;20.1;15.5;10.5;5.8;14.2
2014;7.6;8.7;11.2;15.2;17.7;22.4;22.6;22.1;19.2;16.7;12.2;6.8;15.2
2015;5;5.9;9.4;13;18.1;22.6;26.4;24.5;20.1;14.3;9;4.7;14.4
2016;3.3;7.6;9.6;13.8;16.9;21.9;24.9;23.4;21.3;13.9;9.6;4.1;14.2
2017;1.2;6.5;10.8;14;18.4;23.7;24.6;25.2;18.1;14.3;8.8;4;14.1
2018;6.1;4.1;7.3;16;20.4;23.6;25.4;25.9;21.2;16.4;11.6;4.4;15.2
2019;3.2;6.2;10;13.5;15.2;24.7;25;25.1;20;16.1;11.3;6.6;14.7
2020;4.3;7.5;9.4;13.9;18.3;21.5;24.2;24.9;20.7;14;9.3;6.6;14.6
2021;3.5;7.2;8.4;11.7;16.1;24;25;24.1;20.5;13.9;10.1;4.6;14.1
2022;3.6;6.1;8;12.2;20;24.5;26.7;25.6;20;17.3;10.8;6.7;15.1
