Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;9.1;8.1;14.8;15.8;20.4;24.8;31;29.8;24;17.5;13.1;7.8;18
1995;6.7;9;11.4;15;20.2;22.9;29.2;27.3;21.9;20.6;12;8;17
1996;7.4;7.6;10.2;16.3;21.6;26.2;26.6;27.2;21;17.8;13.1;7.1;16.8
1997;8.4;9.3;14.9;15;21.9;24.7;27.7;28.1;25.3;18.3;12.3;8.5;17.9
1998;7.6;11.8;12.6;16;22.1;26.3;29;30.2;23.4;18.8;11.2;6.4;18
1999;7.8;8;12.6;16.9;22.2;25.9;28.7;27.9;26.2;19;11.5;6.8;17.8
2000;6.7;9.4;12.7;18.5;23.9;27.6;27.2;30.1;25.2;19.5;14.4;9.6;18.7
2001;7.9;11.2;13.7;16.7;24.8;25.5;29;31.1;22.6;21.7;12.1;6.8;18.6
2002;7;8.7;14.5;16.4;21.3;26.7;28;26.7;22.6;18.4;14.2;8.2;17.7
2003;6.8;7.3;12.4;15.3;23;28;28.4;30.9;23.1;17;13.2;8.4;17.8
2004;5.2;6.3;10.9;16.1;19.3;24.3;27.3;28.1;24;18.9;12.9;9.3;16.9
2005;6.1;6.8;11.1;15.2;21.5;26;27.7;25.5;23.7;17.4;12.2;6.8;16.7
2006;5.5;7.7;10.5;16.4;20.9;25.6;30.8;24.9;24.5;20.2;13.4;9.8;17.5
2007;8.7;10.6;14.4;20.1;23.5;26;28.7;26.9;22.6;17.9;12;7.8;18.3
2008;8.4;8.8;11.8;16.2;21.9;25.6;27.7;28.3;22.9;19.6;12.8;8;17.7
2009;6.6;9;12.6;18.5;23.9;25.5;28.1;29.4;25.5;19.5;13;7.8;18.3
2010;5.8;8.8;11.4;17.8;21.2;25.6;29.6;27.7;23;17.6;13;6.7;17.3
2011;6.2;9.8;12.7;19.3;23.7;26.3;27.6;29.5;27.3;18.9;13.4;9.2;18.7
2012;7.4;6.5;15.8;16.3;21.8;27.2;29.6;29.9;24.6;19.4;14.8;7.1;18.4
2013;7.5;8.3;10.9;17.2;20.4;25.6;30;29;24.5;18.6;14.1;9.9;18
2014;10.1;11.8;15.6;19.2;21.9;26.7;26.9;26.4;23.1;20.5;15.4;9.8;19
2015;8.9;9.9;13.2;16.8;21.5;26.7;30.5;29.4;24.2;18.4;12.7;8.1;18.4
2016;7.2;10.5;13.1;17.1;20.5;25.6;29;28.1;26;17.8;12.8;8.5;18
2017;5.5;9.5;15.2;17.8;22.1;28;28.9;30.1;22.1;18.5;12.4;7.8;18.2
2018;9.4;7.2;10.2;20;24.5;28.1;30;31.1;25.8;20.8;14.1;7.9;19.1
2019;7.1;11.3;14.5;17.2;18.1;28.2;29.1;29.1;24.4;20;14.2;10;18.6
2020;9.1;12;12.9;18.5;21.9;25.2;28.2;29.1;25.3;17.8;13.5;9.5;18.6
2021;6.9;10.8;12.8;15;19.6;27.6;29.3;28.7;25.2;18.6;13.3;8;18
2022;7.9;10.6;12.2;16.1;23.8;28.6;31.1;30.1;24.3;21.8;14.5;8.9;19.2
