Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;1.4;1.2;6.1;7.4;12.5;16.1;19.5;19.6;15.5;9;8;2.4;9.9
1995;-0.9;1.7;3.2;6.8;11.7;14.7;19.5;17.1;12.7;9.6;3.8;2.5;8.5
1996;2.7;-0.7;2.6;8.2;12.5;16.1;16.1;17.3;12.2;9.9;6.9;1.5;8.8
1997;2;1.1;3.6;5.2;12;16.1;17;18.2;14.1;9.4;5.7;2.8;8.9
1998;1.3;0.3;2.5;8.2;12.3;16.5;18.5;18.8;13.7;9.9;3.3;-1.3;8.7
1999;-0.5;-2.1;4.1;8.3;14;15.7;17.9;18.4;15.8;10.6;3.8;-0.5;8.8
2000;-3.4;0;4.6;9.7;14.1;16.3;16.1;18.2;14.7;12;6.8;3.3;9.4
2001;3.1;1.2;6.4;6.9;14.6;14.9;18;18.8;12.3;12.6;3.2;-2.8;9.1
2002;-2.7;2.5;5.7;8.5;14;17.9;18.8;18.1;14.3;10.6;8.7;4.2;10
2003;0;-1.8;3.4;7.4;13.5;19.6;19.4;21;13.4;9.2;7.2;2.2;9.5
2004;-0.3;0.5;4.2;9.1;11.5;16.4;18.2;18.7;14.5;13.1;5.2;2.4;9.5
2005;-0.9;-1.3;3.3;7.7;13.5;17.4;19.4;17.3;16;11.3;6.4;0.5;9.2
2006;-0.4;0.6;3.8;9.1;12.6;17.4;20.8;16.7;16.4;12.3;6.2;3.5;9.9
2007;3.3;3.9;6.5;10.7;14.7;18;18.4;18.3;13.5;10.2;4.3;1;10.2
2008;3;1.8;4.9;8.6;14;18.1;19.3;19.3;14.3;10.9;6.6;3;10.3
2009;1;1.8;5;10.7;15.3;17.1;19.6;20.4;16.5;10.7;7.9;1.6;10.6
2010;0.3;2.2;4.5;9.3;13.4;17.6;20.4;18.6;14.5;9.7;7.7;0.9;9.9
2011;1.5;1.5;5.2;10.2;13.8;17.9;18.8;20.2;18.3;10.1;6;2.5;10.5
2012;-0.4;-1.2;6.1;9.4;13.4;18.9;21;20.6;16.2;12;8.3;1.2;10.5
2013;1.9;1.4;5.1;10.4;13.6;17.4;20.9;19.9;15.8;12.8;7.6;2.8;10.8
2014;5.5;6;7.2;11.2;13.2;17.6;18.4;17.9;15.6;13.6;9.8;4.4;11.7
2015;1.5;2.6;5.5;8.7;14.6;18;21.6;20.3;16.1;11.2;6.2;2;10.7
2016;0.3;5;6;10.2;13.1;17.9;20.3;18.7;17.3;10.7;6.8;1;10.6
2017;-2;3.8;6.2;9.9;14.4;19.1;19.6;20.2;14.4;10.9;5.8;0.8;10.3
2018;3.2;1.5;4.6;12.1;16.5;19;20.8;21.4;17;12.9;9.4;1.5;11.7
2019;0;2.3;5.4;10;12.3;20.5;20.5;21.1;16;12.9;8.8;3.7;11.1
2020;0.8;3.6;5.5;8.9;14;17.4;19.5;20.6;16.6;10.6;5.8;4.1;10.6
2021;0.5;3.9;3.7;7.7;12.2;19.2;20.6;19.3;16.4;10;7.4;1.8;10.2
2022;0.3;1.9;3.2;7.7;15.9;19.9;21.7;21;16;13.7;8;4.7;11.2
