Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;-0.8;-2.3;5.2;4.1;9.7;13.3;16.6;16.5;11.4;6.3;5.6;0.8;7.2
1995;-3.9;0.7;-0.2;5.4;9.2;11.2;16.5;13.5;8.8;9.2;1.3;-2.3;5.8
1996;-1.8;-3.7;-0.8;5.7;9.5;13.9;14.2;13.3;8.4;6.1;1.7;-2.3;5.4
1997;-0.1;0.4;4.6;4.1;9.8;12;13.8;14.8;12.8;6.7;2;-1.2;6.6
1998;-1.4;3.4;2.2;4.5;10.4;14.1;16;16.4;10.8;6.6;0.1;-1.1;6.8
1999;-1;-2.5;2.4;6;11.2;13;15.8;15.1;13;7.8;1.3;-2.6;6.6
2000;-1.7;0.4;3.1;7;11.3;14.7;13.8;16.4;12.2;7.7;2.1;0.3;7.3
2001;-1.9;0.4;3.4;4.3;12.3;12.9;15.8;16.9;8.9;9.9;1.9;-3.1;6.8
2002;-0.9;1;4.3;5.2;10.3;15.6;15.7;14.9;10.2;7.3;3.8;0.1;7.3
2003;-2;-3.5;4.1;4.8;12.2;17.5;17;18.6;10.9;3.7;2.4;-0.9;7.1
2004;-4.1;-0.7;0.7;5.1;7.7;13.1;14.4;15.1;11.6;8.2;2.7;-0.6;6.1
2005;-2.1;-4.2;1.3;5.2;10.9;14.1;15.5;13.9;11.6;7.1;1.1;-3.7;5.9
2006;-3.3;-2.4;-0.4;5.4;9.8;14;17.7;11.9;13.3;9.2;3.7;0.7;6.6
2007;0.5;1.3;2.7;9.4;11.1;13.8;15.8;13.9;9.8;6.5;1;-0.9;7.1
2008;-0.5;0.4;0.8;4.4;10.2;13.7;14.7;15.3;9.8;7.8;1.6;-1.3;6.4
2009;-2.8;-2.8;1.2;6.1;12.1;13.2;15.7;16.7;12.4;6.8;2.6;-3.1;6.5
2010;-4.3;-2.4;0.7;6.2;8.9;14.2;17.2;14.7;10.3;5.6;1.6;-3.8;5.7
2011;-1.8;1.2;2.8;8.6;11.4;13.4;14.5;16.5;14;6.9;3.4;-0.8;7.5
2012;-2.3;-3.1;6;4.9;10.4;14.7;15.7;16.5;11.6;7.3;2.8;-3;6.8
2013;-1.3;-3.9;0;6;7.9;12.8;16.5;15.8;11.8;7.9;2.1;1.2;6.4
2014;-0.8;-0.3;3.8;6.7;9.5;13.7;14.6;13.5;11.9;8.9;5.5;0.6;7.3
2015;-0.7;-0.6;2.5;6.6;10.9;14.3;18.7;16.4;10.7;7;5.3;2.7;7.8
2016;-1.3;0.1;1.7;6.7;9.2;13.4;16.2;15.3;13.4;6.4;2.1;2.4;7.1
2017;-4;0.8;5.6;6.1;11;15.6;16.1;16.8;9.4;8.5;1.1;-2;7.1
2018;-0.7;-3.8;0.4;8.3;10.7;14.8;16.3;16.2;13.2;8.9;3.4;-0.1;7.3
2019;-2.4;2;3.6;5.6;7.3;17.3;16.2;16.3;12.2;8.7;2;0.5;7.4
2020;0.6;1.4;1.9;7.7;10.7;13.2;16.1;16;12.6;6;4.4;-1.7;7.4
2021;-4.5;-0.1;1.7;3.7;8;15.5;15.9;14.6;12.7;6.9;2.9;-0.3;6.4
2022;0.6;0.5;1.8;5;12;16.2;17.9;16.2;10.6;10.4;3.3;-1;7.8
