Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;4.4;3.2;11.7;8.8;14.8;19.1;23.4;23.1;16.6;11.8;9.9;5.7;12.7
1995;1.5;6;5.4;10.4;14.4;16.5;23.2;19.1;14.1;16.4;5.7;2.2;11.2
1996;3.6;2.7;5;10.9;14.7;20.3;20;19.1;13.5;10.7;6.2;2.5;10.8
1997;6.6;7;10.7;10.2;15.7;17;19.8;20.7;20;12.7;6.8;3.6;12.6
1998;5.1;10.4;8.2;9.7;16;20.3;22.1;23.1;16.2;11.1;4.6;3.4;12.5
1999;5.3;2.8;8.6;11.6;16.7;18.7;21.8;20.6;18.5;12.8;5.9;2.1;12.1
2000;4.8;6;8.6;12.3;17.1;21.4;19.7;22.7;18.4;11.9;5.8;5.1;12.8
2001;3.2;6.1;9.2;9.8;18.3;18.8;21.7;23.2;13.5;16.2;7.1;2.6;12.5
2002;5.3;6.5;10.3;10.4;15.2;21.5;21.6;20.2;15.5;12.3;7.2;3.8;12.5
2003;3.7;2.7;10.9;9.7;18.3;24.7;23.4;25.1;16.8;8.6;7.3;4;12.9
2004;0.7;4.2;6.4;9.8;13;18.8;20.5;21;17.4;12.5;7;5.6;11.4
2005;3.4;0.9;7;10.4;16.5;20.1;21.4;18.8;16.5;12.1;5.2;1;11.1
2006;2.5;2.5;4.8;10.5;14.8;20;24.4;16.6;19.2;14.5;8.6;6.4;12.1
2007;5.3;7;7.9;16.2;16.8;18.9;21.9;19.5;15.3;11.6;5.5;4;12.5
2008;3.8;6.7;5.5;8.6;15.4;19.4;20.5;21.1;15.3;13.2;5.6;3.2;11.5
2009;2.8;2.1;5.4;11.6;18;18.7;21.6;22.8;17.9;12.3;7.3;1.3;11.8
2010;0.9;2.5;5.7;12;13.2;19.8;23.7;19.8;15.6;10.8;5.5;0;10.8
2011;3.4;7;9.1;15;17.7;18.7;20.4;23;20;12.7;8.9;3.3;13.3
2012;2.6;1.7;12.2;9.7;16.1;20.1;21.8;22.7;17;12.2;7;1.4;12
2013;2.8;1;4.7;10.9;12.5;18.9;23.2;22.2;17.3;12.6;6.4;7.2;11.6
2014;3.5;4.9;10.6;12.2;14.7;20.1;20.2;19;18;14.2;8.8;4.5;12.6
2015;4.4;5.2;8.3;12.5;16.2;20.3;25.4;22.3;16.1;11.9;11.6;9;13.6
2016;4;4.9;7.1;11.8;14.2;18.9;22.4;21.7;19.2;11.2;6.2;8.1;12.5
2017;1.9;6.1;11.7;11.8;16.9;21.9;22.1;23.5;14.4;14.4;5.8;2.8;12.8
2018;4.5;0.9;5.1;14.7;16.1;21;22.4;22.7;19.3;14.3;7.2;4.5;12.7
2019;1.9;8.6;9.6;10.4;11.6;23.7;22.9;22.1;18.5;13.9;5.5;5.6;12.9
2020;7.6;7.1;7.4;14.5;16.3;18.4;22.4;22.4;18.4;11;10.7;3;13.3
2021;1;6.8;8.2;8.4;13.1;22.1;21.7;20.2;18.8;12.9;7.9;4.8;12.2
2022;6.1;5.8;8.9;10.8;17.8;22.3;24.4;22.3;15.9;16.6;8.2;4.1;13.6
