Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;-4.4;-6.3;0.1;-0.1;4.6;7.7;10.7;10.9;7.3;1.9;2.1;-2.9;2.6
1995;-7.6;-3.7;-5;0.7;4.2;6.7;10.9;8.8;4.3;4.3;-2.3;-5.5;1.3
1996;-5.2;-8.5;-5.6;1.3;4.6;7.8;8.9;8.6;4;2.3;-1.7;-5.4;0.9
1997;-3.4;-4.1;-0.2;-1.7;4.2;7.9;8.2;9.7;7.3;2;-1.1;-4.1;2.1
1998;-5.3;-1.6;-3;0.6;5.4;8.5;10.4;10.9;6.1;3;-3.8;-4.9;2.2
1999;-4.6;-6.6;-1.9;1.3;6.6;7.9;10.6;10.5;8.3;4;-2;-6.2;2.3
2000;-6.3;-4;-1.6;2.6;6.5;8.7;8.3;10.8;7;4.6;-0.6;-2.9;2.8
2001;-5.3;-3.8;-0.7;-0.5;6.8;7.2;10.2;11.4;4.2;5.5;-1.6;-7.2;2.2
2002;-5.2;-3;-0.5;0.7;6;10;10.3;10.3;6;3.3;1.2;-2.8;3
2003;-6;-8.3;-1.3;0.1;6.4;11.6;11;12.9;5.8;-0.4;-0.7;-4.1;2.2
2004;-8.1;-5.1;-3.6;1.1;2.6;7.7;8.8;10.2;6.8;4.9;-0.5;-3.7;1.8
2005;-6.1;-8.2;-3.3;0.7;5.6;8.8;10.3;9.5;7.4;3.3;-2.1;-7.3;1.6
2006;-7.1;-6;-4.8;1;4.9;8.4;12;7.8;8.5;4.9;-0.2;-2.4;2.3
2007;-3.3;-2.8;-1.6;3.7;6.1;9.1;9.5;9;5.1;2.6;-2.5;-4.3;2.6
2008;-3.6;-4;-3.2;0.6;5.5;8.8;9.9;10;5.4;3.9;-1.4;-4.5;2.3
2009;-6.3;-6.9;-2.8;1.9;6.5;8.2;10;11.4;8.1;2.7;-0.5;-6.2;2.2
2010;-7.7;-6.1;-3.8;0.9;5.1;8.9;11.7;10.2;6;1.8;-1.1;-6.9;1.6
2011;-5.1;-2.7;-1.8;3.2;5.3;8.9;9.3;10.9;9.4;2.7;0.2;-4.2;3
2012;-6.1;-7.7;0.7;0.7;5;9.5;10.4;11.4;7.1;3.5;-0.1;-6.2;2.4
2013;-4.5;-7.8;-3.6;1.9;3.8;7.1;10.6;10.2;7.1;4.7;-0.7;-2.1;2.2
2014;-3.6;-3.9;-1.3;2.3;4.3;8.1;9.8;9;7.6;5;3.2;-2.5;3.2
2015;-4.5;-4.2;-1.5;1.2;6;9.1;12.9;11.6;6;3.6;1;-1.1;3.3
2016;-5;-3.1;-2.3;2;4.8;8.5;11.1;10;8.9;2.6;-1.4;-1.5;2.9
2017;-8;-2.6;0.8;0.9;5.8;9.8;10.5;11;5.4;4;-2.3;-5.8;2.5
2018;-4;-7.4;-3;3.3;6.4;9.2;11.3;11.1;8.5;4.7;0.8;-3.8;3.1
2019;-5.9;-2.3;-1.4;1.6;3.3;11;10.9;11.6;7.6;4.9;-0.4;-2.8;3.2
2020;-3.1;-2.8;-2.8;1.6;5.5;8.7;10.6;11.2;8.1;2.2;0.7;-4.4;3
2021;-8;-4.5;-3.2;-0.7;3.1;9.8;10.7;9.7;7.8;2.6;-0.4;-4.1;1.9
2022;-3.6;-3.6;-3.5;-0.1;7;10.2;12;11.1;6.3;6.1;-0.2;-3.9;3.2
