date,TMIN,TMED,TMAX
1991-01-01,,,
1991-01-02,,,
1991-01-03,,,
1991-01-04,,,
1991-01-05,,,
1991-01-06,,,
1991-01-07,,,
1991-01-08,,,
1991-01-09,,,
1991-01-10,,,
1991-01-11,,,
1991-01-12,,,
1991-01-13,,,
1991-01-14,,,
1991-01-15,,,
1991-01-16,,,
1991-01-17,,,
1991-01-18,,,
1991-01-19,,,
1991-01-20,,,
1991-01-21,,,
1991-01-22,,,
1991-01-23,,,
1991-01-24,,,
1991-01-25,,,
1991-01-26,,,
1991-01-27,,,
1991-01-28,,,
1991-01-29,,,
1991-01-30,,,
1991-01-31,,,
1991-02-01,,,
1991-02-02,,,
1991-02-03,,,
1991-02-04,,,
1991-02-05,,,
1991-02-06,,,
1991-02-07,,,
1991-02-08,,,
1991-02-09,,,
1991-02-10,,,
1991-02-11,,,
1991-02-12,,,
1991-02-13,,,
1991-02-14,,,
1991-02-15,,,
1991-02-16,,,
1991-02-17,,,
1991-02-18,,,
1991-02-19,,,
1991-02-20,,,
1991-02-21,,,
1991-02-22,,,
1991-02-23,,,
1991-02-24,,,
1991-02-25,,,
1991-02-26,,,
1991-02-27,,,
1991-02-28,,,
1991-03-01,,,
1991-03-02,,,
1991-03-03,,,
1991-03-04,,,
1991-03-05,,,
1991-03-06,,,
1991-03-07,,,
1991-03-08,,,
1991-03-09,,,
1991-03-10,,,
1991-03-11,,,
1991-03-12,,,
1991-03-13,,,
1991-03-14,,,
1991-03-15,,,
1991-03-16,,,
1991-03-17,,,
1991-03-18,,,
1991-03-19,,,
1991-03-20,,,
1991-03-21,,,
1991-03-22,,,
1991-03-23,,,
1991-03-24,,,
1991-03-25,,,
1991-03-26,,,
1991-03-27,,,
1991-03-28,,,
1991-03-29,,,
1991-03-30,,,
1991-03-31,,,
1991-04-01,,,
1991-04-02,,,
1991-04-03,,,
1991-04-04,,,
1991-04-05,,,
1991-04-06,,,
1991-04-07,,,
1991-04-08,,,
1991-04-09,,,
1991-04-10,,,
1991-04-11,,,
1991-04-12,,,
1991-04-13,,,
1991-04-14,,,
1991-04-15,,,
1991-04-16,,,
1991-04-17,,,
1991-04-18,,,
1991-04-19,,,
1991-04-20,,,
1991-04-21,,,
1991-04-22,,,
1991-04-23,,,
1991-04-24,,,
1991-04-25,,,
1991-04-26,,,
1991-04-27,,,
1991-04-28,,,
1991-04-29,,,
1991-04-30,,,
1991-05-01,,,
1991-05-02,,,
1991-05-03,,,
1991-05-04,,,
1991-05-05,,,
1991-05-06,,,
1991-05-07,,,
1991-05-08,,,
1991-05-09,,,
1991-05-10,,,
1991-05-11,,,
1991-05-12,,,
1991-05-13,,,
1991-05-14,,,
1991-05-15,,,
1991-05-16,,,
1991-05-17,,,
1991-05-18,,,
1991-05-19,,,
1991-05-20,,,
1991-05-21,,,
1991-05-22,,,
1991-05-23,,,
1991-05-24,,,
1991-05-25,,,
1991-05-26,,,
1991-05-27,,,
1991-05-28,,,
1991-05-29,,,
